,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
2,3,PIDILITIND,Pidilite Industries Limited,500331,-0.16,2347.2,185947,SELL OPEN=HIGH,08/03/2023 15:08:50
1,2,ASIANPAINT,Asian Paints Limited,500820,-0.27,2856.8,444742,SELL OPEN=HIGH,08/03/2023 15:08:50
4,5,UBL,United Breweries Limited,532478,-0.64,1453.25,149610,SELL OPEN=HIGH,08/03/2023 15:08:50
3,4,DEEPAKNTR,Deepak Nitrite Limited,506401,-0.76,1817.55,193096,SELL OPEN=HIGH,08/03/2023 15:08:50
6,7,DABUR,Dabur India Limited,500096,-0.96,531.85,1255264,SELL OPEN=HIGH,08/03/2023 15:08:50
9,10,BSOFT,Birlasoft Ltd,532400,-1.08,285.15,1132141,SELL OPEN=HIGH,08/03/2023 15:08:50
10,11,BANDHANBNK,Bandhan Bank Ltd,541153,-1.1,229.7,5949783,SELL OPEN=HIGH,08/03/2023 15:08:50
12,13,FSL,Firstsource Solutions Limited,532809,-1.12,114.45,2529956,SELL OPEN=HIGH,08/03/2023 15:08:50
11,12,BIOCON,Biocon Limited,532523,-1.41,223.2,3487546,SELL OPEN=HIGH,08/03/2023 15:08:50
5,6,MFSL,Max Financial Services Limited,500271,-1.65,686.7,256430,SELL OPEN=HIGH,08/03/2023 15:08:50
7,8,HINDALCO,Hindalco Industries Limited,500440,-1.88,406.7,5997202,SELL OPEN=HIGH,08/03/2023 15:08:50
0,1,BAJFINANCE,Bajaj Finance Limited,500034,-2.2,6000.1,1146223,SELL OPEN=HIGH,08/03/2023 15:08:50
8,9,CROMPTON,Crompton Greaves Consumer Electricals Limited,539876,-2.75,307.35,1509156,SELL OPEN=HIGH,08/03/2023 15:08:50
59,60,SANWARIA,Sanwaria Agro Oils Limited,519260,0.0,0.55,748874,Day Short Trade,08/03/2023 15:13:38
23,24,SINTERCOM,Sintercom India Ltd,535047,0.0,99.0,26070,Day Short Trade,08/03/2023 15:13:38
44,45,HYBRIDFIN,Hybrid Financial Services Ltd,500262,-0.55,9.1,12576,Day Short Trade,08/03/2023 15:13:38
2,3,PILANIINVS,Pilani Investment And Industries Corporation Limited,539883,-0.75,1768.0,1078,Day Short Trade,08/03/2023 15:13:38
32,33,PNBGILTS,Pnb Gilts Limited,532366,-0.75,59.9,190415,Day Short Trade,08/03/2023 15:13:38
16,17,BIL,Bhartiya International Limited,526666,-0.76,197.05,522,Day Short Trade,08/03/2023 15:13:38
18,19,APCL,Anjani Portland Cement Ltd.-$,518091,-0.79,169.95,17385,Day Short Trade,08/03/2023 15:13:38
43,44,TIRUPATIFL,Tirupati Forge Ltd,535021,-0.88,11.25,228274,Day Short Trade,08/03/2023 15:13:38
31,32,AYMSYNTEX,Aym Syntex Limited,508933,-0.91,59.9,41520,Day Short Trade,08/03/2023 15:13:38
1,2,BAYERCROP,Bayer Cropscience Limited,506285,-1.01,4147.05,12690,Day Short Trade,08/03/2023 15:13:38
20,21,FOODSIN,Foods & Inns Ltd,507552,-1.06,126.0,47926,Day Short Trade,08/03/2023 15:13:38
24,25,NAVNETEDUL,Navneet Education Limited,508989,-1.08,96.15,131038,Day Short Trade,08/03/2023 15:13:38
33,34,MAHASTEEL,Mahamaya Steel Industries Limited,513554,-1.09,59.05,9855,Day Short Trade,08/03/2023 15:13:38
21,22,MANAKSIA,Manaksia Limited,532932,-1.12,114.7,55940,Day Short Trade,08/03/2023 15:13:38
27,28,HPIL,Hindprakash Industries Ltd,535353,-1.18,84.0,507,Day Short Trade,08/03/2023 15:13:38
35,36,WEWIN,We Win Ltd,543535,-1.35,40.1,1853,Day Short Trade,08/03/2023 15:13:38
8,9,AMARAJABAT,Amara Raja Batteries Limited,500008,-1.37,566.65,179950,Day Short Trade,08/03/2023 15:13:38
7,8,LICI,Life Insurance Corporation of India,543526,-1.38,603.2,739352,Day Short Trade,08/03/2023 15:13:38
12,13,CHOICEIN,Choice International Ltd,531358,-1.44,260.85,40159,Day Short Trade,08/03/2023 15:13:38
49,50,WINPRO,Winpro Industries Ltd,531337,-1.49,3.3,250117,Day Short Trade,08/03/2023 15:13:38
5,6,RPGLIFE,Rpg Life Sciences Limited,532983,-1.58,782.5,58296,Day Short Trade,08/03/2023 15:13:38
36,37,NKIND,Nk Industries Limited,519494,-1.64,35.95,2,Day Short Trade,08/03/2023 15:13:38
9,10,ELGIEQUIP,Elgi Equipments Limited,522074,-1.69,467.35,111301,Day Short Trade,08/03/2023 15:13:38
34,35,PRAKASH,Prakash Industries Limited,506022,-1.79,55.0,352181,Day Short Trade,08/03/2023 15:13:38
14,15,NRAIL,N R Agarwal Industries Ltd,516082,-1.84,218.95,16279,Day Short Trade,08/03/2023 15:13:38
0,1,IVZINGOLD,Invesco India Gold ETF,533172,-1.88,4906.15,46,Day Short Trade,08/03/2023 15:13:38
30,31,BPL,Bpl Limited,500074,-1.96,60.15,47693,Day Short Trade,08/03/2023 15:13:38
28,29,AKSHAR,Akshar Spintex Ltd,541303,-1.99,68.85,604,Day Short Trade,08/03/2023 15:13:38
15,16,SELMC,SEL Manufacturing Company Ltd,532886,-1.99,211.8,1514,Day Short Trade,08/03/2023 15:13:38
37,38,UJJIVANSFB,Ujjivan Small Finance Bank Ltd,542904,-2.0,26.9,2825193,Day Short Trade,08/03/2023 15:13:38
22,23,SHK,S H Kelkar And Company Limited,539450,-2.01,109.5,158936,Day Short Trade,08/03/2023 15:13:38
6,7,ACI,Archean Chemical Industries Ltd,543657,-2.24,629.65,60589,Day Short Trade,08/03/2023 15:13:38
3,4,NGLFINE,NGL Fine Chem Ltd,524774,-2.39,1359.45,3262,Day Short Trade,08/03/2023 15:13:38
17,18,HITECHCORP,Hitech Corporation,526217,-2.48,196.95,10481,Day Short Trade,08/03/2023 15:13:38
29,30,MODISONLTD,Modison Ltd,506261,-2.5,62.35,15685,Day Short Trade,08/03/2023 15:13:38
54,55,SABTN,Sri Adhikari Brothers Television Network Limited,530943,-2.94,1.65,342,Day Short Trade,08/03/2023 15:13:38
46,47,LAKPRE,Lakshmi Precision Screws Limited,506079,-3.03,4.8,4846,Day Short Trade,08/03/2023 15:13:38
19,20,INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,-3.22,160.95,3129667,Day Short Trade,08/03/2023 15:13:38
40,41,MEP,Mep Infrastructure Developers Limited,539126,-3.24,16.4,223113,Day Short Trade,08/03/2023 15:13:38
10,11,TIPSFILMS,Tips Films Ltd,543614,-3.57,390.05,3710,Day Short Trade,08/03/2023 15:13:38
55,56,GODHA,Godha Cabcon and Insulation Ltd,535079,-3.7,1.3,9911286,Day Short Trade,08/03/2023 15:13:38
47,48,NATNLSTEEL,National Steel And Agro Industries Limited,513179,-4.29,3.35,35052,Day Short Trade,08/03/2023 15:13:38
4,5,PHOENIXLTD,The Phoenix Mills Limited,503100,-4.31,1316.35,211859,Day Short Trade,08/03/2023 15:13:38
53,54,UJAAS,Ujaas Energy Limited,533644,-4.35,2.2,195342,Day Short Trade,08/03/2023 15:13:38
48,49,METALFORGE,Metalyst Forgings Limited,513335,-4.35,3.3,24054,Day Short Trade,08/03/2023 15:13:38
42,43,VINNY,Vinny Overseas Ltd,535118,-4.85,12.75,86459,Day Short Trade,08/03/2023 15:13:38
39,40,SUULD,Suumaya Industries Ltd,780011,-4.93,19.3,780379,Day Short Trade,08/03/2023 15:13:38
26,27,BAFNAPH,Bafna Pharmaceuticals Ltd,532989,-4.96,90.05,4797,Day Short Trade,08/03/2023 15:13:38
13,14,BSHSL,Bombay Super Hybrid Seeds Ltd,535077,-4.99,241.8,7384,Day Short Trade,08/03/2023 15:13:38
25,26,ARVEE,Arvee Laboratories (India) Ltd,535050,-4.99,92.25,3075,Day Short Trade,08/03/2023 15:13:38
41,42,OILCOUNTUB,Oil Country Tubular Limited,500313,-5.0,16.15,53588,Day Short Trade,08/03/2023 15:13:38
11,12,DSSL,Dynacons Systems & Solutions Limited,532365,-5.0,359.35,36404,Day Short Trade,08/03/2023 15:13:38
56,57,SPENTEX,Spentex Industries Limited,521082,-5.0,0.95,106673,Day Short Trade,08/03/2023 15:13:38
38,39,SPCENET,Spacenet Enterprises India Ltd,513249,-5.03,20.75,1225600,Day Short Trade,08/03/2023 15:13:38
50,51,SUMEETINDS,Sumeet Industries Limited,514211,-5.26,2.7,228274,Day Short Trade,08/03/2023 15:13:38
51,52,FRETAIL,Future Retail Limited,540064,-5.26,2.7,1807179,Day Short Trade,08/03/2023 15:13:38
52,53,NILASPACES,Nila Spaces Ltd,542231,-5.45,2.6,264235,Day Short Trade,08/03/2023 15:13:38
57,58,GAYAHWS,Gayatri Highways Ltd,541546,-5.88,0.8,447399,Day Short Trade,08/03/2023 15:13:38
58,59,ANTGRAPHIC,Antarctica Limited,526715,-7.69,0.6,675642,Day Short Trade,08/03/2023 15:13:38
45,46,PARSVNATH,Parsvnath Developers Limited,532780,-9.59,6.6,4890944,Day Short Trade,08/03/2023 15:13:38
60,61,VISESHINFO,Visesh Infotecnics Limited,532411,-10.0,0.45,4687391,Day Short Trade,08/03/2023 15:13:38
7,8,FINPIPE,Finolex Industries Limited,500940,1.06,171.9,269747,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
2,3,MEDICO,Medico Remedies Ltd,540937,0.78,359.95,100422,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
0,1,MAYURUNIQ,Mayur Uniquoters Ltd,522249,0.62,486.4,32800,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
6,7,CLSEL,Chamanlal Setia Exports Ltd,530307,0.39,179.95,575889,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
5,6,ALPHAGEO,Alphageo (india) Limited,526397,0.15,236.55,7836,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
12,13,GPPL,Gujarat Pipavav Port Limited,533248,-0.22,110.9,1502458,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
3,4,BAJAJHCARE,Bajaj Healthcare Ltd,539872,-0.67,346.15,10699,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
1,2,LAOPALA,La Opala Rg Limited,526947,-0.76,363.9,93516,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
15,16,WATERBASE,Waterbase Ltd,523660,-0.86,69.0,8852,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
17,18,WEWIN,We Win Ltd,543535,-1.35,40.1,1207,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
9,10,PRITI,Priti International Ltd,535089,-1.49,152.0,16489,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
14,15,SAH,Sah Polymers Ltd,543743,-1.5,79.0,173550,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
10,11,FOODSIN,Foods & Inns Ltd,507552,-1.57,125.35,35748,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
8,9,PLASTIBLEN,Plastiblends India Limited,523648,-1.66,160.35,6743,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
18,19,UJJIVANSFB,Ujjivan Small Finance Bank Ltd,542904,-2.19,26.85,2830752,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
4,5,OPTIEMUS,Optiemus Infracom Ltd,530135,-2.47,243.0,100480,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
16,17,MODISONLTD,Modison Ltd,506261,-2.5,62.35,11124,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
11,12,DEEPENR,Deep Energy Resources Ltd,532760,-3.61,113.55,5042,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
13,14,ARVEE,Arvee Laboratories (India) Ltd,535050,-4.99,92.25,1897,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,08/03/2023 15:14:31
1,2,DELHIVERY,Delhivery Ltd,543529,-1.44,331.5,1481857,Shot Down,08/03/2023 15:15:33
0,1,KANSAINER,Kansai Nerolac Paints Limited,500165,-1.74,408.35,1831274,Shot Down,08/03/2023 15:15:33
53,54,GANGAFORGE,Ganga Forging Ltd,535094,1.33,3.8,71254,Ichimoku Cloud Bottom Crossover,08/03/2023 15:16:41
