,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
15,16,NTPC,Ntpc Limited,532555,0.64,180.6,6057055,PERFECT BEARISH,10/03/2023 13:38:09
16,17,IEX,Indian Energy Exchange Ltd,540750,0.37,148.7,3956618,PERFECT BEARISH,10/03/2023 13:38:09
12,13,GLENMARK,Glenmark Pharmaceuticals Limited,532296,0.08,425.4,1112631,PERFECT BEARISH,10/03/2023 13:38:09
10,11,TORNTPOWER,Torrent Power Limited,532779,0.03,533.5,230541,PERFECT BEARISH,10/03/2023 13:38:09
20,21,SAIL,Steel Authority Of India Limited,500113,-0.06,87.7,7893610,PERFECT BEARISH,10/03/2023 13:38:09
2,3,MCX,Multi Commodity Exchange Of India Limited,534091,-0.12,1474.5,83459,PERFECT BEARISH,10/03/2023 13:38:09
1,2,SIEMENS,Siemens Limited,500550,-0.2,3292.6,126562,PERFECT BEARISH,10/03/2023 13:38:09
0,1,HONAUT,Honeywell Automation India Limited,517174,-0.26,35748.0,2723,PERFECT BEARISH,10/03/2023 13:38:09
13,14,COALINDIA,Coal India Limited,533278,-0.27,224.2,2675578,PERFECT BEARISH,10/03/2023 13:38:09
19,20,TATASTEEL,Tata Steel Limited,500470,-0.42,107.75,33750665,PERFECT BEARISH,10/03/2023 13:38:09
5,6,BHARTIARTL,Bharti Airtel Limited,532454,-0.57,769.0,2976294,PERFECT BEARISH,10/03/2023 13:38:09
8,9,BERGEPAINT,Berger Paints (i) Limited,509480,-0.69,586.05,420737,PERFECT BEARISH,10/03/2023 13:38:09
3,4,WHIRLPOOL,Whirlpool Of India Limited,500238,-0.71,1353.9,61118,PERFECT BEARISH,10/03/2023 13:38:09
11,12,GUJGASLTD,Gujarat Gas Limited,539336,-0.79,509.95,454258,PERFECT BEARISH,10/03/2023 13:38:09
7,8,JSWSTEEL,Jsw Steel Limited,500228,-0.87,674.3,3500321,PERFECT BEARISH,10/03/2023 13:38:09
