,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
3,4,SUNPHARMA,Sun Pharmaceuticals Industries Limited,524715,0.63,1017.0,1693243,BUY open equals to Low,23/12/2022 10:56:41
0,1,DRREDDY,Dr. Reddy's Laboratories Limited,500124,0.48,4370.0,202729,BUY open equals to Low,23/12/2022 10:56:41
4,5,ICICIBANK,Icici Bank Limited,532174,-0.48,886.4,3361431,BUY open equals to Low,23/12/2022 10:56:41
2,3,INDUSINDBK,Indusind Bank Limited,532187,-0.73,1171.55,861535,BUY open equals to Low,23/12/2022 10:56:41
1,2,TCS,Tata Consultancy Services Limited,532540,-0.76,3234.95,415950,BUY open equals to Low,23/12/2022 10:56:41
5,6,ONGC,Oil & Natural Gas Corporation Limited,500312,-0.91,140.95,3051433,BUY open equals to Low,23/12/2022 10:56:41
256,257,ICICI10GS,ICICI10GS,,0.0,207.0,1,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
67,68,LIQUIDETF,DSP BlackRock Liquid ETF,541097,0.0,999.99,9576,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
66,67,LIQUIDBEES,Nippon India ETF Liquid BeES,590096,0.0,999.99,622984,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
345,346,SINTERCOM,Sintercom India Ltd,535047,0.0,102.0,502,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
7,8,IVZINGOLD,Invesco India Gold ETF,533172,0.0,4880.1,29,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
645,646,BKMINDST,BKM Industries Ltd,539043,0.0,1.15,5319,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
265,266,HDFCMOMENT,HDFC Nifty 200 Momentum 30 ETF,543628,-0.31,192.8,76,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
23,24,RELIANCE,Reliance Industries Limited,500325,-0.49,2565.05,1633454,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
268,269,AXISNIFTY,AXISNIFTY,,-0.77,190.81,1950,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
539,540,MOHEALTH,MOHEALTH,,-0.8,23.5,47,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
168,169,CLNINDIA,Clariant Chemicals (india) Limited,506390,-0.84,360.0,12033,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
439,440,ICICIINFRA,ICICIINFRA,,-0.89,53.26,422,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
276,277,ICICIALPLV,ICICI Prudential Alpha Low Vol 30 ETF,543219,-0.91,173.99,1487,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
22,23,HINDUNILVR,Hindustan Unilever Limited,500696,-0.92,2621.05,310239,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
255,256,DSPNEWETF,DSP Nifty 50 Equal Weight ETF,543388,-0.97,207.74,1232,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
453,454,UTISXN50,UTI S&P BSE Sensex Next 50 ETF,542513,-0.97,50.0,100,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
142,143,AXISBNKETF,Axis Banking ETF,535367,-0.97,422.31,649,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
291,292,ONGC,Oil & Natural Gas Corporation Limited,500312,-1.02,140.8,3088848,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
26,27,GALAXYSURF,Galaxy Surfactants Ltd,540935,-1.04,2531.65,6967,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
271,272,SETFNIF50,SBI ETF Nifty 50,590138,-1.08,185.65,201026,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
548,549,BSLNIFTY,BSLNIFTY,,-1.08,20.16,13671,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
262,263,NIFTYBEES,NIFTYBEES,,-1.08,196.4,3694541,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
135,136,SOLARA,Solara Active Pharma Sciences Ltd,541540,-1.1,444.3,245622,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
472,473,ICICIBANKN,ICICI Prudential Bank ETF,542730,-1.13,41.96,15700,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
348,349,NV20BEES,Nippon India ETF NV20,,-1.17,101.0,4229,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
273,274,MOM50,Motilal Oswal M50 ETF,590115,-1.19,179.61,406,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
107,108,UTISENSETF,UTI Sensex ETF,539312,-1.22,637.93,450,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
432,433,BSLSENETFG,Birla Sun Life Sensex ETF,540008,-1.23,58.01,817,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
354,355,ICICINV20,ICICI Prudential NV20 ETF,539945,-1.23,98.31,9070,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
31,32,IVZINNIFTY,IVZINNIFTY,,-1.27,1985.0,2,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
321,322,MOQUALITY,Motilal Oswal S&P BSE Quality ETF Fund,543577,-1.28,118.21,178,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
393,394,SBIETFCON,SBI ETF Consumption,535386,-1.29,75.86,2222,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
65,66,TECHM,Tech Mahindra Limited,532755,-1.31,1002.55,528186,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
178,179,ITC,Itc Limited,500875,-1.32,328.05,3009670,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
297,298,SHALBY,Shalby Ltd,540797,-1.33,136.75,74194,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
250,251,HDFCPVTBAN,HDFCPVTBAN,,-1.34,213.3,164,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
105,106,LICNETFSEN,LIC Nomura MF ETF - SENSEX,539487,-1.37,650.0,132,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
16,17,PIIND,Pi Industries Limited,523642,-1.37,3472.7,66495,Santu baba trick on open equal low with 1% higher than previous close,23/12/2022 11:01:16
