,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
71,72,DIGISPICE,DigiSpice Technologies Ltd,517214,5.45,20.3,202233,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
67,68,GOLDTECH,Goldstone Technologies Limited,531439,3.53,52.75,30829,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
16,17,KAYNES,Kaynes Technology India Ltd,535493,2.75,956.75,253444,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
2,3,DIXON,Dixon Technologies,540699,2.31,2886.9,478656,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
25,26,APOLLOPIPE,Apollo Pipes Ltd,531761,1.78,556.05,118306,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
64,65,LEMONTREE,Lemon Tree Hotels Ltd,541233,1.6,79.35,2411154,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
39,40,MAHLOG,Mahindra Logistics Ltd,540768,1.38,371.7,72360,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
28,29,ZYDUSLIFE,Zydus Lifesciences Ltd,532321,1.32,474.9,1956817,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
48,49,DHAMPURSUG,Dhampur Sugar Mills Limited,500119,1.26,228.35,1618378,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
21,22,KALPATPOWR,Kalpataru Power Transmission Limited,522287,1.04,580.75,649557,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
38,39,ACE,Action Construction Equipment Limited,532762,0.89,380.8,473461,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
32,33,GLENMARK,Glenmark Pharmaceuticals Limited,532296,0.85,428.65,1414444,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
12,13,MAPMYINDIA,C.E. Info Systems Ltd,543425,0.69,1192.9,72370,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
42,43,AURIONPRO,Aurionpro Solutions Limited,532668,0.68,339.9,11161,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
11,12,HAVELLS,Havells India Limited,517354,0.46,1215.8,355348,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
7,8,VENKEYS,Venky's (india) Limited,523261,0.42,1630.05,23066,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
58,59,DEEPENR,Deep Energy Resources Ltd,532760,0.35,114.6,5872,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
62,63,AVTNPL,Avt Natural Products Limited,519105,0.33,90.3,72424,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
27,28,THYROCARE,Thyrocare Technologies Limited,539871,0.31,475.35,49956,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
8,9,BLUESTARCO,Blue Star Limited,500067,0.25,1517.5,111408,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
3,4,PIDILITIND,Pidilite Industries Limited,500331,0.21,2313.5,161789,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
18,19,ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,0.08,697.8,12138642,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
69,70,TARC,Anant Raj Global Ltd,543249,0.0,37.4,153786,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
60,61,NCC,Ncc Limited,500294,-0.05,99.35,5850737,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
57,58,BALMLAWRIE,Balmer Lawrie & Company Limited,523319,-0.13,115.45,59088,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
1,2,DMART,Avenue Supermarts,540376,-0.18,3391.85,265311,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
22,23,STARHEALTH,Star Health & Allied Insurance Company Ltd,543412,-0.2,578.45,375422,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
68,69,UTINEXT50,UTI Nifty Next 50 ETF,540669,-0.22,40.4,80661,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
36,37,WIPRO,Wipro Limited,507685,-0.26,389.1,2283698,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
73,74,SURANASOL,Surana Solar Limited,533298,-0.26,18.9,24606,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
23,24,JINDALSTEL,Jindal Steel & Power Limited,532286,-0.29,576.3,2026025,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
41,42,RATEGAIN,Rategain Travel Technologies Ltd,543417,-0.42,342.1,192520,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
46,47,MOLDTECH,Mold-tek Technologies Limited,526263,-0.46,246.7,80847,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
61,62,RBA,Restaurant Brands Asia Ltd,543248,-0.47,95.2,505360,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
13,14,CARBORUNIV,Carborundum Universal Limited,513375,-0.55,994.0,45236,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
29,30,TMB,Tamilnad Mercantile Bank Ltd,543596,-0.56,453.35,47406,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
0,1,MRF,Mrf Limited,500290,-0.57,85111.2,4951,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
70,71,ITBEES,Nippon India ETF Nifty IT,,-0.58,30.86,2146238,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
52,53,HEIDELBERG,Heidelbergcement India Limited,500292,-0.59,169.75,42763,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
34,35,BFINVEST,Bf Investment Limited,533303,-0.63,409.9,17569,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
54,55,EIHOTEL,Eih Limited,500840,-0.66,165.95,195187,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
63,64,NATIONALUM,National Aluminium Company Limited,532234,-0.67,81.95,11716910,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
9,10,WHIRLPOOL,Whirlpool Of India Limited,500238,-0.68,1354.4,140954,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
49,50,SUPRIYA,Supriya Lifescience Ltd,543434,-0.78,208.8,84955,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
56,57,SAKSOFT,Saksoft Limited,590051,-0.82,145.5,313988,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
20,21,PRINCEPIPE,Prince Pipes & Fittings Ltd,542907,-0.86,586.05,58440,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
65,66,TNPETRO,Tamilnadu Petroproducts Limited,500777,-0.88,79.05,138072,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
66,67,SPENCERS,Spencers Retail Ltd,542337,-0.89,60.95,95916,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
50,51,NIFTYBEES,NIFTYBEES,,-0.98,190.75,4412613,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
35,36,PRESTIGE,Prestige Estates Projects Limited,533274,-1.0,400.35,126209,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
19,20,TANLA,Tanla Solutions Limited,532790,-1.01,634.35,168311,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
72,73,MORARJEE,Morarjee Textiles Limited,532621,-1.02,19.35,12101,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
14,15,MGL,Mahanagar Gas Limited,539957,-1.07,986.35,669134,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
31,32,SUNTV,Sun Tv Network Limited,532733,-1.13,436.9,589678,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
4,5,VINATIORGA,Vinati Organics Limited,524200,-1.13,1846.55,35811,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
45,46,FORTIS,Fortis Healthcare Limited,532843,-1.17,270.95,764223,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
26,27,LINC,Linc Ltd,531241,-1.22,522.25,5512,Intraday Buying seen in the past 15 minutes,11/03/2023 09:05:56
