,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
0,1,MRF,Mrf Limited,500290,-1.18,87149.7,2754,SELL OPEN=HIGH,23/12/2022 11:27:51
2,3,BOSCHLTD,Bosch Limited,500530,-1.41,17000.05,9914,SELL OPEN=HIGH,23/12/2022 11:27:51
8,9,INFY,Infosys Limited,500209,-1.45,1500.0,2542304,SELL OPEN=HIGH,23/12/2022 11:27:51
1,2,SHREECEM,Shree Cements Limited,500387,-1.63,23426.0,5045,SELL OPEN=HIGH,23/12/2022 11:27:51
7,8,MCX,Multi Commodity Exchange Of India Limited,534091,-1.63,1551.95,145290,SELL OPEN=HIGH,23/12/2022 11:27:51
3,4,ATUL,Atul Limited,500027,-1.79,7968.25,6270,SELL OPEN=HIGH,23/12/2022 11:27:51
13,14,HINDPETRO,Hindustan Petroleum Corporation Limited,500104,-1.8,225.95,720025,SELL OPEN=HIGH,23/12/2022 11:27:51
9,10,PEL,Piramal Enterprises Limited,500302,-1.98,811.2,352711,SELL OPEN=HIGH,23/12/2022 11:27:51
5,6,MPHASIS,Mphasis Limited,526299,-2.17,1946.0,115851,SELL OPEN=HIGH,23/12/2022 11:27:51
12,13,CROMPTON,Crompton Greaves Consumer Electricals Limited,539876,-2.38,344.8,189810,SELL OPEN=HIGH,23/12/2022 11:27:51
6,7,ASTRAL,Astral Poly Technik Limited,532830,-2.8,1911.05,135764,SELL OPEN=HIGH,23/12/2022 11:27:51
11,12,TATAMOTORS,Tata Motors Limited,500570,-3.03,382.5,9120006,SELL OPEN=HIGH,23/12/2022 11:27:51
10,11,HINDALCO,Hindalco Industries Limited,500440,-3.33,440.35,2436604,SELL OPEN=HIGH,23/12/2022 11:27:51
4,5,NAUKRI,Info Edge (india) Limited,532777,-3.89,3936.0,180842,SELL OPEN=HIGH,23/12/2022 11:27:51
14,15,IBULHSGFIN,Indiabulls Housing Finance Limited,535789,-4.81,136.7,7514604,SELL OPEN=HIGH,23/12/2022 11:27:51
0,1,DELTACORP,Delta Corp Limited,532848,-4.35,199.0,2043145,My Intraday sell setup,23/12/2022 11:28:02
274,275,VISESHINFO,Visesh Infotecnics Limited,532411,0.0,0.55,4873814,Day Short Trade,23/12/2022 11:29:46
90,91,ICICI10GS,ICICI10GS,,0.0,207.0,1,Day Short Trade,23/12/2022 11:29:46
3,4,IVZINGOLD,Invesco India Gold ETF,533172,0.0,4880.1,29,Day Short Trade,23/12/2022 11:29:46
273,274,SANWARIA,Sanwaria Agro Oils Limited,519260,0.0,0.7,1211514,Day Short Trade,23/12/2022 11:29:46
268,269,BKMINDST,BKM Industries Ltd,539043,0.0,1.15,15899,Day Short Trade,23/12/2022 11:29:46
126,127,SINTERCOM,Sintercom India Ltd,535047,0.0,102.0,2753,Day Short Trade,23/12/2022 11:29:46
94,95,HDFCMOMENT,HDFC Nifty 200 Momentum 30 ETF,543628,-0.45,192.53,81,Day Short Trade,23/12/2022 11:29:46
20,21,SWARAJENG,Swaraj Engines Limited,500407,-0.78,1545.3,3072,Day Short Trade,23/12/2022 11:29:46
203,204,DANGEE,Dangee Dums Ltd,535104,-0.85,17.6,99104,Day Short Trade,23/12/2022 11:29:46
4,5,BRITANNIA,Britannia Industries Limited,500825,-1.01,4347.0,83532,Day Short Trade,23/12/2022 11:29:46
167,168,ICICIBANKN,ICICI Prudential Bank ETF,542730,-1.13,41.96,18505,Day Short Trade,23/12/2022 11:29:46
104,105,SBIETFQLTY,SBI - ETF Quality,535127,-1.17,149.7,1432,Day Short Trade,23/12/2022 11:29:46
19,20,TORNTPHARM,Torrent Pharmaceuticals Limited,500420,-1.19,1567.1,163974,Day Short Trade,23/12/2022 11:29:46
107,108,ONGC,Oil & Natural Gas Corporation Limited,500312,-1.23,140.5,3454299,Day Short Trade,23/12/2022 11:29:46
16,17,IVZINNIFTY,IVZINNIFTY,,-1.27,1985.0,2,Day Short Trade,23/12/2022 11:29:46
117,118,MOQUALITY,Motilal Oswal S&P BSE Quality ETF Fund,543577,-1.28,118.21,178,Day Short Trade,23/12/2022 11:29:46
127,128,NV20BEES,Nippon India ETF NV20,,-1.33,100.84,4471,Day Short Trade,23/12/2022 11:29:46
100,101,NTPC,Ntpc Limited,532555,-1.33,163.7,1639619,Day Short Trade,23/12/2022 11:29:46
88,89,HDFCPVTBAN,HDFCPVTBAN,,-1.34,213.3,164,Day Short Trade,23/12/2022 11:29:46
231,232,TNTELE,Tamilnadu Telecommunication Limited,523419,-1.35,7.3,2413,Day Short Trade,23/12/2022 11:29:46
138,139,KOTAKMID50,Kotak Midcap 50 ETF,535430,-1.43,85.99,2067,Day Short Trade,23/12/2022 11:29:46
38,39,HDFCSENETF,HDFC Sensex ETF,539517,-1.48,653.3,14903,Day Short Trade,23/12/2022 11:29:46
11,12,GALAXYSURF,Galaxy Surfactants Ltd,540935,-1.5,2520.0,8090,Day Short Trade,23/12/2022 11:29:46
201,202,ICICIMOM30,ICICI Prudential Nifty 200 Momentum 30 ETF,543568,-1.58,19.31,1263,Day Short Trade,23/12/2022 11:29:46
141,142,MAMFGETF,Mirae Asset Nifty India Manufacturing ETF,543454,-1.62,81.95,2300,Day Short Trade,23/12/2022 11:29:46
8,9,BAJAJ-AUTO,Bajaj Auto Limited,532977,-1.62,3542.5,58149,Day Short Trade,23/12/2022 11:29:46
175,176,CPSEETF,CPSE ETF*,538057,-1.62,36.94,199694,Day Short Trade,23/12/2022 11:29:46
