,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
4,5,CIPLA,Cipla Limited,500087,0.61,1129.3,1606043,PERFECT BEARISH,23/12/2022 12:08:33
5,6,SUNPHARMA,Sun Pharmaceuticals Industries Limited,524715,0.15,1012.15,2171572,PERFECT BEARISH,23/12/2022 12:08:33
6,7,GLENMARK,Glenmark Pharmaceuticals Limited,532296,-0.32,435.0,1315712,PERFECT BEARISH,23/12/2022 12:08:33
0,1,APOLLOHOSP,Apollo Hospitals Enterprise Limited,508869,-0.45,4760.4,275772,PERFECT BEARISH,23/12/2022 12:08:33
3,4,SBILIFE,SBI Life Insurance Company Ltd,540719,-0.89,1233.7,385117,PERFECT BEARISH,23/12/2022 12:08:33
1,2,ALKEM,Alkem Laboratories Limited,539523,-1.14,3051.3,46488,PERFECT BEARISH,23/12/2022 12:08:33
2,3,MPHASIS,Mphasis Limited,526299,-2.68,1935.85,144432,PERFECT BEARISH,23/12/2022 12:08:33
3,4,AXISBANK,Axis Bank Limited,532215,-1.2,908.5,2901145,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
9,10,ABFRL,Aditya Birla Fashion And Retail Limited,535755,-1.52,287.95,1256407,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
1,2,ASIANPAINT,Asian Paints Limited,500820,-1.58,3039.85,578923,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
8,9,ITC,Itc Limited,500875,-1.85,326.3,4295509,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
7,8,CROMPTON,Crompton Greaves Consumer Electricals Limited,539876,-2.77,343.4,236592,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
2,3,ACC,Acc Limited,500410,-3.13,2435.0,98178,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
12,13,NMDC,Nmdc Limited,526371,-3.25,113.1,6218265,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
11,12,PFC,Power Finance Corporation Limited,532810,-3.42,132.55,3632101,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
5,6,AMBUJACEM,Ambuja Cements Limited,500425,-3.51,514.15,3246027,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
0,1,ADANIENT,Adani Enterprises Limited,512599,-3.74,3723.95,1513664,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
6,7,DLF,Dlf Limited,532868,-3.77,363.6,1963533,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
4,5,AUBANK,AU Small Finance Bank,540611,-3.94,645.05,1062142,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
10,11,RBLBANK,Rbl Bank Limited,540065,-3.95,155.7,6807078,My-intraday-sell-setup-ADX,23/12/2022 12:10:54
5,6,NAVINFLUOR,Navin Fluorine International Limited,532504,-0.36,4143.7,48646,Highly Bearish I-day,23/12/2022 12:11:33
0,1,PAGEIND,Page Industries Limited,532827,-0.38,43229.8,6603,Highly Bearish I-day,23/12/2022 12:11:33
15,16,HINDUNILVR,Hindustan Unilever Limited,500696,-0.44,2633.65,486035,Highly Bearish I-day,23/12/2022 12:11:33
13,14,OFSS,Oracle Financial Services Software Limited,532466,-0.51,2992.15,45503,Highly Bearish I-day,23/12/2022 12:11:33
36,37,HCLTECH,Hcl Technologies Limited,532281,-0.65,1032.35,1215919,Highly Bearish I-day,23/12/2022 12:11:33
11,12,TCS,Tata Consultancy Services Limited,532540,-0.72,3236.3,612712,Highly Bearish I-day,23/12/2022 12:11:33
39,40,ICICIBANK,Icici Bank Limited,532174,-0.86,883.0,4756829,Highly Bearish I-day,23/12/2022 12:11:33
63,64,NTPC,Ntpc Limited,532555,-0.87,164.45,2128752,Highly Bearish I-day,23/12/2022 12:11:33
28,29,HDFCBANK,Hdfc Bank Limited,500180,-0.98,1596.3,2507880,Highly Bearish I-day,23/12/2022 12:11:33
49,50,MARICO,Marico Limited,531642,-1.01,517.05,210477,Highly Bearish I-day,23/12/2022 12:11:33
16,17,HDFC,Housing Development Finance Corporation Limited,500010,-1.02,2617.35,1615657,Highly Bearish I-day,23/12/2022 12:11:33
3,4,BRITANNIA,Britannia Industries Limited,500825,-1.14,4341.2,99435,Highly Bearish I-day,23/12/2022 12:11:33
38,39,AXISBANK,Axis Bank Limited,532215,-1.18,908.7,2932547,Highly Bearish I-day,23/12/2022 12:11:33
37,38,TECHM,Tech Mahindra Limited,532755,-1.26,1003.0,732753,Highly Bearish I-day,23/12/2022 12:11:33
65,66,ONGC,Oil & Natural Gas Corporation Limited,500312,-1.3,140.4,4336656,Highly Bearish I-day,23/12/2022 12:11:33
2,3,NIFTY,NIFTY,,-1.32,17887.3,0,Highly Bearish I-day,23/12/2022 12:11:33
1,2,BANKNIFTY,BANKNIFTY,,-1.33,41846.2,0,Highly Bearish I-day,23/12/2022 12:11:33
42,43,JSWSTEEL,Jsw Steel Limited,500228,-1.34,727.7,893040,Highly Bearish I-day,23/12/2022 12:11:33
33,34,INDUSINDBK,Indusind Bank Limited,532187,-1.37,1164.0,1155036,Highly Bearish I-day,23/12/2022 12:11:33
23,24,ESCORTS,Escorts Limited,500495,-1.4,2056.7,142809,Highly Bearish I-day,23/12/2022 12:11:33
