,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
1,2,CYIENT,Cyient Limited,532175,5.66,941.4,422225,15 minute Stock Breakouts,14/02/2023 11:30:32
3,4,ELGIEQUIP,Elgi Equipments Limited,522074,3.99,458.6,256639,15 minute Stock Breakouts,14/02/2023 11:30:32
4,5,POONAWALLA,Poonawalla Fincorp Ltd,524000,2.93,311.0,1817515,15 minute Stock Breakouts,14/02/2023 11:30:32
0,1,BAJFINANCE,Bajaj Finance Limited,500034,1.47,6439.0,368017,15 minute Stock Breakouts,14/02/2023 11:30:32
2,3,MARICO,Marico Limited,531642,1.07,497.25,412584,15 minute Stock Breakouts,14/02/2023 11:30:32
3,4,VAISHALI,Vaishali Pharma Ltd,535000,11.21,137.95,93924,Intraday Buying seen in the past 15 minutes,14/02/2023 11:32:35
6,7,CEREBRAINT,Cerebra Integrated Technologies Limited,532413,4.44,11.75,1014119,Intraday Buying seen in the past 15 minutes,14/02/2023 11:32:35
5,6,MARKSANS,Marksans Pharma Limited,524404,3.1,68.15,1305172,Intraday Buying seen in the past 15 minutes,14/02/2023 11:32:35
4,5,KANPRPLA,Kanpur Plastipack Ltd,507779,2.88,87.45,35197,Intraday Buying seen in the past 15 minutes,14/02/2023 11:32:35
2,3,CLSEL,Chamanlal Setia Exports Ltd,530307,1.79,165.05,417119,Intraday Buying seen in the past 15 minutes,14/02/2023 11:32:35
0,1,AUROPHARMA,Aurobindo Pharma Limited,524804,-0.88,468.5,1177532,Intraday Buying seen in the past 15 minutes,14/02/2023 11:32:35
1,2,BAJAJHCARE,Bajaj Healthcare Ltd,539872,-3.87,364.0,42956,Intraday Buying seen in the past 15 minutes,14/02/2023 11:32:35
2,3,OIL,Oil India Limited,533106,6.06,255.6,6621910,Volume Shockers (stocks with rising volumes),14/02/2023 11:33:38
0,1,RHIM,RHI Magnesita India Ltd,534076,-7.6,691.9,1249723,Volume Shockers (stocks with rising volumes),14/02/2023 11:33:38
1,2,ALLCARGO,Allcargo Logistics Limited,532749,-14.73,346.05,3150764,Volume Shockers (stocks with rising volumes),14/02/2023 11:33:38
2,3,OIL,Oil India Limited,533106,6.06,255.6,6645853,Short term breakouts,14/02/2023 11:34:44
1,2,FOCUS,Focus Lighting & Fixtures Ltd,538416,4.99,400.65,45274,Short term breakouts,14/02/2023 11:34:44
0,1,LINC,Linc Ltd,531241,4.82,516.1,49368,Short term breakouts,14/02/2023 11:34:44
5,6,MOTOGENFIN,The Motor & General Finance Limited,501343,3.42,42.35,340118,Short term breakouts,14/02/2023 11:34:44
4,5,RAJRILTD,Raj Rayon Industries Ltd,530699,1.94,65.75,4142,Short term breakouts,14/02/2023 11:34:44
3,4,AXITA,Axita Cotton Ltd,542285,0.69,65.85,2226008,Short term breakouts,14/02/2023 11:34:44
0,1,CYIENT,Cyient Limited,532175,5.33,938.5,445078,Potential breakouts,14/02/2023 11:37:50
2,3,GLENMARK,Glenmark Pharmaceuticals Limited,532296,3.96,439.35,3102388,Potential breakouts,14/02/2023 11:37:50
3,4,63MOONS,63 Moons Technologies,526881,3.57,214.9,516743,Potential breakouts,14/02/2023 11:37:50
1,2,MGL,Mahanagar Gas Limited,539957,-0.54,887.05,304966,Potential breakouts,14/02/2023 11:37:50
