,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
204,205,INDSWFTLTD,Ind-swift Limited,524652,19.68,11.25,478017,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
183,184,MANAKALUCO,Manaksia Aluminium Company Limited,539045,10.43,21.7,477288,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
77,78,SHILPAMED,Shilpa Medicare Limited,530549,9.75,294.3,3478512,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
151,152,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Ltd,524396,3.09,58.4,527132,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
18,19,AJANTPHARM,Ajanta Pharma Limited,532331,0.98,1239.4,297878,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
169,170,MGEL,Mangalam Global Enterprise Ltd,535349,0.6,33.45,74185,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
132,133,AXISHCETF,Axis Healthcare ETF,535382,0.17,82.81,43860,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
224,225,FCONSUMER,Future Consumer Limited,533400,0.0,1.45,4807043,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
21,22,LIQUIDETF,DSP BlackRock Liquid ETF,541097,0.0,1000.0,35298,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
19,20,EBBETF0423,Bharat Bond ETF - April 2023,542908,-0.04,1206.02,6851,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
79,80,SWANENERGY,Swan Energy Limited,503310,-0.05,286.0,474406,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
27,28,HATSUN,Hatsun Agro Product Limited,531531,-0.24,898.0,19826,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
99,100,DYCL,Dynamic Cables Ltd,535405,-0.29,172.3,96867,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
1,2,NIFTYHEALTHCARE,NIFTYHEALTHCARE,,-0.35,8201.35,0,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
142,143,ICICISILVE,ICICI Prudential Silver ETF,543452,-0.42,68.93,844887,MACD Bearish or Bullish crossover,23/12/2022 14:31:51
