,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
32,33,OLECTRA,Olectra Greentech Ltd,532439,19.13,479.25,5992726,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
71,72,SKIPPER,Skipper Limited,538562,13.43,103.9,879149,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
131,132,EXCEL,Excel Realty N Infra Limited,533090,12.5,0.45,2020268,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
92,93,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Ltd,524396,11.76,48.95,75334,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
68,69,RELINFRA,Reliance Infrastructure Limited,500390,9.37,126.65,2693720,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
91,92,HBSL,HB Stockholdings Ltd,532216,8.5,49.8,81514,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
104,105,RSSOFTWARE,R. S. Software (india) Limited,517447,6.06,26.25,251626,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
37,38,CAMPUS,Campus Activewear Ltd,543523,5.95,398.25,1302227,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
115,116,DISHTV,Dish Tv India Limited,532839,5.15,14.3,5528084,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
124,125,JYOTISTRUC,Jyoti Structures Limited,513250,5.0,7.35,722682,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
82,83,PRESSMN,Pressman Advertising Limited,509077,4.99,68.35,18011,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
103,104,EROSMEDIA,Eros International Media Limited,533261,4.95,28.65,420819,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
127,128,GAYAPROJ,Gayatri Projects Limited,532767,4.92,6.4,272845,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
106,107,PCJEWELLER,Pc Jeweller Limited,534809,4.89,24.65,7709921,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
119,120,ALOKINDS,Alok Industries Ltd,521070,4.72,12.2,1035192,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
130,131,UJAAS,Ujaas Energy Limited,533644,4.55,2.3,56753,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
111,112,INFIBEAM,Infibeam Incorporation Limited,539807,3.6,17.25,48736916,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
81,82,ZIMLAB,Zim Laboratories Ltd,541400,3.57,76.85,10649,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
100,101,CROWN,Crown Lifters Ltd,538371,3.24,35.0,1005,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
105,106,BLBLIMITED,Blb Limited,532290,3.2,25.8,123479,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
94,95,TIMESGTY,Times Guaranty Limited,511559,2.88,46.4,992,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
64,65,GEECEE,Geecee Ventures Limited,532764,2.73,144.95,25585,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
123,124,ORIENTALTL,Oriental Trimex Limited,532817,2.72,7.55,66758,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
70,71,STARCEMENT,Star Cement Ltd,540575,2.6,112.6,234532,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
57,58,VERTOZ,Vertoz Advertising Ltd,535029,2.4,213.1,43009,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
42,43,EVEREADY,Eveready Industries India Limited,531508,1.89,317.85,20421,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
117,118,OILCOUNTUB,Oil Country Tubular Limited,500313,1.81,14.1,4849,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
112,113,VISHWARAJ,Vishwaraj Sugar Industries Ltd,542852,1.6,15.85,201247,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
47,48,JKIL,J.kumar Infraprojects Limited,532940,1.56,264.3,55881,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
39,40,KIRLOSBROS,Kirloskar Brothers Limited,500241,1.33,360.95,97163,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
90,91,MARALOVER,Maral Overseas Limited,521018,1.16,52.4,3315,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
27,28,CCL,Ccl Products (india) Limited,519600,1.01,555.0,76613,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
56,57,COALINDIA,Coal India Limited,533278,0.77,216.55,3654103,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
108,109,MCLEODRUSS,Mcleod Russel India Limited,532654,0.76,20.0,109218,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
44,45,RAMKY,Ramky Infrastructure Limited,533262,0.76,283.7,53103,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
65,66,JAYBARMARU,Jay Bharat Maruti Limited,520066,0.73,143.95,6910,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
125,126,AAKASH,Aakash Exploration Services Ltd,535076,0.72,7.0,242835,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
34,35,COCHINSHIP,Cochin Shipyard,540678,0.69,464.6,204300,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
95,96,KHAITANLTD,Khaitan (india) Limited,590068,0.66,45.5,275,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
77,78,MAXIND,Max India Ltd,539981,0.58,86.2,29846,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
58,59,SPARC,Sun Pharma Advanced Research Company Limited,532872,0.55,191.85,795183,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
18,19,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,506618,0.54,894.5,7191,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
87,88,ARCHIDPLY,Archidply Industries Limited,532994,0.53,57.0,14172,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
86,87,ELECTHERM,Electrotherm (india) Limited,526608,0.5,60.0,36739,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
80,81,GIPCL,Gujarat Industries Power Company Limited,517300,0.38,79.25,76167,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
61,62,CLSEL,Chamanlal Setia Exports Ltd,530307,0.38,158.6,93351,MACD Bearish or Bullish crossover,24/02/2023 13:41:09
