Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,ABB,500002,E,ABB INDIA LIMITED,ABB INDIA LIMITED,1,0.05,ABB
BSE,bse_cm,AEGISLOG,500003,E,AEGIS LOGISTICS LTD.,AEGIS LOGISTICS LTD.,1,0.05,AEGISLOG
BSE,bse_cm,AMARAJABAT,500008,E,AMARA RAJA BATTERIES LTD.,AMARA RAJA BATTERIES LTD.,1,0.05,AMARAJABAT
BSE,bse_cm,AMBALALSA,500009,E,AMBALAL SARABHAI ENTERPRISES L,AMBALAL SARABHAI ENTERPRISES L,1,0.05,AMBALALSA
BSE,bse_cm,HDFC,500010,E,HOUSING DEVELOPMENT FINANCE CO,HOUSING DEVELOPMENT FINANCE CO,1,0.05,HDFC
BSE,bse_cm,ANDHRAPET,500012,E,ANDHRA PETROCHEMICALS LTD.,ANDHRA PETROCHEMICALS LTD.,1,0.05,ANDHRAPET
BSE,bse_cm,ANSALAPI,500013,E,ANSAL PROPERTIES & INFRASTRUCT,ANSAL PROPERTIES & INFRASTRUCT,1,0.05,ANSALAPI
BSE,bse_cm,UTIQUE,500014,E,UTIQUE ENTERPRISES LIMITED,UTIQUE ENTERPRISES LIMITED,1,0.01,UTIQUE
BSE,bse_cm,ARUNAHTEL,500016,E,ARUNA HOTELS LTD.,ARUNA HOTELS LTD.,1,0.01,ARUNAHTEL
BSE,bse_cm,BOMDYEING,500020,E,BOMBAY DYEING & MFG.CO.LTD.,BOMBAY DYEING & MFG.CO.LTD.,1,0.05,BOMDYEING
BSE,bse_cm,ASIANHOTNR,500023,E,ASIAN HOTELS (NORTH) LIMITED,ASIAN HOTELS (NORTH) LIMITED,1,0.05,ASIANHOTNR
BSE,bse_cm,ATUL,500027,E,ATUL LTD.,ATUL LTD.,1,0.05,ATUL
BSE,bse_cm,ATVPR,500028,E,ATV PROJECTS INDIA LTD.,ATV PROJECTS INDIA LTD.,1,0.01,ATVPR
BSE,bse_cm,BAJAJELEC,500031,E,BAJAJ ELECTRICALS LTD.,BAJAJ ELECTRICALS LTD.,1,0.05,BAJAJELEC
BSE,bse_cm,BAJAJHIND,500032,E,BAJAJ HINDUSTHAN SUGAR LIMITED,BAJAJ HINDUSTHAN SUGAR LIMITED,1,0.05,BAJAJHIND
BSE,bse_cm,FORCEMOT,500033,E,FORCE MOTORS LTD.,FORCE MOTORS LTD.,1,0.05,FORCEMOT
BSE,bse_cm,BAJFINANCE,500034,E,BAJAJ FINANCE LIMITED,BAJAJ FINANCE LIMITED,1,0.05,BAJFINANCE
BSE,bse_cm,BALRAMCHIN*,500038,E,BALRAMPUR CHINI MILLS LTD.,BALRAMPUR CHINI MILLS LTD.,1,0.05,BALRAMCHIN*
BSE,bse_cm,BANCOINDIA,500039,E,BANCO PRODUCTS (INDIA) LTD.,BANCO PRODUCTS (INDIA) LTD.,1,0.05,BANCOINDIA
BSE,bse_cm,CENTURYTEX,500040,E,CENTURY TEXTILES & INDUSTRIES,CENTURY TEXTILES & INDUSTRIES,1,0.05,CENTURYTEX
BSE,bse_cm,BANARISUG,500041,E,BANNARI AMMAN SUGARS LTD.,BANNARI AMMAN SUGARS LTD.,1,0.05,BANARISUG
BSE,bse_cm,BASF,500042,E,BASF INDIA LTD.,BASF INDIA LTD.,1,0.05,BASF
BSE,bse_cm,BATAINDIA,500043,E,BATA INDIA LTD.,BATA INDIA LTD.,1,0.05,BATAINDIA
BSE,bse_cm,BEML,500048,E,BEML LTD.,BEML LTD.,1,0.05,BEML
BSE,bse_cm,BEL,500049,E,BHARAT ELECTRONICS LTD.,BHARAT ELECTRONICS LTD.,1,0.05,BEL
BSE,bse_cm,BEPL,500052,E,BHANSALI ENGINEERING POLYMERS,BHANSALI ENGINEERING POLYMERS,1,0.05,BEPL
