Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,975310,1,840DIT26,840DIT26,F,0.01,
BSE,975309,1,875SFL34,875SFL34,F,0.01,
BSE,975308,1,10HFL25,10HFL25,F,0.01,
BSE,975307,1,1025HFLTD26,1025HFLTD26,F,0.01,
BSE,975306,1,1050HFLTD27,1050HFLTD27,F,0.01,
BSE,975305,1,945SRSL29,945SRSL29,F,0.01,
BSE,975304,1,91JMFPL27,91JMFPL27,F,0.01,
BSE,975303,100000,1015SBL27,1015SBL27,F,0.01,
BSE,975302,1,19HWBPL25,19HWBPL25,F,0.01,
BSE,975301,1,920PLUM27,920PLUM27,F,0.01,
BSE,975300,100000,1135TTDT26,1135TTDT26,F,0.01,
BSE,975299,1,1425TG1226,1425TG1226,F,0.01,
BSE,975298,1,965HHFL38,965HHFL38,F,0.01,
BSE,975297,1,995VT29,995VT29,F,0.01,
BSE,975296,1,955VT29,955VT29,F,0.01,
BSE,975295,1,SFL291223,SFL291223,F,0.01,
BSE,975294,1,JMFHL291223,JMFHL291223,F,0.01,
BSE,975293,1,829AFL27,829AFL27,F,0.01,
BSE,975292,1,960HCFSL29,960HCFSL29,F,0.01,
BSE,975291,1,83AFL25,83AFL25,F,0.01,
BSE,975290,1,126MFL25,126MFL25,F,0.01,
BSE,975289,1,845HFSLPER,845HFSLPER,F,0.01,
BSE,975287,1,RSGPL5427,RSGPL5427,F,0.01,
BSE,975286,1,970MHGIC33,970MHGIC33,F,0.01,
BSE,975285,1,145LMPF29,145LMPF29,F,0.01,
BSE,975284,1,995PDL25,995PDL25,F,0.01,
BSE,975283,1,824KMIL27,824KMIL27,F,0.01,
BSE,975282,1,10MCSL26,10MCSL26,F,0.01,
BSE,975281,1,855PNBPER,855PNBPER,F,0.01,
BSE,975280,1,13EFL29,13EFL29,F,0.01,
BSE,975279,1,81BFL27,81BFL27,F,0.01,
BSE,975278,1,1255NCPL25,1255NCPL25,F,0.01,
BSE,975277,1,1175ESPLD25,1175ESPLD25,F,0.01,
BSE,975276,1,KPDL221223,KPDL221223,F,0.01,
BSE,975275,1,975VFPL27,975VFPL27,F,0.01,
BSE,975274,1,MCIL261223,MCIL261223,F,0.01,
BSE,975273,1,895KIIFB31,895KIIFB31,F,0.01,
BSE,975272,1,895KIIFB33,895KIIFB33,F,0.01,
BSE,975271,1,895KIIFB32,895KIIFB32,F,0.01,
BSE,975270,1,895KIIFB30,895KIIFB30,F,0.01,
BSE,975269,1,895KIIFB29,895KIIFB29,F,0.01,
BSE,975268,1,895KIIFB28,895KIIFB28,F,0.01,
BSE,975267,1,895KIIFB27,895KIIFB27,F,0.01,
BSE,975266,1,1750WEPL28,1750WEPL28,F,0.01,
BSE,975265,1,768IREDAL33,768IREDAL33,F,0.01,
BSE,975264,1,975MFL28,975MFL28,F,0.01,
BSE,975263,1,840HDBFSL33,840HDBFSL33,F,0.01,
BSE,975262,1,765NBFID38,765NBFID38,F,0.01,
BSE,975261,1,775BOB33,775BOB33,F,0.01,
BSE,975260,1,765NABARD34,765NABARD34,F,0.01,
BSE,975259,1,923SFL27,923SFL27,F,0.01,
BSE,975258,1,925SFL25,925SFL25,F,0.01,
BSE,975257,1,990AFPL26A,990AFPL26A,F,0.01,
BSE,975256,1,5GMRAL26A,5GMRAL26A,F,0.01,
BSE,975255,1,771HDFCBL33,771HDFCBL33,F,0.01,
BSE,975254,1,0DSRPL26,0DSRPL26,F,0.01,
BSE,975253,1,880HLFL26,880HLFL26,F,0.01,
BSE,975252,1,1011SSFL25,1011SSFL25,F,0.01,
BSE,975251,1,995PDL33,995PDL33,F,0.01,
BSE,975250,1,85HFSLPER,85HFSLPER,F,0.01,
BSE,975249,1,820KMPL28,820KMPL28,F,0.01,
BSE,975248,1,767IRFC33,767IRFC33,F,0.01,
BSE,975247,1,769PFCL38,769PFCL38,F,0.01,
BSE,975246,1,950FSBFL26,950FSBFL26,F,0.01,
BSE,975245,1,799BOM33,799BOM33,F,0.01,
BSE,975244,100000,880STNIV29,880STNIV29,F,0.01,
BSE,975243,1,12JHL131223,12JHL131223,F,0.01,
BSE,975242,1,767RL38,767RL38,F,0.01,
BSE,975241,1,779RL25,779RL25,F,0.01,
BSE,975240,1,975V003T29,975V003T29,F,0.01,
BSE,975239,1,1025NFL26,1025NFL26,F,0.01,
BSE,975238,1,767IIFCL38,767IIFCL38,F,0.01,
BSE,975237,1,1150ACAPL25,1150ACAPL25,F,0.01,
BSE,975236,1,1075MFSL29,1075MFSL29,F,0.01,
BSE,975235,1,1225AFPL29,1225AFPL29,F,0.01,
BSE,975234,1,774DDL38,774DDL38,F,0.01,
BSE,975233,1,12ARPL27,12ARPL27,F,0.01,
BSE,975232,1,768BOB33,768BOB33,F,0.01,
BSE,975231,1,940HLFL31,940HLFL31,F,0.01,
BSE,975230,1,JCL301123,JCL301123,F,0.01,
BSE,975229,1,1420SML29,1420SML29,F,0.01,
BSE,975228,1,907JFSL25,907JFSL25,F,0.01,
BSE,975227,1,1180KSPL25,1180KSPL25,F,0.01,
BSE,975226,1,77PFCL33,77PFCL33,F,0.01,
BSE,975225,1,1250AYO2027,1250AYO2027,F,0.01,
BSE,975224,1,925SHFL33,925SHFL33,F,0.01,
BSE,975223,1,990AFPL26,990AFPL26,F,0.01,
BSE,975222,1,1160KFL25,1160KFL25,F,0.01,
BSE,975221,1,975DMIFPL25,975DMIFPL25,F,0.01,
BSE,975220,1,1315MFL25,1315MFL25,F,0.01,
BSE,975219,1,771RECL33,771RECL33,F,0.01,
BSE,975218,1,780RECL26,780RECL26,F,0.01,
BSE,975217,1,960GDL26,960GDL26,F,0.01,
BSE,975216,1,96GDPL26,96GDPL26,F,0.01,
BSE,975215,1,1090SCNL25A,1090SCNL25A,F,0.01,
BSE,975214,1,768IRFC26,768IRFC26,F,0.01,
BSE,975213,1,890SFL28,890SFL28,F,0.01,
BSE,975212,1,880SFL33,880SFL33,F,0.01,
BSE,975211,1,1075NBPL25,1075NBPL25,F,0.01,
BSE,975210,1,5GMRAL26,5GMRAL26,F,0.01,
BSE,975209,1,PCHFL221123,PCHFL221123,F,0.01,
BSE,975208,1,810AFL28,810AFL28,F,0.01,
BSE,975207,1,875JMFSL25,875JMFSL25,F,0.01,
BSE,975206,1,1075AFL29,1075AFL29,F,0.01,
BSE,975205,1,8IHFCL25,8IHFCL25,F,0.01,
BSE,975204,1,1003WB225,1003WB225,F,0.01,
BSE,975203,1,812HDB28,812HDB28,F,0.01,
BSE,975202,1,995PDLL26,995PDLL26,F,0.01,
BSE,975201,1,10GGIAL43,10GGIAL43,F,0.01,
BSE,975200,1,892JMFPL26,892JMFPL26,F,0.01,
BSE,975199,1,81929KMIL27,81929KMIL27,F,0.01,
BSE,975198,1,1UCL25,1UCL25,F,0.01,
BSE,975197,1,10MMFL25,10MMFL25,F,0.01,
BSE,975196,10000000,875SN23II28,875SN23II28,F,0.01,
BSE,975195,1,809KMPL26,809KMPL26,F,0.01,
BSE,975194,1,975CIFCPL25,975CIFCPL25,F,0.01,
BSE,975193,1,779RIL33,779RIL33,F,0.01,
BSE,975192,1,9MDL26,9MDL26,F,0.01,
BSE,975191,1,771RL33,771RL33,F,0.01,
BSE,975190,1,777RL26,777RL26,F,0.01,
BSE,975189,1,925SKFL26,925SKFL26,F,0.01,
BSE,975188,1,8995JMFPL26,8995JMFPL26,F,0.01,
BSE,975187,1,1330PFSPL26,1330PFSPL26,F,0.01,
BSE,975186,1,965ACPL26,965ACPL26,F,0.01,
BSE,975185,1,1090SCNTL25,1090SCNTL25,F,0.01,
BSE,975184,1,78MTNL33A,78MTNL33A,F,0.01,
BSE,975183,1,990VFIPL25,990VFIPL25,F,0.01,
BSE,975182,1,88606JFHL26,88606JFHL26,F,0.01,
BSE,975181,1,1295SIFPL28,1295SIFPL28,F,0.01,
BSE,975180,1,781SBI38,781SBI38,F,0.01,
BSE,975179,1,13SCNL26,13SCNL26,F,0.01,
BSE,975178,100000,911ST301023,911ST301023,F,0.01,
BSE,975177,100000,88ST301023,88ST301023,F,0.01,
BSE,975176,1,813ABHFL28,813ABHFL28,F,0.01,
BSE,975175,1,810IIL35,810IIL35,F,0.01,
BSE,975174,1,796IHFCL25,796IHFCL25,F,0.01,
BSE,975173,1,1019KSPL24,1019KSPL24,F,0.01,
BSE,975172,1,1195LFL26,1195LFL26,F,0.01,
BSE,975171,1,825AFL33,825AFL33,F,0.01,
BSE,975170,1,1350PFSPL27,1350PFSPL27,F,0.01,
BSE,975169,1,0PCPL28,0PCPL28,F,0.01,
BSE,975168,1,82185KMIL26,82185KMIL26,F,0.01,
BSE,975167,1,82134KMIL25,82134KMIL25,F,0.01,
BSE,975166,1,1069LFL25,1069LFL25,F,0.01,
BSE,975165,1,1171LFL25,1171LFL25,F,0.01,
BSE,975164,1,769IIFC38,769IIFC38,F,0.01,
BSE,975163,1,984KSPL25,984KSPL25,F,0.01,
BSE,975162,1,980KSPL24,980KSPL24,F,0.01,
BSE,975161,1,1310SHFL27,1310SHFL27,F,0.01,
BSE,975160,1,817IML25,817IML25,F,0.01,
BSE,975159,1,1045CIFCP25,1045CIFCP25,F,0.01,
BSE,975158,1,8BFL28,8BFL28,F,0.01,
BSE,975157,1,14AGAB25,14AGAB25,F,0.01,
BSE,975155,1,810KMPL26,810KMPL26,F,0.01,
BSE,975154,1,11SCNL26,11SCNL26,F,0.01,
BSE,975153,1,775IREDA33,775IREDA33,F,0.01,
BSE,975152,1,770PGCIL33,770PGCIL33,F,0.01,
BSE,975151,1,1260MFL25A,1260MFL25A,F,0.01,
BSE,975150,1,1010CIFCP26,1010CIFCP26,F,0.01,
BSE,975149,1,ZCPSLPL29,ZCPSLPL29,F,0.01,
BSE,975148,1,10BML26,10BML26,F,0.01,
BSE,975147,1,845SFL26A,845SFL26A,F,0.01,
BSE,975146,1,845SFL25A,845SFL25A,F,0.01,
BSE,975145,1,845SFL26,845SFL26,F,0.01,
BSE,975144,1,845SFL25,845SFL25,F,0.01,
BSE,975143,1,865MNFL25,865MNFL25,F,0.01,
BSE,975142,1,880MFL25,880MFL25,F,0.01,
BSE,975141,1,1075SSFL25A,1075SSFL25A,F,0.01,
BSE,975140,1,1075SSFL25,1075SSFL25,F,0.01,
BSE,975139,1,NNPCPL51023,NNPCPL51023,F,0.01,
BSE,975138,1,7LKCPL24,7LKCPL24,F,0.01,
BSE,975137,1,0MSFL25A,0MSFL25A,F,0.01,
BSE,975136,1,875STSIX28,875STSIX28,F,0.01,
BSE,975135,1,962DXXI2329,962DXXI2329,F,0.01,
BSE,975134,1,910DXXI2329,910DXXI2329,F,0.01,
BSE,975133,1,2075CSDPL24,2075CSDPL24,F,0.01,
BSE,975132,1,1021JMFAR25,1021JMFAR25,F,0.01,
BSE,975131,1,1025ICFL25,1025ICFL25,F,0.01,
BSE,975130,1,810SMIL28,810SMIL28,F,0.01,
BSE,975129,1,875SFLTD26,875SFLTD26,F,0.01,
BSE,975128,1,875SHFL26,875SHFL26,F,0.01,
BSE,975127,1,KPIL031023,KPIL031023,F,0.01,
BSE,975126,1,1060KSPL24,1060KSPL24,F,0.01,
BSE,975125,1,1050KSPL24,1050KSPL24,F,0.01,
BSE,975124,1,772TPCL32,772TPCL32,F,0.01,
BSE,975123,1,1450EARCL25,1450EARCL25,F,0.01,
BSE,975122,1,JMFHL28923,JMFHL28923,F,0.01,
BSE,975121,1,1115LFL25,1115LFL25,F,0.01,
BSE,975120,1,975MFSL26,975MFSL26,F,0.01,
BSE,975119,1,1125NCPLD24,1125NCPLD24,F,0.01,
BSE,975118,1,1055CIFCP26,1055CIFCP26,F,0.01,
BSE,975117,1,1045EFL26,1045EFL26,F,0.01,
BSE,975116,1,GRIHF27923,GRIHF27923,F,0.01,
BSE,975115,1,MDL27923,MDL27923,F,0.01,
BSE,975114,1,815TAGICL33,815TAGICL33,F,0.01,
BSE,975113,1,945WL29,945WL29,F,0.01,
BSE,975112,1,815HEGIC33,815HEGIC33,F,0.01,
BSE,975111,1,804KMIL26,804KMIL26,F,0.01,
BSE,975110,1,804KMIL25,804KMIL25,F,0.01,
BSE,975109,1,141PST27,141PST27,F,0.01,
BSE,975108,1,803RLPER,803RLPER,F,0.01,
BSE,975107,1,995PDL26,995PDL26,F,0.01,
BSE,975106,1,859PNBPERP,859PNBPERP,F,0.01,
BSE,975105,1,763NBRD28,763NBRD28,F,0.01,
BSE,975104,1,78SCL30,78SCL30,F,0.01,
BSE,975102,1,749SBI38,749SBI38,F,0.01,
BSE,975101,1,HMTL26923,HMTL26923,F,0.01,
BSE,975100,1,1075AFPL25,1075AFPL25,F,0.01,
BSE,975099,1,0MSFL2025,0MSFL2025,F,0.01,
BSE,975098,1,8AFL2026,8AFL2026,F,0.01,
BSE,975097,1,1125NCPL24,1125NCPL24,F,0.01,
BSE,975096,1,975INDIGO28,975INDIGO28,F,0.01,
BSE,975095,1,1075NBSP25,1075NBSP25,F,0.01,
BSE,975094,1,11VAMPL27,11VAMPL27,F,0.01,
BSE,975093,1,0EEL25,0EEL25,F,0.01,
BSE,975092,1,1175ESPL25,1175ESPL25,F,0.01,
BSE,975091,1,850GPL28,850GPL28,F,0.01,
BSE,975090,1,830GPL27,830GPL27,F,0.01,
BSE,975089,1,779BFL33,779BFL33,F,0.01,
BSE,975088,1,105HFL27,105HFL27,F,0.01,
BSE,975087,1,1025HFL26,1025HFL26,F,0.01,
BSE,975086,1,10HFL24,10HFL24,F,0.01,
BSE,975085,1,12SII24,12SII24,F,0.01,
BSE,975084,1,930MOFL33,930MOFL33,F,0.01,
BSE,975083,1,DLFCDL20923,DLFCDL20923,F,0.01,
BSE,975082,1,797KMIL25,797KMIL25,F,0.01,
BSE,975081,1,950IFSL25,950IFSL25,F,0.01,
BSE,975080,1,753IIFCL38,753IIFCL38,F,0.01,
BSE,975079,1,856UCL25,856UCL25,F,0.01,
BSE,975078,1,798BOM33,798BOM33,F,0.01,
BSE,975077,1,1125NGCPL24,1125NGCPL24,F,0.01,
BSE,975076,1,799MMFSL26,799MMFSL26,F,0.01,
BSE,975075,1,9AFPL25A,9AFPL25A,F,0.01,
BSE,975074,1,8AFL26,8AFL26,F,0.01,
BSE,975073,1,9MSFL28,9MSFL28,F,0.01,
BSE,975072,1,MOFL12923,MOFL12923,F,0.01,
BSE,975071,1,10RGWSPL25,10RGWSPL25,F,0.01,
BSE,975070,1,776THDCIL33,776THDCIL33,F,0.01,
BSE,975069,1,757ABFRL30,757ABFRL30,F,0.01,
BSE,975068,1,803MBPR26,803MBPR26,F,0.01,
BSE,975067,1,1085IHFL26,1085IHFL26,F,0.01,
BSE,975066,1,9096JMFSL26,9096JMFSL26,F,0.01,
BSE,975065,1,785BFL28,785BFL28,F,0.01,
BSE,975064,1,1160KFPL25,1160KFPL25,F,0.01,
BSE,975063,1,1043SSFL25,1043SSFL25,F,0.01,
BSE,975062,1,860VEL28,860VEL28,F,0.01,
BSE,975061,1,EFL5923,EFL5923,F,0.01,
BSE,975060,1,1036WB24,1036WB24,F,0.01,
BSE,975059,1,1075SSFL26,1075SSFL26,F,0.01,
BSE,975058,1,9AFPL25,9AFPL25,F,0.01,
BSE,975057,1,1125ESFBL29,1125ESFBL29,F,0.01,
BSE,975056,1,803EOP25,803EOP25,F,0.01,
BSE,975055,1,785BHFL28,785BHFL28,F,0.01,
BSE,975054,1,88CBI33,88CBI33,F,0.01,
BSE,975053,1,MDL31823,MDL31823,F,0.01,
BSE,975052,1,935AFSL25,935AFSL25,F,0.01,
BSE,975051,1,81EOP28,81EOP28,F,0.01,
BSE,975050,1,1195NFL26,1195NFL26,F,0.01,
BSE,975049,1,1050AFPL25,1050AFPL25,F,0.01,
BSE,975048,1,760PFCL33,760PFCL33,F,0.01,
BSE,975047,1,764PFCL26,764PFCL26,F,0.01,
BSE,975046,1,0PFCL26,0PFCL26,F,0.01,
BSE,975045,1,1060SSFP25,1060SSFP25,F,0.01,
BSE,975044,1,784IGT30,784IGT30,F,0.01,
BSE,975043,1,IGT24823,IGT24823,F,0.01,
BSE,975042,1,IGT240823,IGT240823,F,0.01,
BSE,975041,1,945HLFL33,945HLFL33,F,0.01,
BSE,975040,1,761MTNL33,761MTNL33,F,0.01,
BSE,975039,1,75PGCIL33,75PGCIL33,F,0.01,
BSE,975038,1,1070FSFBL29,1070FSFBL29,F,0.01,
BSE,975037,1,975DIAL2030,975DIAL2030,F,0.01,
BSE,975036,1,735IGT38,735IGT38,F,0.01,
BSE,975035,1,1095SCNL25,1095SCNL25,F,0.01,
BSE,975034,1,1051PIRGT25,1051PIRGT25,F,0.01,
BSE,975033,1,1005MFL29A,1005MFL29A,F,0.01,
BSE,975032,1,1075OPGPL26,1075OPGPL26,F,0.01,
BSE,975031,100000,SHIVA110823,SHIVA110823,F,0.01,
BSE,975030,1,764RL26,764RL26,F,0.01,
BSE,975029,1,85AHFL26A,85AHFL26A,F,0.01,
BSE,975028,1,1553PAT25,1553PAT25,F,0.01,
BSE,975027,1,IFSL110823,IFSL110823,F,0.01,
BSE,975026,1,975IKFFL25,975IKFFL25,F,0.01,
BSE,975025,1,955RFSPPL26,955RFSPPL26,F,0.01,
BSE,975024,1,763IREDA33,763IREDA33,F,0.01,
BSE,975023,1,17ENGDPL28,17ENGDPL28,F,0.01,
BSE,975022,1,910MFL2026,910MFL2026,F,0.01,
BSE,975021,1,790JUPPL28,790JUPPL28,F,0.01,
BSE,975020,1,1060AFPL24,1060AFPL24,F,0.01,
BSE,975019,1,82HEPL39,82HEPL39,F,0.01,
BSE,975018,1,875STJII28,875STJII28,F,0.01,
BSE,975017,1,1075FSBL29,1075FSBL29,F,0.01,
BSE,975016,1,1075NBSPL25,1075NBSPL25,F,0.01,
BSE,975015,1,995ICFL25B,995ICFL25B,F,0.01,
BSE,975014,1,940AFSL26,940AFSL26,F,0.01,
BSE,975013,1,TRIL07823B,TRIL07823B,F,0.01,
BSE,975012,1,985ICFL26,985ICFL26,F,0.01,
BSE,975011,1,TRIL7823A,TRIL7823A,F,0.01,
BSE,975010,1,1005MFL29,1005MFL29,F,0.01,
BSE,975009,1,1260MFL25,1260MFL25,F,0.01,
BSE,975008,1,12SEP24,12SEP24,F,0.01,
BSE,975007,1,1050AFL25,1050AFL25,F,0.01,
BSE,975006,1,735GIL26,735GIL26,F,0.01,
BSE,975005,1,754SBI38,754SBI38,F,0.01,
BSE,975004,1,1075MML26,1075MML26,F,0.01,
BSE,975003,1,10BML25,10BML25,F,0.01,
BSE,975002,1,EFCL280723C,EFCL280723C,F,0.01,
BSE,975001,1,EFCL280723B,EFCL280723B,F,0.01,
BSE,975000,1,EFCL280723A,EFCL280723A,F,0.01,
BSE,974999,1,EFCL280723,EFCL280723,F,0.01,
BSE,974998,1,1240AFPL29,1240AFPL29,F,0.01,
BSE,974997,1,1090SCNL25,1090SCNL25,F,0.01,
BSE,974996,1,940AFSL28,940AFSL28,F,0.01,
BSE,974995,1,807KIDFL28,807KIDFL28,F,0.01,
BSE,974994,1,1048LFL25,1048LFL25,F,0.01,
BSE,974993,1,79585MFSL25,79585MFSL25,F,0.01,
BSE,974992,1,106AFPL25,106AFPL25,F,0.01,
BSE,974991,1,12AG725,12AG725,F,0.01,
BSE,974990,1,7988HFSL26,7988HFSL26,F,0.01,
BSE,974989,1,94AFSL26,94AFSL26,F,0.01,
BSE,974988,1,1001ACAPL25,1001ACAPL25,F,0.01,
BSE,974987,1,930AML26,930AML26,F,0.01,
BSE,974986,1,942MDL26,942MDL26,F,0.01,
BSE,974985,1,835AFL28,835AFL28,F,0.01,
BSE,974984,1,882AFSL25,882AFSL25,F,0.01,
BSE,974983,1,13VS25,13VS25,F,0.01,
BSE,974982,1,759MTNL33,759MTNL33,F,0.01,
BSE,974981,1,908AKCFL26,908AKCFL26,F,0.01,
BSE,974980,1,810SBIPERP,810SBIPERP,F,0.01,
BSE,974979,1,0MSFL25,0MSFL25,F,0.01,
BSE,974978,1,803ABHFL27,803ABHFL27,F,0.01,
BSE,974977,1,802ABHFL28,802ABHFL28,F,0.01,
BSE,974976,1,797ABFL28,797ABFL28,F,0.01,
BSE,974975,1,880PCHFL24,880PCHFL24,F,0.01,
BSE,974974,1,783KMPL28,783KMPL28,F,0.01,
BSE,974973,1,EAAAL110723,EAAAL110723,F,0.01,
BSE,974972,1,896HDFCB25A,896HDFCB25A,F,0.01,
BSE,974971,1,896HDFCB25,896HDFCB25,F,0.01,
BSE,974970,1,757PFCL33,757PFCL33,F,0.01,
BSE,974969,1000000,1075NMFIL25,1075NMFIL25,F,0.01,
BSE,974968,1,1125AML30,1125AML30,F,0.01,
BSE,974967,1,860GRIHF24,860GRIHF24,F,0.01,
BSE,974966,1,1075MMF26,1075MMF26,F,0.01,
