id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
1,CDS,cde_fo,EURINR,1001,FUTCUR,XX,-1,EURINR23JUNFUT,EURINR23JUNFUT,EURINR 27JUN23 FUT,27-06-2023,1,0.0025
2,CDS,cde_fo,EURINR,1002,OPTCUR,CE,94.75,EURINR26APRIL2394.75CE,EURINR23APR94.75CE,EURINR 26APR23 94.75 CE,26-04-2023,1,0.0025
3,CDS,cde_fo,GBPINR,1003,OPTCUR,CE,94.75,GBPINR17MARCH2394.75CE,GBPINR2331794.75CE,GBPINR 17MAR23 94.75 CE,17-03-2023,1,0.0025
4,CDS,cde_fo,GBPINR,1004,OPTCUR,PE,94.75,GBPINR17MARCH2394.75PE,GBPINR2331794.75PE,GBPINR 17MAR23 94.75 PE,17-03-2023,1,0.0025
5,CDS,cde_fo,EURUSD,1006,FUTCUR,XX,-1,EURUSD23JUNFUT,EURUSD23JUNFUT,EURUSD 27JUN23 FUT,27-06-2023,1,0.0001
6,CDS,cde_fo,EURINR,1007,FUTCUR,XX,-1,EURINR23OCTFUT,EURINR23OCTFUT,EURINR 27OCT23 FUT,27-10-2023,1,0.0025
7,CDS,cde_fo,11NSETEST,1009,FUTCUR,XX,-1,11NSETEST36DECFUT,11NSETEST36DFUT,11NSETEST 30DEC36 FUT,30-12-2036,1,0.0025
8,CDS,cde_fo,EURINR,1010,FUTCUR,XX,-1,EURINR23MARFUT,EURINR23MARFUT,EURINR 28MAR23 FUT,28-03-2023,1,0.0025
9,CDS,cde_fo,EURINR,1011,OPTCUR,CE,77.75,EURINR10FEBRUARY2377.75CE,EURINR2321077.75CE,EURINR 10FEB23 77.75 CE,10-02-2023,1,0.0025
10,CDS,cde_fo,JPYINR,1012,OPTCUR,CE,66.75,JPYINR17MARCH2366.75CE,JPYINR2331766.75CE,JPYINR 17MAR23 66.75 CE,17-03-2023,1,0.0025
11,CDS,cde_fo,EURINR,1013,OPTCUR,PE,77.75,EURINR10FEBRUARY2377.75PE,EURINR2321077.75PE,EURINR 10FEB23 77.75 PE,10-02-2023,1,0.0025
12,CDS,cde_fo,JPYINR,1014,OPTCUR,PE,66.75,JPYINR17MARCH2366.75PE,JPYINR2331766.75PE,JPYINR 17MAR23 66.75 PE,17-03-2023,1,0.0025
13,CDS,cde_fo,EURINR,1015,OPTCUR,CE,81.75,EURINR24MARCH2381.75CE,EURINR2332481.75CE,EURINR 24MAR23 81.75 CE,24-03-2023,1,0.0025
14,CDS,cde_fo,EURUSD,1016,FUTCUR,XX,-1,EURUSD23MARFUT,EURUSD23MARFUT,EURUSD 28MAR23 FUT,28-03-2023,1,0.0001
15,CDS,cde_fo,EURINR,1017,OPTCUR,PE,81.75,EURINR24MARCH2381.75PE,EURINR2332481.75PE,EURINR 24MAR23 81.75 PE,24-03-2023,1,0.0025
16,CDS,cde_fo,GBPINR,1018,OPTCUR,CE,93.75,GBPINR10MARCH2393.75CE,GBPINR2331093.75CE,GBPINR 10MAR23 93.75 CE,10-03-2023,1,0.0025
17,CDS,cde_fo,GBPINR,1019,OPTCUR,PE,93.75,GBPINR10MARCH2393.75PE,GBPINR2331093.75PE,GBPINR 10MAR23 93.75 PE,10-03-2023,1,0.0025
18,CDS,cde_fo,EURUSD,1022,OPTCUR,CE,0.935,EURUSD27JUNE230.935CE,EURUSD23JUN0.935CE,EURUSD 27JUN23 0.935 CE,27-06-2023,1,0.0001
19,CDS,cde_fo,EURINR,1023,OPTCUR,CE,94.25,EURINR06APRIL2394.25CE,EURINR2340694.25CE,EURINR 06APR23 94.25 CE,06-04-2023,1,0.0025
20,CDS,cde_fo,EURINR,1024,OPTCUR,CE,78,EURINR10FEBRUARY2378CE,EURINR2321078CE,EURINR 10FEB23 78 CE,10-02-2023,1,0.0025
21,CDS,cde_fo,EURUSD,1025,OPTCUR,PE,0.935,EURUSD27JUNE230.935PE,EURUSD23JUN0.935PE,EURUSD 27JUN23 0.935 PE,27-06-2023,1,0.0001
22,CDS,cde_fo,EURINR,1026,OPTCUR,PE,94.25,EURINR06APRIL2394.25PE,EURINR2340694.25PE,EURINR 06APR23 94.25 PE,06-04-2023,1,0.0025
23,CDS,cde_fo,EURUSD,1027,FUTCUR,XX,-1,EURUSD23OCTFUT,EURUSD23OCTFUT,EURUSD 27OCT23 FUT,27-10-2023,1,0.0001
24,CDS,cde_fo,GBPINR,1028,FUTCUR,XX,-1,GBPINR23OCTFUT,GBPINR23OCTFUT,GBPINR 27OCT23 FUT,27-10-2023,1,0.0025
25,CDS,cde_fo,EURINR,1030,OPTCUR,CE,94.5,EURINR06APRIL2394.5CE,EURINR2340694.5CE,EURINR 06APR23 94.5 CE,06-04-2023,1,0.0025
26,CDS,cde_fo,EURINR,1031,OPTCUR,PE,94.5,EURINR06APRIL2394.5PE,EURINR2340694.5PE,EURINR 06APR23 94.5 PE,06-04-2023,1,0.0025
27,CDS,cde_fo,EURINR,1032,FUTCUR,XX,-1,EURINR23MARFUT,EURINR23303FUT,EURINR 03MAR23 FUT,03-03-2023,1,0.0025
28,CDS,cde_fo,GBPINR,1033,FUTCUR,XX,-1,GBPINR23MARFUT,GBPINR23303FUT,GBPINR 03MAR23 FUT,03-03-2023,1,0.0025
29,CDS,cde_fo,GBPINR,1034,OPTCUR,CE,93.75,GBPINR17MARCH2393.75CE,GBPINR2331793.75CE,GBPINR 17MAR23 93.75 CE,17-03-2023,1,0.0025
30,CDS,cde_fo,EURINR,1035,OPTCUR,CE,94.25,EURINR13APRIL2394.25CE,EURINR2341394.25CE,EURINR 13APR23 94.25 CE,13-04-2023,1,0.0025
