,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
7,8,WHIRLPOOL,Whirlpool Of India Limited,500238,-0.79,1488.3,91690,SELL OPEN=HIGH,17/12/2022 22:43:33
4,5,PIDILITIND,Pidilite Industries Limited,500331,-0.9,2592.9,450977,SELL OPEN=HIGH,17/12/2022 22:43:33
9,10,SBICARD,SBI Cards & Payment Services Ltd,543066,-0.98,790.85,1377355,SELL OPEN=HIGH,17/12/2022 22:43:33
12,13,BIOCON,Biocon Limited,532523,-1.55,266.1,1190382,SELL OPEN=HIGH,17/12/2022 22:43:33
6,7,UBL,United Breweries Limited,532478,-1.58,1745.25,225942,SELL OPEN=HIGH,17/12/2022 22:43:33
1,2,APOLLOHOSP,Apollo Hospitals Enterprise Limited,508869,-1.67,4565.15,342890,SELL OPEN=HIGH,17/12/2022 22:43:33
10,11,BERGEPAINT,Berger Paints (i) Limited,509480,-1.75,594.85,1038990,SELL OPEN=HIGH,17/12/2022 22:43:33
11,12,GUJGASLTD,Gujarat Gas Limited,539336,-2.03,521.0,818134,SELL OPEN=HIGH,17/12/2022 22:43:33
13,14,DELTACORP,Delta Corp Limited,532848,-2.29,218.0,1993667,SELL OPEN=HIGH,17/12/2022 22:43:33
0,1,PAGEIND,Page Industries Limited,532827,-2.43,42967.95,26021,SELL OPEN=HIGH,17/12/2022 22:43:33
5,6,SRF,Srf Limited,503806,-3.18,2324.3,980557,SELL OPEN=HIGH,17/12/2022 22:43:33
3,4,PERSISTENT,Persistent Systems Limited,533179,-3.29,3968.35,404601,SELL OPEN=HIGH,17/12/2022 22:43:33
2,3,NAVINFLUOR,Navin Fluorine International Limited,532504,-3.41,4143.35,135127,SELL OPEN=HIGH,17/12/2022 22:43:33
8,9,TATACHEM,Tata Chemicals Limited,500770,-3.43,991.5,1758284,SELL OPEN=HIGH,17/12/2022 22:43:33
2,3,TATAPOWER,Tata Power Company Limited,500400,-2.01,217.35,10349382,My Intraday sell setup,17/12/2022 22:44:28
0,1,OBEROIRLTY,Oberoi Realty Limited,533273,-2.41,879.95,656320,My Intraday sell setup,17/12/2022 22:44:28
1,2,INDIACEM,The India Cements Limited,530005,-4.08,230.15,3505534,My Intraday sell setup,17/12/2022 22:44:28
0,1,DIXON,Dixon Technologies,540699,-1.63,4026.95,100746,Mohan'S sure sell candidate -- MACD CROSS,17/12/2022 22:47:03
157,158,AJRINFRA,AJR Infra & Tolling Ltd,532959,0.0,1.5,601705,Day Short Trade,17/12/2022 22:47:56
