Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,GOLD,240396,OPTFUT,CE,55300,GOLD23MAR55300CE,GOLD23MAR55300CE,GOLD 27MAR23 55300 CE,2023-03-27,1,0.5
MCX,mcx_fo,GOLD,240397,OPTFUT,PE,55300,GOLD23MAR55300PE,GOLD23MAR55300PE,GOLD 27MAR23 55300 PE,2023-03-27,1,0.5
MCX,mcx_fo,GOLD,240398,OPTFUT,CE,55400,GOLD23MAR55400CE,GOLD23MAR55400CE,GOLD 27MAR23 55400 CE,2023-03-27,1,0.5
MCX,mcx_fo,GOLD,240399,OPTFUT,PE,55400,GOLD23MAR55400PE,GOLD23MAR55400PE,GOLD 27MAR23 55400 PE,2023-03-27,1,0.5
MCX,mcx_fo,GOLD,243162,OPTFUT,CE,49600,GOLD23MAY49600CE,GOLD23MAY49600CE,GOLD 25MAY23 49600 CE,2023-05-25,1,0.5
MCX,mcx_fo,GOLD,243163,OPTFUT,PE,49600,GOLD23MAY49600PE,GOLD23MAY49600PE,GOLD 25MAY23 49600 PE,2023-05-25,1,0.5
MCX,mcx_fo,GOLD,243164,OPTFUT,CE,49700,GOLD23MAY49700CE,GOLD23MAY49700CE,GOLD 25MAY23 49700 CE,2023-05-25,1,0.5
MCX,mcx_fo,GOLD,243165,OPTFUT,PE,49700,GOLD23MAY49700PE,GOLD23MAY49700PE,GOLD 25MAY23 49700 PE,2023-05-25,1,0.5
MCX,mcx_fo,GOLD,243166,OPTFUT,CE,49800,GOLD23MAY49800CE,GOLD23MAY49800CE,GOLD 25MAY23 49800 CE,2023-05-25,1,0.5
MCX,mcx_fo,GOLD,243167,OPTFUT,PE,49800,GOLD23MAY49800PE,GOLD23MAY49800PE,GOLD 25MAY23 49800 PE,2023-05-25,1,0.5
MCX,mcx_fo,GOLD,243168,OPTFUT,CE,49900,GOLD23MAY49900CE,GOLD23MAY49900CE,GOLD 25MAY23 49900 CE,2023-05-25,1,0.5
MCX,mcx_fo,GOLD,243169,OPTFUT,PE,49900,GOLD23MAY49900PE,GOLD23MAY49900PE,GOLD 25MAY23 49900 PE,2023-05-25,1,0.5
