Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,427878,1250,1,NATURALGAS,NATURALGAS21MAR24C295,21-MAR-2024,OPTFUT,CE,295,0.05,
MCX,427879,1250,1,NATURALGAS,NATURALGAS21MAR24C300,21-MAR-2024,OPTFUT,CE,300,0.05,
MCX,427880,1250,1,NATURALGAS,NATURALGAS21MAR24P295,21-MAR-2024,OPTFUT,PE,295,0.05,
MCX,427881,1250,1,NATURALGAS,NATURALGAS21MAR24P300,21-MAR-2024,OPTFUT,PE,300,0.05,
MCX,427872,2500,1,COPPER,COPPER19MAR24C695,19-MAR-2024,OPTFUT,CE,695,0.01,
MCX,427873,2500,1,COPPER,COPPER19MAR24C690,19-MAR-2024,OPTFUT,CE,690,0.01,
MCX,427874,2500,1,COPPER,COPPER19APR24C700,19-APR-2024,OPTFUT,CE,700,0.01,
MCX,427875,2500,1,COPPER,COPPER19MAR24P695,19-MAR-2024,OPTFUT,PE,695,0.01,
MCX,427876,2500,1,COPPER,COPPER19MAR24P690,19-MAR-2024,OPTFUT,PE,690,0.01,
MCX,427877,2500,1,COPPER,COPPER19APR24P700,19-APR-2024,OPTFUT,PE,700,0.01,
MCX,427884,5,1,SILVERM,SILVERM20NOV24C71250,20-NOV-2024,OPTFUT,CE,71250,0.5,
MCX,427885,5,1,SILVERM,SILVERM20NOV24C71000,20-NOV-2024,OPTFUT,CE,71000,0.5,
MCX,427886,5,1,SILVERM,SILVERM20NOV24P71250,20-NOV-2024,OPTFUT,PE,71250,0.5,
MCX,427887,5,1,SILVERM,SILVERM20NOV24P71000,20-NOV-2024,OPTFUT,PE,71000,0.5,
MCX,427882,30,1,SILVER,SILVER27AUG24C69500,27-AUG-2024,OPTFUT,CE,69500,0.5,
MCX,427883,30,1,SILVER,SILVER27AUG24P69500,27-AUG-2024,OPTFUT,PE,69500,0.5,
MCX,425441,250,1,NATGASMINI,NATGASMINI25JAN24,25-JAN-2024,FUTCOM,XX,0,0.1,
MCX,425997,250,1,NATGASMINI,NATGASMINI26FEB24,26-FEB-2024,FUTCOM,XX,0,0.1,
MCX,427445,250,1,NATGASMINI,NATGASMINI25MAR24,25-MAR-2024,FUTCOM,XX,0,0.1,
MCX,425439,1250,1,NATURALGAS,NATURALGAS23JAN24C305,23-JAN-2024,OPTFUT,CE,305,0.05,
MCX,425440,1250,1,NATURALGAS,NATURALGAS23JAN24P305,23-JAN-2024,OPTFUT,PE,305,0.05,
MCX,425450,1250,1,NATURALGAS,NATURALGAS23JAN24C300,23-JAN-2024,OPTFUT,CE,300,0.05,
MCX,425451,1250,1,NATURALGAS,NATURALGAS23JAN24C295,23-JAN-2024,OPTFUT,CE,295,0.05,
MCX,425452,1250,1,NATURALGAS,NATURALGAS23JAN24C290,23-JAN-2024,OPTFUT,CE,290,0.05,
MCX,425453,1250,1,NATURALGAS,NATURALGAS23JAN24C285,23-JAN-2024,OPTFUT,CE,285,0.05,
MCX,425454,1250,1,NATURALGAS,NATURALGAS23JAN24C280,23-JAN-2024,OPTFUT,CE,280,0.05,
MCX,425455,1250,1,NATURALGAS,NATURALGAS23JAN24C275,23-JAN-2024,OPTFUT,CE,275,0.05,
MCX,425456,1250,1,NATURALGAS,NATURALGAS23JAN24C270,23-JAN-2024,OPTFUT,CE,270,0.05,
MCX,425457,1250,1,NATURALGAS,NATURALGAS23JAN24C265,23-JAN-2024,OPTFUT,CE,265,0.05,
MCX,425458,1250,1,NATURALGAS,NATURALGAS23JAN24C260,23-JAN-2024,OPTFUT,CE,260,0.05,
MCX,425459,1250,1,NATURALGAS,NATURALGAS23JAN24C255,23-JAN-2024,OPTFUT,CE,255,0.05,
MCX,425460,1250,1,NATURALGAS,NATURALGAS23JAN24C250,23-JAN-2024,OPTFUT,CE,250,0.05,
MCX,425461,1250,1,NATURALGAS,NATURALGAS23JAN24C245,23-JAN-2024,OPTFUT,CE,245,0.05,
MCX,425462,1250,1,NATURALGAS,NATURALGAS23JAN24C240,23-JAN-2024,OPTFUT,CE,240,0.05,
