nsecode,OccurInDiffScreeners
SAIL,83
AUBANK,78
INDHOTEL,77
INOXWIND,72
NATIONALUM,68
ESAFSFB,65
DELHIVERY,55
TCS,54
APOLLOTYRE,50
AXISBANK,46
BERGEPAINT,45
COALINDIA,44
BAJAJ-AUTO,44
SHREECEM,44
INDIACEM,43
SBICARD,43
SBIN,42
ZOMATO,41
EDELWEISS,40
DCAL,37
GAIL,37
GODREJCP,35
HDFCBANK,35
LAURUSLABS,35
SUNTV,35
CHOLAFIN,35
AUROPHARMA,34
MARUTI,34
MGL,33
POLYCAB,33
IOC,33
TATACHEM,33
BPCL,32
UPL,32
JKCEMENT,32
BANKNIFTY,32
IGL,31
DRREDDY,31
WELCORP,31
TECHM,31
GRANULES,30
MUTHOOTFIN,30
PVRINOX,30
ASTRAL,30
RBLBANK,30
KOTAKBANK,30
OBEROIRLTY,29
ASHOKLEY,29
NIFTY,29
SYNGENE,29
HAVELLS,28
ONGC,28
HDFCLIFE,27
HINDUNILVR,26
SUNPHARMA,26
BANDHANBNK,26
NAUKRI,26
INDIGO,26
GUJGASLTD,26
IDFC,25
JSWSTEEL,25
BEL,25
TATAMOTORS,25
TORNTPHARM,25
INDIAMART,25
MPHASIS,24
ITC,24
AARTIIND,24
SHRIRAMFIN,24
HCLTECH,24
HDFCAMC,23
IDFCFIRSTB,23
ABFRL,23
ALKEM,23
CHAMBLFERT,23
COLPAL,23
POWERGRID,23
DALBHARAT,23
DIXON,23
ICICIBANK,23
PETRONET,23
DABUR,22
LTIM,22
LALPATHLAB,22
COFORGE,22
RELIANCE,22
GRASIM,22
PNB,22
PIIND,21
TATAPOWER,21
OFSS,21
IRCTC,21
BANKBARODA,21
GODREJPROP,21
ADANIENT,21
CUB,20
TVSMOTOR,20
MEDANTA,20
ICICIGI,20
MANAPPURAM,20
BIOCON,20
SAMHI,20
RECLTD,20
CANBK,20
PEL,20
ZEEL,20
PFC,20
ABCAPITAL,20
DLF,20
MRF,20
BVCL,19
CONFIPET,19
SRF,18
NMDC,18
BHEL,18
HINDCOPPER,18
VOLTAS,18
BALRAMCHIN,17
INDUSTOWER,17
PARAGMILK,17
PRSMJOHNSN,16
INFY,15
PANACEABIO,14
GREAVESCOT,14
BHARTIARTL,13
M&M,13
PERSISTENT,13
IDEA,13
UJJIVANSFB,13
ABB,12
INDUSINDBK,12
ELECTCAST,12
SUNDARMFIN,12
VIPIND,12
ESCORTS,12
POONAWALLA,12
LTTS,12
TITAN,12
SANGAMIND,12
BAJFINANCE,12
MAHSEAMLES,12
RAMCOCEM,11
PIDILITIND,11
NAVINFLUOR,11
EXIDEIND,11
IITL,11
NESTLEIND,10
JINDALSTEL,10
WIPRO,10
MFSL,10
NTPC,10
LUPIN,10
ULTRACEMCO,10
MARICO,10
BRITANNIA,10
SPARC,10
MOTHERSON,9
M&MFIN,9
BOSCHLTD,9
UBL,9
ADANIPORTS,8
LFIC,8
IEX,8
BAJAJFINSV,8
ACL,8
CROMPTON,8
MCX,8
BSOFT,8
SBILIFE,8
PARKHOTELS,8
NOCIL,8
COROMANDEL,8
GMRINFRA,8
ZYDUSLIFE,8
HEADSUP,8
HINDMOTORS,8
LICHSGFIN,7
AKI,7
VEDL,7
ASPINWALL,7
INDGN,7
RAIN,7
INDIASHLTR,7
SUKHJITS,6
NITCO,6
EMAMIREAL,6
BALKRISIND,6
