nsecode,OccurInDiffScreeners
BALRAMCHIN,130
ULTRACEMCO,119
GUJGASLTD,118
M&MFIN,117
SHRIRAMFIN,110
CHOLAFIN,108
ESCORTS,102
TATAMOTORS,100
DIXON,100
PETRONET,99
CROMPTON,98
CANFINHOME,95
NATIONALUM,93
SIEMENS,92
EXIDEIND,90
GODREJPROP,89
ABCAPITAL,87
LICHSGFIN,87
HEROMOTOCO,87
JINDALSTEL,87
JKPAPER,86
ASTRAL,86
COROMANDEL,86
SUNTV,86
IRCTC,84
HAL,83
TVSMOTOR,82
MCX,82
GLENMARK,81
BAJAJFINSV,81
BAJFINANCE,81
CHAMBLFERT,80
MGL,80
TECHM,80
TATAPOWER,79
MPHASIS,79
PEL,78
BERGEPAINT,78
HDFCLIFE,77
DLF,77
BEL,76
INDHOTEL,76
WIPRO,76
MANAPPURAM,76
VOLTAS,76
ACC,75
ABSLAMC,74
ABB,73
DEEPAKNTR,73
APOLLOHOSP,72
HINDALCO,72
LT,71
RECLTD,70
MFSL,70
RAMCOCEM,70
BIOCON,70
GNFC,69
AARTIIND,69
BPCL,69
BHARATFORG,69
SBIN,67
ADANIPORTS,67
RELIANCE,66
JUBLFOOD,66
PFC,66
NMDC,66
BHEL,65
TATASTEEL,65
MANALIPETC,64
NAVINFLUOR,63
SUNPHARMA,63
ITDCEM,63
IGL,62
GRASIM,62
LLOYDSENGG,61
PRAJIND,61
CUMMINSIND,61
INDUSINDBK,61
POWERGRID,61
KESORAMIND,61
UPL,60
HINDPETRO,60
M&M,60
AMBUJACEM,59
NFL,59
LTIM,58
ASIANPAINT,58
JKCEMENT,58
BRITANNIA,58
CIPLA,58
ICICIGI,57
ICICIPRULI,57
OBEROIRLTY,57
ADANIENT,57
SUPRAJIT,56
NESTLEIND,56
DIVISLAB,55
HAVELLS,55
HINDCOPPER,55
IPCALAB,55
SYNGENE,54
BAJAJ-AUTO,54
NAUKRI,53
ABFRL,53
IEX,53
JSWSTEEL,52
HCLTECH,52
HDFCBANK,52
RBLBANK,52
ONGC,51
LAURUSLABS,51
TATACHEM,51
SMALLCAP,51
MARINE,51
PVRINOX,51
BANKBARODA,50
BANDHANBNK,50
CONCOR,50
BATAINDIA,50
IFCI,49
SBILIFE,49
HARSHA,49
SRF,49
SURYAROSNI,48
GAIL,48
TATACOMM,47
GICRE,47
PIDILITIND,47
SBICARD,47
DALBHARAT,46
LTTS,46
ZYDUSLIFE,45
TCS,45
MUTHOOTFIN,45
ASHOKLEY,44
DEEPAKFERT,44
KEC,44
HDFCAMC,44
COLPAL,44
DABUR,44
NTPC,44
AXISBANK,43
PENIND,43
AUROPHARMA,43
BSOFT,43
USK,43
COALINDIA,43
POLYCAB,43
INDIACEM,42
COFORGE,42
TATACONSUM,42
OFSS,42
SUNTECK,42
PAYTM,42
AUBANK,41
DRREDDY,41
INFY,41
LALPATHLAB,40
PERSISTENT,40
BHARTIARTL,40
VEDL,40
DCBBANK,39
PATELENG,39
TITAN,39
EICHERMOT,39
PARAS,38
MADRASFERT,38
HDFCSML250,36
TEXINFRA,36
INDUSTOWER,36
ASHAPURMIN,36
ZENSARTECH,35
CMSINFO,35
HFCL,35
BLAL,35
JWL,35
ICICIBANK,35
NATCOPHARM,34
TRENT,34
BLSE,34
VARROC,34
ASIANTILES,33
TORNTPHARM,33
GMRINFRA,33
WABAG,33
VGUARD,33
NBCC,32
TITAGARH,32
EPL,31
ASHOKA,31
OIL,31
TARC,31
BSE500IETF,31
BAJEL,31
GIPCL,31
BALKRISIND,30
MARUTI,30
BLKASHYAP,30
METROPOLIS,30
INDIGO,30
RKDL,29
LUPIN,29
GRANULES,29
PRESTIGE,28
TPLPLASTEH,28
BHAGCHEM,28
