,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
0,1,TATAMOTORS,Tata Motors Limited,500570.0,6.23,445.15,38391938,BULLISH FOR NEXT DAY,27/01/2023 11:28:37
1,79,ASAL,Automotive Stampings And Assemblies Limited,520119.0,10.63,368.0,94214,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
2,76,REPRO,Repro India Limited,532687.0,5.77,384.9,194670,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
3,200,SUMIT,Sumit Woods Ltd,535107.0,4.87,31.2,332372,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
4,228,CCCL,Consolidated Construction Consortium Limited,532902.0,3.7,1.4,184611,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
5,39,MPSLTD,Mps Limited,532440.0,3.64,966.05,83258,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
6,216,RAJMET,Rajnandini Metal Ltd,535113.0,3.5,17.75,565937,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
7,15,SUPREMEIND,Supreme Industries Limited,509930.0,3.45,2497.05,214069,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
8,35,CIPLA,Cipla Limited,500087.0,3.41,1070.6,1220101,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
9,9,DRREDDY,Dr. Reddy's Laboratories Limited,500124.0,3.33,4341.0,584513,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
10,49,IMPAL,India Motor Parts And Accessories Limited,590065.0,2.16,720.0,2392,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
11,167,SMCGLOBAL,SMC Global Securities Ltd,543263.0,1.89,78.0,26504,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
12,184,DHRUV,Dhruv Consultancy Services Ltd,541302.0,1.51,60.45,20200,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
13,144,KILITCH,Kilitch Drugs (india) Limited,524500.0,1.44,154.75,4360,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
14,196,NKIND,Nk Industries Limited,519494.0,1.4,39.95,75,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
15,47,NH,Narayana Hrudayalaya Ltd.,539551.0,1.14,732.4,33212,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
16,223,UMESLTD,Usha Martin Education & Solutions Limited,532398.0,1.05,4.8,899,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
17,128,IBMFNIFTY,IBMFNIFTY,,0.9,188.78,133,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
18,45,CGCL,Capri Global Capital Limited,531595.0,0.77,756.9,42347,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
19,152,HDFCLOWVOL,HDFC Nifty 100 Low Volatility 30 ETF,543627.0,0.64,132.86,1997,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
20,116,JYOTHYLAB,Jyothy Laboratories Limited,532926.0,0.25,204.35,199411,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
21,191,SETFGOLD,SBI Gold ETS,590098.0,0.24,50.15,114325,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
22,70,EMAMILTD,Emami Limited,531162.0,0.23,421.25,19930,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
23,192,GOLDSHARE,UTI - Gold Exchange Traded Fund,590101.0,0.2,48.95,9881,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
24,30,VBL,Varun Beverages Limited,540180.0,0.17,1241.75,287799,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
25,61,KPRMILL,K.p.r. Mill Limited,532889.0,0.11,513.0,35690,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
26,221,SURANAT&P,Surana Telecom And Power Limited,517530.0,0.0,11.6,47188,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
27,208,ADROITINFO,Adroit Infotech Ltd,532172.0,0.0,23.7,46866,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
28,38,ICICILIQ,ICICI Prudential Liquid ETF,541946.0,0.0,1000.0,151352,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
29,224,BAGFILMS,B.a.g Films And Media Limited,532507.0,0.0,4.8,47803,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
30,7,IDBIGOLD,IDBI Gold ETF,533719.0,-0.05,5236.0,81,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
31,139,ICICIALPLV,ICICI Prudential Alpha Low Vol 30 ETF,543219.0,-0.07,171.9,1234,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
32,142,DSPQ50ETF,DSP Nifty Midcap 150 Quality 50 ETF,543438.0,-0.08,159.07,1224,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
33,58,APLLTD,Alembic Pharmaceuticals Limited,533573.0,-0.18,545.0,16593,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
34,147,ICICILOVOL,ICICI Prudential Nifty Low Vol 30 ETF,540612.0,-0.21,142.28,7020,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
35,10,ESABINDIA,Esab India Limited,500133.0,-0.22,4087.95,9978,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
36,115,DSPNEWETF,DSP Nifty 50 Equal Weight ETF,543388.0,-0.26,207.02,327,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
37,118,TATAPOWER,Tata Power Company Limited,500400.0,-0.3,200.85,5407731,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
38,67,MANORG,Mangalam Organics Ltd,514418.0,-0.31,478.65,2435,MACD Bearish or Bullish crossover,27/01/2023 11:30:25
