,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
2,3,POLICYBZR,PB Fintech Ltd,543390,1.67,1299.65,553371,pure bullish trend stocks,08/04/2024 10:38:19
1,2,IPCALAB,Ipca Laboratories Limited,524494,1.21,1330.4,277373,pure bullish trend stocks,08/04/2024 10:38:19
0,1,BAJAJFINSV,Bajaj Finserv Limited,532978,0.9,1693.0,590582,pure bullish trend stocks,08/04/2024 10:38:19
1,2,BALAXI,Balaxi Ventures Ltd,532597,3.04,585.15,3521,Bullish Engulfing Pattern,08/04/2024 10:38:32
4,5,ADL,Archidply Decor Ltd,543231,2.47,89.05,1516,Bullish Engulfing Pattern,08/04/2024 10:38:32
0,1,TIPSFILMS,Tips Films Ltd,543614,2.3,715.0,643,Bullish Engulfing Pattern,08/04/2024 10:38:32
2,3,SMLT,Sarthak Metals Ltd,540393,1.5,227.3,17574,Bullish Engulfing Pattern,08/04/2024 10:38:32
5,6,NIBL,Nrb Industrial Bearings Limited,535458,0.71,35.55,6979,Bullish Engulfing Pattern,08/04/2024 10:38:32
3,4,NIFMID150,UTI Nifty Midcap 150 ETF,543975,0.66,185.85,142,Bullish Engulfing Pattern,08/04/2024 10:38:32
0,1,GODREJPROP,Godrej Properties Limited,533150,5.46,2636.9,1164216,bullish-rsi-stochastic,08/04/2024 10:39:24
15,16,GAIL,Gail (india) Limited,532155,3.43,197.3,19358426,bullish-rsi-stochastic,08/04/2024 10:39:24
6,7,GODREJCP,Godrej Consumer Products Limited,532424,3.4,1251.25,1293420,bullish-rsi-stochastic,08/04/2024 10:39:24
10,11,VEDL,Vedanta Limited,500295,1.9,325.0,8780303,bullish-rsi-stochastic,08/04/2024 10:39:24
12,13,ABFRL,Aditya Birla Fashion And Retail Limited,535755,1.83,241.7,2999793,bullish-rsi-stochastic,08/04/2024 10:39:24
4,5,OBEROIRLTY,Oberoi Realty Limited,533273,1.19,1569.2,664400,bullish-rsi-stochastic,08/04/2024 10:39:24
13,14,INDIACEM,The India Cements Limited,530005,1.09,227.75,1397379,bullish-rsi-stochastic,08/04/2024 10:39:24
16,17,ASHOKLEY,Ashok Leyland Limited,500477,0.82,177.45,6850620,bullish-rsi-stochastic,08/04/2024 10:39:24
14,15,NMDC,Nmdc Limited,526371,0.78,219.6,3094754,bullish-rsi-stochastic,08/04/2024 10:39:24
5,6,INDUSINDBK,Indusind Bank Limited,532187,0.68,1562.95,559793,bullish-rsi-stochastic,08/04/2024 10:39:24
1,2,HINDUNILVR,Hindustan Unilever Limited,500696,0.59,2280.4,307268,bullish-rsi-stochastic,08/04/2024 10:39:24
11,12,M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,0.44,299.8,330404,bullish-rsi-stochastic,08/04/2024 10:39:24
2,3,UBL,United Breweries Limited,532478,0.33,1812.8,41789,bullish-rsi-stochastic,08/04/2024 10:39:24
8,9,ZYDUSLIFE,Zydus Lifesciences Ltd,532321,0.19,1008.45,251916,bullish-rsi-stochastic,08/04/2024 10:39:24
9,10,HDFCLIFE,HDFC Life Insurance Company Ltd,540777,0.18,630.55,806196,bullish-rsi-stochastic,08/04/2024 10:39:24
3,4,ICICIGI,ICICI Lombard General Insurance Company Ltd,540716,0.11,1719.75,104991,bullish-rsi-stochastic,08/04/2024 10:39:24
