,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
4,5,TATACHEM,Tata Chemicals Limited,500770,0.55,1138.8,1813694,PERFECT BEARISH,08/04/2024 15:14:24
8,9,ITC,Itc Limited,500875,0.39,429.2,7735827,PERFECT BEARISH,08/04/2024 15:14:24
0,1,DIXON,Dixon Technologies,540699,0.0,7660.35,158529,PERFECT BEARISH,08/04/2024 15:14:24
6,7,SYNGENE,Syngene International Limited,539268,0.0,729.5,344315,PERFECT BEARISH,08/04/2024 15:14:24
1,2,DRREDDY,Dr. Reddy's Laboratories Limited,500124,-0.04,6176.95,247629,PERFECT BEARISH,08/04/2024 15:14:24
10,11,GMRINFRA,Gmr Infrastructure Limited,532754,-0.06,85.6,9493497,PERFECT BEARISH,08/04/2024 15:14:24
9,10,BEL,Bharat Electronics Limited,500049,-0.4,223.6,15162694,PERFECT BEARISH,08/04/2024 15:14:24
2,3,ALKEM,Alkem Laboratories Limited,539523,-0.53,4886.55,126910,PERFECT BEARISH,08/04/2024 15:14:24
3,4,OBEROIRLTY,Oberoi Realty Limited,533273,-1.02,1535.0,1329825,PERFECT BEARISH,08/04/2024 15:14:24
7,8,UPL,Upl Limited,512070,-1.08,489.0,4204995,PERFECT BEARISH,08/04/2024 15:14:24
5,6,CONCOR,Container Corporation Of India Limited,531344,-2.36,911.45,2103599,PERFECT BEARISH,08/04/2024 15:14:24
0,1,TCS,Tata Consultancy Services Limited,532540,-0.08,3975.9,2132125,Bearish Engulifing-see after 3:15 PM for Next day trade,08/04/2024 15:14:59
3,4,AUROPHARMA,Aurobindo Pharma Limited,524804,-0.28,1120.55,1700735,Bearish Engulifing-see after 3:15 PM for Next day trade,08/04/2024 15:14:59
1,2,HCLTECH,Hcl Technologies Limited,532281,-0.35,1539.8,1585542,Bearish Engulifing-see after 3:15 PM for Next day trade,08/04/2024 15:14:59
5,6,PFC,Power Finance Corporation Limited,532810,-1.32,411.3,8205006,Bearish Engulifing-see after 3:15 PM for Next day trade,08/04/2024 15:14:59
2,3,ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,-2.04,1347.5,13220370,Bearish Engulifing-see after 3:15 PM for Next day trade,08/04/2024 15:14:59
4,5,CONCOR,Container Corporation Of India Limited,531344,-2.36,911.45,2103599,Bearish Engulifing-see after 3:15 PM for Next day trade,08/04/2024 15:14:59
0,1,SATIN,Satin Creditcare Network Limited,539404,-2.55,244.65,723281,Bearish Engulfing - Strong,08/04/2024 15:15:10
2,3,HINDCOPPER,Hindustan Copper Limited,513599,2.76,331.3,15390195,Intraday Sell,08/04/2024 15:15:33
1,2,HDFCAMC,HDFC Asset Management Company Ltd,541729,-0.55,3654.6,632902,Intraday Sell,08/04/2024 15:15:33
0,1,PERSISTENT,Persistent Systems Limited,533179,-2.49,3897.1,663248,Intraday Sell,08/04/2024 15:15:33
0,1,BATAINDIA,Bata India Limited,500043,-0.96,1346.35,386325,Chanakya Bearish Scanner - Working,08/04/2024 15:15:43
8,9,VOLTAS,Voltas Limited,500575,5.83,1304.2,10109991,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
5,6,GODREJPROP,Godrej Properties Limited,533150,3.69,2592.5,3180282,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
16,17,BANKBARODA,Bank Of Baroda,532134,-0.46,267.65,14364191,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
2,3,POLYCAB,Polycab India Ltd,542652,-0.57,5286.55,406562,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
0,1,ATUL,Atul Limited,500027,-0.77,5925.0,18719,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
6,7,OBEROIRLTY,Oberoi Realty Limited,533273,-1.0,1535.3,1332752,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
18,19,ZEEL,Zee Entertainment Enterprises Limited,505537,-1.18,150.55,5712882,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
15,16,PFC,Power Finance Corporation Limited,532810,-1.37,411.1,8242270,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
12,13,INDHOTEL,The Indian Hotels Company Limited,500850,-1.43,604.5,5337836,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
7,8,HAVELLS,Havells India Limited,517354,-1.54,1526.2,1696552,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
4,5,NAVINFLUOR,Navin Fluorine International Limited,532504,-1.58,3097.85,135857,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
1,2,COFORGE,Coforge (Niit Tech),532541,-1.72,5683.25,348893,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
9,10,IPCALAB,Ipca Laboratories Limited,524494,-1.79,1291.0,1399087,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
11,12,SUNTV,Sun Tv Network Limited,532733,-2.18,609.4,619256,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
10,11,CONCOR,Container Corporation Of India Limited,531344,-2.24,912.6,2126612,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
3,4,PERSISTENT,Persistent Systems Limited,533179,-2.49,3897.1,663248,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
14,15,GRANULES,Granules India Limited,532482,-2.85,439.6,1113609,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
13,14,RECLTD,Rural Electrification Corporation Limited,532955,-3.72,454.05,13456782,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
17,18,BANDHANBNK,Bandhan Bank Ltd,541153,-6.31,184.9,60643829,My-intraday-sell-setup-ADX,08/04/2024 15:15:53
0,1,BHARTIARTL,Bharti Airtel Limited,532454,1.17,1204.95,4493033,Highly Bearish I-day,08/04/2024 15:18:04
1,2,BANDHANBNK,Bandhan Bank Ltd,541153,-6.28,184.95,60840635,Highly Bearish I-day,08/04/2024 15:18:04
1,2,JUBLFOOD,Jubilant Foodworks Limited,533155,-1.7,452.65,3068596,Bearish RSi-Stoc,08/04/2024 15:18:17
0,1,MPHASIS,Mphasis Limited,526299,-2.18,2455.75,751648,Bearish RSi-Stoc,08/04/2024 15:18:17
5,6,INDTERRAIN,Indian Terrain Fashions Limited,533329,-1.3,75.85,248819,Bearish Engulfing - Moderate,08/04/2024 15:18:33
2,3,DELHIVERY,Delhivery Ltd,543529,-1.79,455.05,1786042,Bearish Engulfing - Moderate,08/04/2024 15:18:33
0,1,WABAG,Va Tech Wabag Limited,533269,-2.03,793.05,386589,Bearish Engulfing - Moderate,08/04/2024 15:18:33
1,2,POKARNA,Pokarna Limited,532486,-2.22,465.0,268511,Bearish Engulfing - Moderate,08/04/2024 15:18:33
4,5,SATIN,Satin Creditcare Network Limited,539404,-2.47,244.85,739022,Bearish Engulfing - Moderate,08/04/2024 15:18:33
3,4,CAPITALSFB,CAPITALSFB,,-3.71,354.5,63783,Bearish Engulfing - Moderate,08/04/2024 15:18:33
1,2,LAURUSLABS,Laurus Labs Limited,540222,5.25,462.35,3970911,Volume Spike in 5 minutes,08/04/2024 15:18:44
0,1,PAGEIND,Page Industries Limited,532827,2.57,35045.5,58087,Volume Spike in 5 minutes,08/04/2024 15:18:44
5,6,TFCILTD,Tourism Finance Corporation Of India Limited,526650,4.98,180.2,3398671,Stocks in Downtrend,08/04/2024 15:18:55
7,8,JMFINANCIL,Jm Financial Limited,523405,1.79,82.5,4671136,Stocks in Downtrend,08/04/2024 15:18:55
6,7,TEXRAIL,Texmaco Rail & Engineering Limited,533326,0.93,173.9,1261187,Stocks in Downtrend,08/04/2024 15:18:55
4,5,APOLLOTYRE,Apollo Tyres Limited,500877,0.32,469.95,1429124,Stocks in Downtrend,08/04/2024 15:18:55
0,1,HINDUNILVR,Hindustan Unilever Limited,500696,0.09,2269.1,1019227,Stocks in Downtrend,08/04/2024 15:18:55
3,4,LIQUIDIETF,ICICI Prudential S&P BSE Liquid Rate ETF,541946,0.0,1000.0,2343712,Stocks in Downtrend,08/04/2024 15:18:55
2,3,INFY,Infosys Limited,500209,-0.03,1478.65,5777071,Stocks in Downtrend,08/04/2024 15:18:55
1,2,HCLTECH,Hcl Technologies Limited,532281,-0.32,1540.25,1632098,Stocks in Downtrend,08/04/2024 15:18:55
