,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
13,14,INDUSINDBK,Indusind Bank Limited,532187,0.5,1562.75,132230,SELL OPEN=HIGH,10/04/2024 09:39:11
5,6,JKCEMENT,Jk Cement Limited,532644,0.49,4343.0,2868,SELL OPEN=HIGH,10/04/2024 09:39:11
16,17,BERGEPAINT,Berger Paints (i) Limited,509480,0.31,557.45,26271,SELL OPEN=HIGH,10/04/2024 09:39:11
17,18,MARICO,Marico Limited,531642,0.28,511.0,38874,SELL OPEN=HIGH,10/04/2024 09:39:11
10,11,TATACOMM,Tata Communications Limited,500483,0.26,2017.8,19968,SELL OPEN=HIGH,10/04/2024 09:39:11
8,9,ASIANPAINT,Asian Paints Limited,500820,0.25,2864.35,85107,SELL OPEN=HIGH,10/04/2024 09:39:11
0,1,BANKNIFTY,BANKNIFTY,,0.24,48847.95,0,SELL OPEN=HIGH,10/04/2024 09:39:11
11,12,ASTRAL,Astral Poly Technik Limited,532830,0.15,1999.95,14999,SELL OPEN=HIGH,10/04/2024 09:39:11
4,5,HEROMOTOCO,Hero Motocorp Limited,500182,0.1,4526.1,39445,SELL OPEN=HIGH,10/04/2024 09:39:11
3,4,SIEMENS,Siemens Limited,500550,0.05,5608.0,10016,SELL OPEN=HIGH,10/04/2024 09:39:11
7,8,ESCORTS,Escorts Limited,500495,0.03,3022.95,14951,SELL OPEN=HIGH,10/04/2024 09:39:11
19,20,ITC,Itc Limited,500875,0.01,426.4,543783,SELL OPEN=HIGH,10/04/2024 09:39:11
9,10,HINDUNILVR,Hindustan Unilever Limited,500696,-0.01,2264.0,133300,SELL OPEN=HIGH,10/04/2024 09:39:11
2,3,DRREDDY,Dr. Reddy's Laboratories Limited,500124,-0.09,6162.1,14960,SELL OPEN=HIGH,10/04/2024 09:39:11
6,7,LT,Larsen & Toubro Limited,500510,-0.15,3779.5,210847,SELL OPEN=HIGH,10/04/2024 09:39:11
22,23,INDIACEM,The India Cements Limited,530005,-0.18,225.55,192561,SELL OPEN=HIGH,10/04/2024 09:39:11
12,13,DALBHARAT,Dalmia Bharat Limited,533309,-0.18,1987.3,25466,SELL OPEN=HIGH,10/04/2024 09:39:11
18,19,JUBLFOOD,Jubilant Foodworks Limited,533155,-0.19,447.15,105115,SELL OPEN=HIGH,10/04/2024 09:39:11
20,21,BALRAMCHIN,Balrampur Chini Mills Limited,500038,-0.28,391.85,321330,SELL OPEN=HIGH,10/04/2024 09:39:11
15,16,SBICARD,SBI Cards & Payment Services Ltd,543066,-0.4,749.1,353794,SELL OPEN=HIGH,10/04/2024 09:39:11
21,22,HINDCOPPER,Hindustan Copper Limited,513599,-0.43,356.8,3752156,SELL OPEN=HIGH,10/04/2024 09:39:11
14,15,HDFCBANK,Hdfc Bank Limited,500180,-0.46,1541.5,2217546,SELL OPEN=HIGH,10/04/2024 09:39:11
1,2,ULTRACEMCO,Ultratech Cement Limited,532538,-0.51,9719.0,19493,SELL OPEN=HIGH,10/04/2024 09:39:11
23,24,MANAPPURAM,Manappuram Finance Limited,531213,-0.61,194.7,563231,SELL OPEN=HIGH,10/04/2024 09:39:11
24,25,FEDERALBNK,The Federal Bank  Limited,500469,-1.06,154.15,2580890,SELL OPEN=HIGH,10/04/2024 09:39:11
25,26,LIQUIDBEES,Nippon India ETF Liquid BeES,590096,0.0,999.99,214718,Day Short Trade,10/04/2024 09:40:44
24,25,LIQUIDSBI,SBI Nifty 1D Rate ETF,544010,0.0,999.99,1439,Day Short Trade,10/04/2024 09:40:44
