,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
0,1,RELIANCE,Reliance Industries Limited,500325,1.06,2958.2,3251580,BUY open equals to Low,10/04/2024 14:12:23
1,2,POWERGRID,Power Grid Corporation Of India Limited,532898,0.59,282.85,5910567,BUY open equals to Low,10/04/2024 14:12:23
2,3,TATACHEM,Tata Chemicals Limited,500770,2.43,1165.6,4323928,Day low = High,10/04/2024 14:12:50
0,1,CUMMINSIND,Cummins India Limited,500480,1.93,2994.95,379888,Day low = High,10/04/2024 14:12:50
3,4,PFC,Power Finance Corporation Limited,532810,1.34,408.15,4627601,Day low = High,10/04/2024 14:12:50
1,2,RELIANCE,Reliance Industries Limited,500325,1.06,2958.2,3251580,Day low = High,10/04/2024 14:12:50
4,5,RBLBANK,Rbl Bank Limited,540065,0.56,260.25,3053676,Day low = High,10/04/2024 14:12:50
6,7,PETRONET,Petronet Lng Limited,532522,5.96,305.75,29856930,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
5,6,UPL,Upl Limited,512070,3.3,506.0,6641364,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
10,11,IDFC,Idfc Limited,532659,2.69,123.95,7831658,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
11,12,IDFCFIRSTB,IDFC First Bank Ltd,539437,2.31,84.05,31983383,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
3,4,PVRINOX,PVR Inox Ltd,532689,2.1,1413.95,388633,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
0,1,ABB,Abb India Limited,500002,1.9,6654.1,181901,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
4,5,TECHM,Tech Mahindra Limited,532755,1.56,1270.95,1270628,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
9,10,PNB,Punjab National Bank,532461,1.32,134.25,19151942,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
2,3,UBL,United Breweries Limited,532478,1.19,1846.35,222506,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
7,8,BEL,Bharat Electronics Limited,500049,0.79,229.95,31307056,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
8,9,CUB,City Union Bank Limited,532210,0.77,157.5,2139199,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
1,2,LTIM,LTI Mindtree Ltd,540005,0.5,4917.0,174504,JAVEED HUSSAIN INTRADAY BUY,10/04/2024 14:13:12
5,6,EMKAY,Emkay Global Financial Services Limited,532737,14.89,176.7,2465792,Santu baba trick on open equal low with 1% higher than previous close,10/04/2024 14:13:45
0,1,GKWLIMITED,Gkw Limited,,10.0,2092.35,2382,Santu baba trick on open equal low with 1% higher than previous close,10/04/2024 14:13:45
1,2,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,532925,10.0,935.55,3357,Santu baba trick on open equal low with 1% higher than previous close,10/04/2024 14:13:45
3,4,GMDCLTD,Gujarat Mineral Development Corporation Limited,532181,4.79,413.2,11216635,Santu baba trick on open equal low with 1% higher than previous close,10/04/2024 14:13:45
4,5,MAXIND,Max India Ltd,539981,4.46,239.0,100606,Santu baba trick on open equal low with 1% higher than previous close,10/04/2024 14:13:45
6,7,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,532895,4.26,20.8,2414,Santu baba trick on open equal low with 1% higher than previous close,10/04/2024 14:13:45
2,3,ALICON,Alicon Castalloy Limited,531147,2.69,894.9,22045,Santu baba trick on open equal low with 1% higher than previous close,10/04/2024 14:13:45
16,17,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,532895,4.26,20.8,2414,IntraDay Long:,10/04/2024 14:14:08
15,16,RKDL,Ravi Kumar Distilleries Limited,533294,2.15,23.75,11278,IntraDay Long:,10/04/2024 14:14:08
1,2,BASF,Basf India Limited,500042,1.79,3790.75,39608,IntraDay Long:,10/04/2024 14:14:08
17,18,ADROITINFO,Adroit Infotech Ltd,532172,1.78,17.2,82931,IntraDay Long:,10/04/2024 14:14:08
6,7,ASKAUTOLTD,ASK Automotive Ltd,544022,1.5,311.75,242464,IntraDay Long:,10/04/2024 14:14:08
14,15,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd,524412,1.26,48.1,24563,IntraDay Long:,10/04/2024 14:14:08
4,5,ICIL,Indo Count Industries Limited,521016,1.26,387.0,258985,IntraDay Long:,10/04/2024 14:14:08
3,4,JITFINFRA,JITF Infra Logistics Ltd,540311,1.19,599.8,23560,IntraDay Long:,10/04/2024 14:14:08
