,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
2,3,HINDCOPPER,Hindustan Copper Limited,513599,2.24,365.45,5717107,PERFECT BEARISH,18/04/2024 12:59:58
4,5,ABCAPITAL,Aditya Birla Capital Ltd,540691,1.84,207.25,4246957,PERFECT BEARISH,18/04/2024 12:59:58
3,4,ONGC,Oil & Natural Gas Corporation Limited,500312,-0.21,282.55,16831237,PERFECT BEARISH,18/04/2024 12:59:58
1,2,CONCOR,Container Corporation Of India Limited,531344,-0.46,942.45,791047,PERFECT BEARISH,18/04/2024 12:59:58
0,1,COLPAL,Colgate Palmolive (india) Limited,500830,-0.62,2685.0,136042,PERFECT BEARISH,18/04/2024 12:59:58
5,6,ASHOKLEY,Ashok Leyland Limited,500477,-1.42,173.7,11100843,PERFECT BEARISH,18/04/2024 12:59:58
0,1,TITAN,Titan Company Limited,500114,-0.81,3616.45,610830,Intraday Sell,18/04/2024 13:00:26
0,1,IGL,Indraprastha Gas Limited,532514,-4.39,442.4,2590626,My-intraday-sell-setup-ADX,18/04/2024 13:00:46
0,1,DIXON,Dixon Technologies,540699,0.92,7629.85,160854,Highly Bearish I-day,18/04/2024 13:01:25
2,3,TATACOMM,Tata Communications Limited,500483,0.29,1889.3,1616885,Highly Bearish I-day,18/04/2024 13:01:25
1,2,BAJFINANCE,Bajaj Finance Limited,500034,-0.14,6944.75,612128,Highly Bearish I-day,18/04/2024 13:01:25
3,4,AXISBANK,Axis Bank Limited,532215,-1.62,1034.9,7298444,Highly Bearish I-day,18/04/2024 13:01:25
0,1,DABUR,Dabur India Limited,500096,0.55,506.65,1111677,Stocks in Downtrend,18/04/2024 13:02:31
