,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
19,20,KMSUGAR,K.m.sugar Mills Limited,532673,19.97,36.05,4992694,pure bullish trend stocks,18/04/2024 13:27:05
16,17,TPLPLASTEH,Tpl Plastech Limited,526582,16.97,88.55,2516013,pure bullish trend stocks,18/04/2024 13:27:05
1,2,JUSTDIAL,Just Dial Limited,535648,14.27,1018.25,7248604,pure bullish trend stocks,18/04/2024 13:27:05
0,1,DSSL,Dynacons Systems & Solutions Limited,532365,13.78,1287.95,895050,pure bullish trend stocks,18/04/2024 13:27:05
17,18,DHANI,Dhani Services Ltd,532960,13.54,54.5,33161926,pure bullish trend stocks,18/04/2024 13:27:05
5,6,SOLARA,Solara Active Pharma Sciences Ltd,541540,12.9,477.75,2637273,pure bullish trend stocks,18/04/2024 13:27:05
9,10,STERTOOLS,Sterling Tools Limited,530759,11.9,376.55,1216977,pure bullish trend stocks,18/04/2024 13:27:05
14,15,VETO,Veto Switchgears And Cables Limited,539331,11.12,137.45,882592,pure bullish trend stocks,18/04/2024 13:27:05
13,14,ELIN,Elin Electronics Ltd,,10.58,164.05,1792210,pure bullish trend stocks,18/04/2024 13:27:05
20,21,ESSARSHPNG,Essar Shipping Limited,533704,10.0,31.35,2367093,pure bullish trend stocks,18/04/2024 13:27:05
3,4,AARTIPHARM,Aarti Pharmalabs Ltd,543748,6.72,500.1,438128,pure bullish trend stocks,18/04/2024 13:27:05
18,19,NDL,Nandan Denim Limited,532641,6.2,46.25,3406108,pure bullish trend stocks,18/04/2024 13:27:05
7,8,JIOFIN,Jio Financial Services Ltd,543940,5.46,381.6,59564876,pure bullish trend stocks,18/04/2024 13:27:05
2,3,360ONE,360 ONE WAM Ltd,542772,5.42,791.5,431770,pure bullish trend stocks,18/04/2024 13:27:05
11,12,GENUSPOWER,Genus Power Infrastructures Limited,530343,5.0,299.3,881019,pure bullish trend stocks,18/04/2024 13:27:05
4,5,RSYSTEMS,R Systems International Limited,532735,4.75,482.0,564011,pure bullish trend stocks,18/04/2024 13:27:05
12,13,FOODSIN,Foods & Inns Ltd,507552,4.37,171.85,1128388,pure bullish trend stocks,18/04/2024 13:27:05
10,11,WELENT,Welspun Enterprises Limited,532553,3.67,349.1,742388,pure bullish trend stocks,18/04/2024 13:27:05
8,9,ASHIANA,Ashiana Housing Limited,523716,3.47,376.95,343087,pure bullish trend stocks,18/04/2024 13:27:05
6,7,SAREGAMA,Saregama India Limited,532163,3.46,427.7,1078528,pure bullish trend stocks,18/04/2024 13:27:05
15,16,MOTHERSON,Motherson Sumi Systems Limited,517334,3.34,128.4,39666989,pure bullish trend stocks,18/04/2024 13:27:05
4,5,MANORG,Mangalam Organics Ltd,514418,3.56,321.45,5300,Bullish Engulfing Pattern,18/04/2024 13:27:13
1,2,KIMS,Krishna Institute of Medical Sciences Ltd,543307,2.27,1996.95,146337,Bullish Engulfing Pattern,18/04/2024 13:27:13
9,10,CINEVISTA,Cinevista Limited,532324,2.21,20.8,105124,Bullish Engulfing Pattern,18/04/2024 13:27:13
2,3,GHCL,Ghcl Limited,500171,1.95,514.25,187632,Bullish Engulfing Pattern,18/04/2024 13:27:13
3,4,TARSONS,Tarsons Products Ltd,543399,1.3,455.0,27613,Bullish Engulfing Pattern,18/04/2024 13:27:13
