,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
0,1,TCS,Tata Consultancy Services Limited,532540,2.24,3929.65,1763042,BUY open equals to Low,06/05/2024 14:54:33
0,1,ABB,Abb India Limited,500002,3.76,6950.45,637647,Day low = High,06/05/2024 14:54:55
4,5,MARICO,Marico Limited,531642,2.65,530.6,2077294,JAVEED HUSSAIN INTRADAY BUY,06/05/2024 14:55:15
2,3,ASTRAL,Astral Poly Technik Limited,532830,1.78,2106.25,318980,JAVEED HUSSAIN INTRADAY BUY,06/05/2024 14:55:15
3,4,METROPOLIS,Metropolis Healthcare Ltd,542650,1.46,1816.45,165579,JAVEED HUSSAIN INTRADAY BUY,06/05/2024 14:55:15
1,2,M&M,Mahindra & Mahindra Limited,500520,1.45,2224.7,1870650,JAVEED HUSSAIN INTRADAY BUY,06/05/2024 14:55:15
0,1,APOLLOHOSP,Apollo Hospitals Enterprise Limited,508869,0.74,6053.8,313005,JAVEED HUSSAIN INTRADAY BUY,06/05/2024 14:55:15
5,6,NMDC,Nmdc Limited,526371,0.5,270.3,23887394,JAVEED HUSSAIN INTRADAY BUY,06/05/2024 14:55:15
0,1,MHLXMIRU,Mahalaxmi Rubtech Ltd,514450,19.99,242.2,112805,Santu baba trick on open equal low with 1% higher than previous close,06/05/2024 14:55:23
1,2,GOKULAGRO,Gokul Agro Resources Limited,539725,11.22,148.25,5694953,Santu baba trick on open equal low with 1% higher than previous close,06/05/2024 14:55:23
14,15,WEALTH,Wealth First Portfolio Managers Ltd,532269,7.58,816.85,24867,IntraDay Long:,06/05/2024 14:55:43
25,26,SETUINFRA,Setubandhan Infrastructure Ltd,533605,7.14,0.75,201760,IntraDay Long:,06/05/2024 14:55:43
2,3,TIINDIA,Tube Investments of India Ltd,540762,5.19,4017.5,526670,IntraDay Long:,06/05/2024 14:55:43
22,23,MANAKCOAT,Manaksia Coated Metals & Industries Limited,539046,4.79,52.5,230475,IntraDay Long:,06/05/2024 14:55:43
17,18,JUBLFOOD,Jubilant Foodworks Limited,533155,2.41,473.9,5733960,IntraDay Long:,06/05/2024 14:55:43
24,25,KRIDHANINF,Kridhan Infra Limited,533482,2.27,4.5,112141,IntraDay Long:,06/05/2024 14:55:43
5,6,PHOENIXLTD,The Phoenix Mills Limited,503100,1.48,3108.75,206104,IntraDay Long:,06/05/2024 14:55:43
6,7,COLPAL,Colgate Palmolive (india) Limited,500830,1.43,2839.1,191853,IntraDay Long:,06/05/2024 14:55:43
13,14,DLF,Dlf Limited,532868,1.02,887.2,4539700,IntraDay Long:,06/05/2024 14:55:43
9,10,LALPATHLAB,Dr. Lal Path Labs Ltd.,539524,0.99,2341.45,58682,IntraDay Long:,06/05/2024 14:55:43
21,22,SIKKO,Sikko Industries Ltd,538419,0.84,78.4,21672,IntraDay Long:,06/05/2024 14:55:43
