,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
2,3,CUMMINSIND,Cummins India Limited,500480,0.21,3414.05,489935,SELL OPEN=HIGH,06/05/2024 15:25:52
6,7,PVRINOX,PVR Inox Ltd,532689,-0.09,1320.05,701769,SELL OPEN=HIGH,06/05/2024 15:25:52
8,9,BHARATFORG,Bharat Forge Limited,500493,-0.28,1248.65,1091771,SELL OPEN=HIGH,06/05/2024 15:25:52
5,6,BATAINDIA,Bata India Limited,500043,-0.62,1330.1,220886,SELL OPEN=HIGH,06/05/2024 15:25:52
1,2,HDFCAMC,HDFC Asset Management Company Ltd,541729,-0.73,3889.5,213842,SELL OPEN=HIGH,06/05/2024 15:25:52
4,5,BAJAJFINSV,Bajaj Finserv Limited,532978,-0.96,1611.7,700674,SELL OPEN=HIGH,06/05/2024 15:25:52
11,12,CANFINHOME,Can Fin Homes Limited,511196,-1.31,758.75,339069,SELL OPEN=HIGH,06/05/2024 15:25:52
22,23,FEDERALBNK,The Federal Bank  Limited,500469,-1.45,163.55,19051253,SELL OPEN=HIGH,06/05/2024 15:25:52
0,1,MRF,Mrf Limited,500290,-1.56,126560.85,15453,SELL OPEN=HIGH,06/05/2024 15:25:52
10,11,MFSL,Max Financial Services Limited,500271,-1.63,985.35,483530,SELL OPEN=HIGH,06/05/2024 15:25:52
13,14,HDFCLIFE,HDFC Life Insurance Company Ltd,540777,-1.89,555.2,8541121,SELL OPEN=HIGH,06/05/2024 15:25:52
17,18,TATAPOWER,Tata Power Company Limited,500400,-1.92,446.0,16154243,SELL OPEN=HIGH,06/05/2024 15:25:52
7,8,ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,-2.25,1290.65,3821756,SELL OPEN=HIGH,06/05/2024 15:25:52
23,24,MOTHERSON,Motherson Sumi Systems Limited,517334,-2.4,128.05,8231969,SELL OPEN=HIGH,06/05/2024 15:25:52
9,10,CONCOR,Container Corporation Of India Limited,531344,-2.52,1032.7,1211008,SELL OPEN=HIGH,06/05/2024 15:25:52
15,16,BERGEPAINT,Berger Paints (i) Limited,509480,-2.53,510.0,982493,SELL OPEN=HIGH,06/05/2024 15:25:52
20,21,INDIACEM,The India Cements Limited,530005,-2.65,216.4,1762972,SELL OPEN=HIGH,06/05/2024 15:25:52
25,26,GMRINFRA,Gmr Infrastructure Limited,532754,-2.86,83.15,22993930,SELL OPEN=HIGH,06/05/2024 15:25:52
3,4,UBL,United Breweries Limited,532478,-2.92,1979.5,450794,SELL OPEN=HIGH,06/05/2024 15:25:52
12,13,LICHSGFIN,Lic Housing Finance Limited,500253,-3.14,633.5,2267276,SELL OPEN=HIGH,06/05/2024 15:25:52
21,22,GAIL,Gail (india) Limited,532155,-3.16,197.35,24188943,SELL OPEN=HIGH,06/05/2024 15:25:52
14,15,HINDPETRO,Hindustan Petroleum Corporation Limited,500104,-3.85,513.55,4436097,SELL OPEN=HIGH,06/05/2024 15:25:52
16,17,APOLLOTYRE,Apollo Tyres Limited,500877,-3.91,482.9,2587855,SELL OPEN=HIGH,06/05/2024 15:25:52
18,19,BANKBARODA,Bank Of Baroda,532134,-4.01,264.7,33257187,SELL OPEN=HIGH,06/05/2024 15:25:52
19,20,RBLBANK,Rbl Bank Limited,540065,-4.12,253.65,6692926,SELL OPEN=HIGH,06/05/2024 15:25:52
24,25,PNB,Punjab National Bank,532461,-6.48,127.0,141121475,SELL OPEN=HIGH,06/05/2024 15:25:52
0,1,CROMPTON,Crompton Greaves Consumer Electricals Limited,539876,-1.08,321.95,4832435,My Intraday sell setup,06/05/2024 15:26:15
2,3,ONGC,Oil & Natural Gas Corporation Limited,500312,-1.64,281.4,15007685,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,06/05/2024 15:26:24
1,2,BERGEPAINT,Berger Paints (i) Limited,509480,-2.57,509.8,990475,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,06/05/2024 15:26:24
0,1,BPCL,Bharat Petroleum Corporation Limited,500547,-3.31,609.0,4532515,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,06/05/2024 15:26:24
3,4,PNB,Punjab National Bank,532461,-6.55,126.9,142112763,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,06/05/2024 15:26:24
0,1,SRF,Srf Limited,503806,0.4,2577.9,271212,Intraday Future Sell with SuperTrend -80 % Accuracy,06/05/2024 15:26:46
154,155,SANWARIA,Sanwaria Agro Oils Limited,519260,0.0,0.35,1467307,Day Short Trade,06/05/2024 15:28:41
137,138,LAKPRE,Lakshmi Precision Screws Limited,506079,0.0,4.4,1000,Day Short Trade,06/05/2024 15:28:41
152,153,GOENKA,Goenka Diamond And Jewels Limited,533189,0.0,0.9,115652,Day Short Trade,06/05/2024 15:28:41
128,129,GFSTEELS,Grand Foundry Ltd,513343,0.0,8.65,10313,Day Short Trade,06/05/2024 15:28:41
149,150,SUPREMEENG,Supreme Engineering Ltd,535105,0.0,1.1,1264648,Day Short Trade,06/05/2024 15:28:41
130,131,UNIVAFOODS,Univa Foods Ltd,526683,0.0,6.95,15306,Day Short Trade,06/05/2024 15:28:41
90,91,PODDARHOUS,Poddar Housing & Development Ltd,523628,-0.43,104.9,36,Day Short Trade,06/05/2024 15:28:41
112,113,SAKUMA,Sakuma Exports Limited,532713,-0.53,28.2,3383445,Day Short Trade,06/05/2024 15:28:41
14,15,IMPAL,India Motor Parts And Accessories Limited,590065,-0.55,993.0,1871,Day Short Trade,06/05/2024 15:28:41
23,24,HAPPSTMNDS,Happiest Minds Technologies Ltd,543227,-0.74,801.7,181517,Day Short Trade,06/05/2024 15:28:41
78,79,AARVI,Aarvi Encon Ltd,535014,-1.27,144.2,33581,Day Short Trade,06/05/2024 15:28:41
140,141,WINSOME,Winsome Yarns Limited,514348,-1.35,3.65,61828,Day Short Trade,06/05/2024 15:28:41
34,35,WHEELS,Wheels India Limited,590073,-1.38,577.2,44251,Day Short Trade,06/05/2024 15:28:41
38,39,STARHEALTH,Star Health & Allied Insurance Company Ltd,543412,-1.4,549.45,240801,Day Short Trade,06/05/2024 15:28:41
22,23,GOKEX,Gokaldas Exports Limited,532630,-1.51,843.2,79495,Day Short Trade,06/05/2024 15:28:41
118,119,CELEBRITY,Celebrity Fashions Limited,532695,-1.53,19.35,202997,Day Short Trade,06/05/2024 15:28:41
101,102,HOVS,Hov Services Limited,532761,-1.58,59.0,5616,Day Short Trade,06/05/2024 15:28:41
