,ltp,Tsym,openi,pdopeni
62364,240.0,OFSS25JAN24C6900,43000.0,
62374,230.0,OFSS25JAN24C6950,5600.0,
62398,203.1,OFSS25JAN24C7000,198600.0,
62400,191.0,OFSS25JAN24C7050,12000.0,
62402,173.0,OFSS25JAN24C7100,49200.0,
62404,165.0,OFSS25JAN24C7150,5800.0,
62410,143.0,OFSS25JAN24C7200,150800.0,
62412,131.0,OFSS25JAN24C7250,54000.0,
62510,115.0,OFSS25JAN24C7300,29200.0,
62512,0.5,OFSS25JAN24C7350,,
60576,264.2,OFSS25JAN24C6850,25800.0,58600
57742,300.0,OFSS25JAN24C6800,62800.0,132400
57740,310.0,OFSS25JAN24C6750,7200.0,6800
57734,364.75,OFSS25JAN24C6700,19800.0,34000
57728,387.25,OFSS25JAN24C6650,6200.0,6600
57726,420.05,OFSS25JAN24C6600,35200.0,77600
57722,462.85,OFSS25JAN24C6550,8000.0,10800
57720,500.0,OFSS25JAN24C6500,42200.0,95800
57718,539.05,OFSS25JAN24C6450,7400.0,6200
55047,578.3,OFSS25JAN24C6400,19400.0,29800
62365,237.05,OFSS25JAN24P6900,12200.0,
62377,265.05,OFSS25JAN24P6950,2600.0,
62399,301.0,OFSS25JAN24P7000,31200.0,
62401,331.3,OFSS25JAN24P7050,1400.0,
62403,380.95,OFSS25JAN24P7100,3800.0,
62405,412.55,OFSS25JAN24P7150,1400.0,
62411,444.7,OFSS25JAN24P7200,3800.0,
62507,533.6,OFSS25JAN24P7250,1800.0,
62511,439.85,OFSS25JAN24P7300,600.0,
62513,794.9,OFSS25JAN24P7350,,
60577,220.0,OFSS25JAN24P6850,7000.0,0
57747,197.0,OFSS25JAN24P6800,54000.0,0
57741,175.0,OFSS25JAN24P6750,4800.0,0
57739,155.0,OFSS25JAN24P6700,37200.0,0
57729,135.55,OFSS25JAN24P6650,4800.0,0
57727,111.05,OFSS25JAN24P6600,23600.0,0
57723,109.0,OFSS25JAN24P6550,7200.0,7000
57721,96.8,OFSS25JAN24P6500,94000.0,0
57719,95.95,OFSS25JAN24P6450,0.0,0
55048,78.0,OFSS25JAN24P6400,56800.0,15400
