nsecode,OccurInDiffScreeners
ONGC,73
WIPRO,65
ITC,60
NTPC,51
COALINDIA,51
LIQUID,50
TATAMOTORS,50
EXIDEIND,49
IRCTC,47
SBIN,45
ASMS,44
MARICO,43
CANFINHOME,41
LIQUIDIETF,40
GAIL,39
ASHOKAMET,39
TIJARIA,37
LUPIN,34
NTL,33
E2E,32
VISASTEEL,32
SANGINITA,31
RTNPOWER,31
BCG,31
ICICIBANK,31
COFORGE,31
JPASSOCIAT,31
BIOCON,30
SUNPHARMA,30
ABSLLIQUID,30
JINDALSTEL,29
TRENT,28
INDHOTEL,28
EGOLD,27
M&M,27
LIQUIDETF,26
INDIAMART,26
INDIGO,26
TATACOMM,26
ASIANPAINT,26
BHARTIARTL,25
HERITGFOOD,25
VEDL,25
ROLTA,25
MARUTI,25
ADANIPOWER,25
CHOLAFIN,24
LTF,24
BATAINDIA,24
KAUSHALYA,24
DALBHARAT,23
DRREDDY,23
SANCO,23
GRANULES,23
HINDALCO,23
ATUL,23
LIQUIDSBI,23
ATGL,22
HINDPETRO,22
AMBUJACEM,21
POONAWALLA,21
PODDARHOUS,21
IRB,21
MUTHOOTFIN,21
POWERGRID,20
INDUSTOWER,20
GSEC5IETF,20
SBICARD,20
HINDCOPPER,20
ACC,19
TATACONSUM,19
BALKRISIND,19
CHAMBLFERT,19
FEL,18
TORNTPHARM,18
SEJALLTD,18
LIQUID1,18
BINANIIND,18
ADANIGREEN,17
INFY,17
HDFCLIQUID,17
TCS,17
MPHASIS,17
NIF10GETF,17
MOGSEC,17
BTML,16
SUNTV,16
RAMCOCEM,16
CONTROLPR,16
SDL26BEES,16
EBBETF0431,16
CAREERP,16
HINDUNILVR,16
ASHOKLEY,16
OSIAHYPER,15
DIVISLAB,15
SAIL,15
SAKUMA,15
SUULD,15
PRUDMOULI,15
NMDC,15
HEXATRADEX,15
GSEC10YEAR,15
POLYCAB,15
TATASTEEL,15
HAL,15
STEL,15
RBZJEWEL,14
GTLINFRA,14
GVPTECH,14
IDFC,14
BAIDFIN,14
TVSMOTOR,14
VIJAYA,14
APLAPOLLO,14
GODREJCP,13
NEXTMEDIA,13
MODIRUBBER,13
LIQUIDBEES,13
ABBOTINDIA,13
PERSISTENT,13
PILITA,13
KALYANKJIL,13
FINPIPE,13
KHANDSE,13
DABUR,13
BAJFINANCE,13
SEMAC,13
FIEMIND,12
