nsecode,OccurInDiffScreeners
HDFCLIQUID,92
LIQUIDSBI,90
ABSLLIQUID,80
LIQUID1,79
LIQUIDETF,77
EBBETF0425,74
EBBETF0431,74
LIQUID,73
CONSUMIETF,72
21STCENMGM,70
GSEC5IETF,69
LIQUIDCASE,69
LIQUIDADD,69
GILT5YBEES,67
BRITANNIA,67
FRETAIL,67
LTGILTBEES,67
LIQUIDBEES,67
LIQUIDIETF,67
TCIFINANCE,67
EBBETF0430,66
GOLDBEES,65
TITAN,65
TATASTEEL,64
PHARMABEES,64
ESG,64
TATAGOLD,64
GOLDIETF,63
NIFTYQLITY,63
NV20BEES,63
BBETF0432,63
GOLD1,63
BSLNIFTY,62
SETFGOLD,62
TNTELE,61
HDFCGOLD,61
QNIFTY,60
INDOCO,60
IPCALAB,60
SBIETFQLTY,59
QGOLDHALF,59
RHFL,58
HDFCLIFE,58
GOLDSHARE,58
FMCGIETF,58
JPASSOCIAT,58
ORTEL,58
AXISBPSETF,58
SENSEXIETF,58
ESSENTIA,58
BANKIETF,58
TECH,57
HDFCGROWTH,57
SBICARD,57
SETFNIF50,57
ICICIB22,57
EXXARO,57
CONSUMBEES,57
NIFTYBEES,57
S&SPOWER,56
GOLDETF,56
ASIANPAINT,56
MAFANG,56
OFSS,56
QUAL30IETF,56
HEALTHIETF,56
BLUECHIP,56
GNFC,55
EGOLD,55
MOLOWVOL,55
BFSI,55
LICNETFGSC,55
GOLDCASE,55
NIFTYIETF,55
AXISBNKETF,55
NIFTY50ADD,55
NIF100IETF,54
HAL,54
CAPITALSFB,54
SETF10GILT,53
PVTBANKADD,53
HDFCSENSEX,53
SDL24BEES,53
MOGSEC,53
VIKASLIFE,52
LOWVOLIETF,52
MOM50,52
HDFCNIFTY,52
HDFCNIFBAN,52
SBIETFPB,52
BANKBEES,51
BHARTIARTL,51
BERGEPAINT,51
DRREDDY,51
MONIFTY500,51
AXISNIFTY,51
INFRAIETF,51
TMB,51
NV20IETF,50
SBIN,50
MOVALUE,50
BANKBETF,50
HEALTHADD,50
ITBEES,49
SHRIRAMFIN,49
MEDPLUS,49
MANAPPURAM,49
CIGNITITEC,49
DIVOPPBEES,49
CIPLA,49
RTNPOWER,49
SHEMAROO,48
GSEC10YEAR,48
GOLDETFADD,48
MIDCAPETF,48
BANKETFADD,48
VRLLOG,48
SDL26BEES,48
BCG,48
AXISCETF,48
NIFTYETF,48
NIF100BEES,48
MON100,48
MONQ50,48
NIFTY1,48
DREAMFOLKS,47
SULA,47
NIFITETF,47
KAVVERITEL,47
IT,47
AXISHCETF,47
HARDWYN,47
SENSEXETF,47
LICMFGOLD,47
CONS,47
SETFNN50,47
MIDCAPIETF,46
ITC,46
NEXT50IETF,46
ANURAS,46
UTISENSETF,46
ESILVER,46
GENSOL,46
AXISGOLD,46
V2RETAIL,46
HDFCPVTBAN,46
LAXMIMACH,46
SHARIABEES,45
HDFCNIF100,45
SILVERADD,45
ESAFSFB,45
SYNGENE,45
PEL,45
SIGMA,45
STARTECK,45
HDFCBANK,45
MOM30IETF,45
SETFNIFBK,45
EBBETF0433,45
AARTIIND,45
TECHM,45
MADHUCON,45
NIFTYBETF,45
UTIBANKETF,44
TVSMOTOR,44
MOM100,44
LT,44
RELAXO,44
ITETF,44
ESCORTS,44
JSWHL,44
BSE500IETF,44
MCX,44
APOLLOHOSP,44
HINDUNILVR,43
HINDALCO,43
VENUSREM,43
INFRABEES,43
DIXON,43
PILANIINVS,43
ASTERDM,43
SILVER,43
INDUSINDBK,42
FEL,42
FDC,42
NIF10GETF,42
JUNIORBEES,42
TATAELXSI,42
HEALTHY,42
AXSENSEX,42
SIEMENS,42
KPRMILL,42
LUPIN,42
IVZINGOLD,42
INDHOTEL,42
MOHEALTH,42
ECLERX,42
KALAMANDIR,42
NBIFIN,42
CRISIL,42
TECILCHEM,42
SBIETFIT,41
HDFCNIFIT,41
BPCL,41
ICICIGI,41
BANKNIFTY1,41
GANDHAR,41
MRF,41
UTINEXT50,41
SOLARA,41
TRENT,41
BAJAJFINSV,41
ULTRACEMCO,41
SILVRETF,41
SUNPHARMA,41
ISEC,41
SENSEXADD,41
SILVER1,41
PVTBANIETF,41
HINDCOPPER,41
ABSLBANETF,41
RELIANCE,41
SILVERETF,41
NEXT50,41
COMMOIETF,40
TORNTPHARM,40
UNITECH,40
MID150BEES,40
DLF,40
HEXATRADEX,40
ADANIENT,40
LTTS,40
SCHAND,40
INFOMEDIA,40
MASPTOP50,40
CHOICEIN,40
SALASAR,40
GODREJIND,40
PSUBANKADD,40
TCS,40
SUMMITSEC,40
GSPL,40
LICNETFN50,40
NDRAUTO,40
ITIETF,39
CONCORDBIO,39
MOREALTY,39
ORIENTHOT,39
ANANDRATHI,39
EIFFL,39
HARIOMPIPE,39
NTL,39
IRCON,39
HAVELLS,39
HDFCSILVER,39
HDFCPSUBK,39
AXISILVER,39
AXISTECETF,39
NETF,39
DCI,39
ICICIPRULI,39
GRASIM,39
CARBORUNIV,38
SHYAMMETL,38
HDFCMOMENT,38
RICOAUTO,38
KPITTECH,38
OBEROIRLTY,38
VIJAYA,38
ZYDUSLIFE,38
ONGC,38
HONAUT,38
GSEC10IETF,38
UTINIFTETF,38
ABSLPSE,38
INDIGOPNTS,38
ACC,38
EASEMYTRIP,37
PGHL,37
SAKSOFT,37
TARAPUR,37
JUBLINDS,37
UFLEX,37
TCI,37
IL&FSTRANS,37
AUTOAXLES,37
MORARJEE,37
PIIND,37
ALPL30IETF,37
MIDCAP,37
COMPINFO,37
ALPHA,37
SOUTHBANK,37
CAPTRUST,37
PERSISTENT,36
VALIANTORG,36
BSLSENETFG,36
M&M,36
SOBHA,36
NPBET,36
ABBOTINDIA,36
HDFCMID150,36
MARKSANS,36
VISHWARAJ,36
TIMESGTY,36
NAVINIFTY,36
KOTAKBANK,36
RECLTD,36
CPSEETF,36
HNGSNGBEES,36
TVTODAY,36
MUTHOOTMF,36
SATIA,36
LICNETFSEN,36
INDIAMART,36
IOC,36
LINC,36
ICICIBANK,36
TBZ,35
PTL,35
ALKYLAMINE,35
DEVYANI,35
PSUBANK,35
PRITI,35
INDIACEM,35
KANSAINER,35
LICHSGFIN,35
LTIM,35
GREENPANEL,35
UJJIVANSFB,35
HDFCNEXT50,35
A2ZINFRA,35
SHAREINDIA,35
MAKEINDIA,35
TATACHEM,35
THANGAMAYL,35
NV20,35
HEROMOTOCO,35
NIPPOBATRY,35
HDFCVALUE,35
MAHKTECH,34
CONCOR,34
HGS,34
HPAL,34
HDFCBSE500,34
KBCGLOBAL,34
GRINDWELL,34
TATACONSUM,34
BOSCHLTD,34
DELTACORP,34
CYBERTECH,34
BAJFINANCE,34
MANINFRA,34
STERTOOLS,34
REMSONSIND,34
DMART,34
FILATFASH,34
EQUITASBNK,34
BBNPPGOLD,34
BANKETF,34
AXISBANK,34
SKMEGGPROD,34
PTC,34
MAHSEAMLES,34
WEIZMANIND,34
JKCEMENT,34
GPIL,34
PAGEIND,34
BORORENEW,34
BHARATGEAR,34
DOLPHIN,33
MUKKA,33
MUTHOOTFIN,33
DIACABS,33
HBLPOWER,33
MASTEK,33
DECCANCE,33
DALBHARAT,33
IEX,33
BAJAJCON,33
PREMEXPLN,33
RBZJEWEL,33
AVTNPL,33
SILVERIETF,33
ASTRAL,33
SANGINITA,33
RADIANTCMS,33
VETO,33
PVP,33
YATHARTH,33
CESC,33
PSUBNKBEES,33
ACCELYA,33
JETAIRWAYS,33
VIKASECO,33
JAGRAN,33
PPAP,32
LAKPRE,32
MOMENTUM,32
IDFCFIRSTB,32
KKCL,32
NTPC,32
SHANTIGEAR,32
ALKEM,32
EQUAL50ADD,32
HCC,32
SILVERBEES,32
CDSL,32
AYMSYNTEX,32
GENCON,32
VIMTALABS,32
CREDITACC,32
SREEL,32
SPENCERS,32
GREENLAM,32
EICHERMOT,32
ANSALAPI,32
MPHASIS,32
BSLGOLDETF,32
IRMENERGY,32
CUMMINSIND,32
SANCO,32
APOLLOTYRE,32
COALINDIA,32
ZENTEC,32
FINEORG,32
PGHH,32
BHAGERIA,32
PRECOT,32
PIDILITIND,32
NATIONALUM,31
SYNCOMF,31
BSE,31
HINDWAREAP,31
GNA,31
LGBBROSLTD,31
TNIDETF,31
COLPAL,31
GULFOILLUB,31
MEGASTAR,31
KESORAMIND,31
LOVABLE,31
RAJESHEXPO,31
HSCL,31
LXCHEM,31
IKIO,31
ESABINDIA,31
CRAFTSMAN,31
IDFC,31
RATNAVEER,31
LOWVOL,31
JINDALPOLY,31
BBTCL,31
TATAINVEST,31
JSWSTEEL,31
ROSSARI,31
MAHESHWARI,31
PRUDENT,31
VIPIND,30
SAREGAMA,30
J&KBANK,30
RAMCOSYS,30
UMAEXPORTS,30
NMDC,30
ASHOKAMET,30
MANAKSIA,30
NAVINFLUOR,30
UNIVPHOTO,30
KCPSUGIND,30
RHIM,30
BALAMINES,30
RCOM,30
