nsecode,OccurInDiffScreeners
LIQUIDIETF,23
HDFCLIQUID,22
LIQUID1,22
EBBETF0431,21
BBETF0432,21
LIQUIDETF,20
EBBETF0425,20
LIQUIDSBI,20
ABSLLIQUID,20
LIQUID,20
ADANIENT,20
SETF10GILT,19
S&SPOWER,19
BANKIETF,19
GODREJIND,19
MONIFTY500,19
ASMS,19
SANCO,19
ZODIAC,19
ROLLT,19
BLUECHIP,19
HDIL,19
ARENTERP,19
ARVEE,19
RADAAN,19
ONELIFECAP,19
PARASPETRO,19
KRIDHANINF,19
SHYAMTEL,19
LICNETFN50,19
LTGILTBEES,19
LIQUIDBEES,19
LIQUIDCASE,19
WIPL,19
ABSLBANETF,19
LOWVOL1,19
EBBETF0433,19
SPARC,19
TPHQ,19
OSWALSEEDS,19
GILT5YBEES,19
GLOBALVECT,19
AXISBPSETF,19
GSEC10IETF,18
HDFCNIFBAN,18
PODDARHOUS,18
PVTBANIETF,18
QUAL30IETF,18
RAJRILTD,18
ESABINDIA,18
GARFIBRES,18
HEALTHY,18
COALINDIA,18
BFSI,17
NIFTYBEES,17
KTKBANK,17
BANKETF,17
AXISNIFTY,17
ASIANPAINT,17
HDFCNEXT50,17
THYROCARE,17
SENSEXIETF,17
GAYAHWS,17
EBBETF0430,17
ABSLNN50ET,17
SETFNIFBK,17
GOLDIETF,17
SDL24BEES,17
LFIC,16
UTINIFTETF,16
MAKEINDIA,16
BANKBEES,16
NPBET,16
MOGSEC,16
MOHEALTH,16
ITC,16
BAJAJHLDNG,16
SENSEXETF,16
HDFCNIFTY,16
VENKEYS,16
MPSLTD,16
SDL26BEES,16
WIPRO,16
NIF100BEES,16
UTISENSETF,16
AMBIKCO,16
HDFCSENSEX,16
BLS,16
NIFTYIETF,16
RAINBOW,16
ESAFSFB,15
ESG,15
CONSUMIETF,15
CONSUMBEES,15
LIQUIDADD,15
LICMFGOLD,15
BSLNIFTY,15
BSE500IETF,15
GMBREW,15
INNOVACAP,15
IDFNIFTYET,15
HONDAPOWER,15
GSEC10YEAR,15
HDFCGROWTH,15
BANKNIFTY1,15
MAHKTECH,15
CONS,15
TNPL,15
NIFTY1,15
ANUP,15
RELIANCE,15
ALPHA,15
SETFNIF50,15
TCPLPACK,15
NIF100IETF,15
MEDPLUS,15
ZENITHSTL,15
AXISCETF,15
ALPL30IETF,14
NIFTY50ADD,14
HDFCPVTBAN,14
PLAZACABLE,14
UTIBANKETF,14
EIHOTEL,14
TVTODAY,14
FINIETF,14
