,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
0,7,CAREERP,Career Point Limited,533260.0,6.94,186.35,140219,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
1,1,KSB,KSB Ltd,500249.0,6.77,2078.0,76021,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
2,9,MRPL,Mangalore Refinery And Petrochemicals Limited,500109.0,4.74,57.4,2474025,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
3,3,BECTORFOOD,Mrs Bectors Food Specialities Ltd,543253.0,4.72,566.3,247101,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
4,5,TVSELECT,Tvs Electronics Limited,532513.0,2.43,339.75,72273,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
5,4,PDSL,PDS Ltd,538730.0,1.4,355.15,21142,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
6,6,HINDPETRO,Hindustan Petroleum Corporation Limited,500104.0,0.88,228.85,757500,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
7,10,BIRLAMONEY,Aditya Birla Money Limited,532974.0,0.09,54.3,6491,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
8,8,NIACL,New India Assurance Company Ltd,540769.0,-1.14,104.2,206504,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
9,2,KEI,Kei Industries Limited,517569.0,-1.29,1650.15,40820,Intraday Buying seen in the past 15 minutes,10/03/2023 10:59:08
10,2,POWERGRID,Power Grid Corporation Of India Limited,532898.0,0.09,226.0,2327589,BUY open equals to Low,10/03/2023 10:59:59
11,1,HCLTECH,Hcl Technologies Limited,532281.0,-0.73,1108.5,536993,BUY open equals to Low,10/03/2023 10:59:59
12,2,HINDPETRO,Hindustan Petroleum Corporation Limited,500104.0,0.99,229.1,777022,JAVEED HUSSAIN INTRADAY BUY,10/03/2023 11:01:43
13,1,BALRAMCHIN,Balrampur Chini Mills Limited,500038.0,0.88,400.25,1817781,JAVEED HUSSAIN INTRADAY BUY,10/03/2023 11:01:43
14,3,TATASTEEL,Tata Steel Limited,500470.0,-0.28,107.9,22223150,JAVEED HUSSAIN INTRADAY BUY,10/03/2023 11:01:43
