,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
14,15,GODREJCP,Godrej Consumer Products Limited,532424,0.0,1162.7,504788,SELL OPEN=HIGH,19/04/2024 12:09:07
1,2,SHREECEM,Shree Cements Limited,500387,-0.59,24281.05,15446,SELL OPEN=HIGH,19/04/2024 12:09:07
4,5,EICHERMOT,Eicher Motors Limited,505200,-0.69,4321.0,345107,SELL OPEN=HIGH,19/04/2024 12:09:07
0,1,MRF,Mrf Limited,500290,-0.7,128324.0,3288,SELL OPEN=HIGH,19/04/2024 12:09:07
20,21,GAIL,Gail (india) Limited,532155,-0.81,201.9,15907551,SELL OPEN=HIGH,19/04/2024 12:09:07
18,19,DABUR,Dabur India Limited,500096,-0.86,499.5,1000163,SELL OPEN=HIGH,19/04/2024 12:09:07
3,4,DRREDDY,Dr. Reddy's Laboratories Limited,500124,-0.88,5904.55,124170,SELL OPEN=HIGH,19/04/2024 12:09:07
5,6,HEROMOTOCO,Hero Motocorp Limited,500182,-0.96,4210.3,305386,SELL OPEN=HIGH,19/04/2024 12:09:07
2,3,ABB,Abb India Limited,500002,-0.98,6306.95,163177,SELL OPEN=HIGH,19/04/2024 12:09:07
13,14,INDUSINDBK,Indusind Bank Limited,532187,-1.06,1458.7,1742069,SELL OPEN=HIGH,19/04/2024 12:09:07
9,10,GODREJPROP,Godrej Properties Limited,533150,-1.39,2502.3,208013,SELL OPEN=HIGH,19/04/2024 12:09:07
6,7,TRENT,Trent Limited,500251,-1.67,4018.95,612342,SELL OPEN=HIGH,19/04/2024 12:09:07
17,18,BERGEPAINT,Berger Paints (i) Limited,509480,-1.69,507.2,880099,SELL OPEN=HIGH,19/04/2024 12:09:07
8,9,CUMMINSIND,Cummins India Limited,500480,-1.83,3066.75,240503,SELL OPEN=HIGH,19/04/2024 12:09:07
16,17,GUJGASLTD,Gujarat Gas Limited,539336,-2.06,541.95,714824,SELL OPEN=HIGH,19/04/2024 12:09:07
15,16,AUROPHARMA,Aurobindo Pharma Limited,524804,-2.07,1091.4,497026,SELL OPEN=HIGH,19/04/2024 12:09:07
10,11,LALPATHLAB,Dr. Lal Path Labs Ltd.,539524,-2.2,2195.2,165807,SELL OPEN=HIGH,19/04/2024 12:09:07
19,20,M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,-2.28,284.45,1345488,SELL OPEN=HIGH,19/04/2024 12:09:07
12,13,METROPOLIS,Metropolis Healthcare Ltd,542650,-2.76,1691.65,195491,SELL OPEN=HIGH,19/04/2024 12:09:07
7,8,HDFCAMC,HDFC Asset Management Company Ltd,541729,-2.85,3665.0,180059,SELL OPEN=HIGH,19/04/2024 12:09:07
11,12,TATACOMM,Tata Communications Limited,500483,-4.81,1765.0,1928260,SELL OPEN=HIGH,19/04/2024 12:09:07
0,1,PIDILITIND,Pidilite Industries Limited,500331,-1.87,2818.0,394576,My Intraday sell setup,19/04/2024 12:09:31
0,1,BANDHANBNK,Bandhan Bank Ltd,541153,-0.84,171.85,4707241,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,19/04/2024 12:09:40
3,4,HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF,543973,0.0,999.99,348,Day Short Trade,19/04/2024 12:12:09
4,5,LIQUIDSBI,SBI Nifty 1D Rate ETF,544010,0.0,999.99,8073,Day Short Trade,19/04/2024 12:12:09
5,6,LIQUIDIETF,ICICI Prudential S&P BSE Liquid Rate ETF,541946,0.0,999.99,188060,Day Short Trade,19/04/2024 12:12:09
14,15,BALPHARMA,Bal Pharma Limited,524824,-0.8,99.3,2371,Day Short Trade,19/04/2024 12:12:09
6,7,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,517421,-0.89,820.0,2555,Day Short Trade,19/04/2024 12:12:09
16,17,IRISDOREME,Iris Clothings Ltd,535123,-1.35,77.0,40837,Day Short Trade,19/04/2024 12:12:09
13,14,AHLEAST,Asian Hotels (east) Limited,533227,-1.77,139.05,5571,Day Short Trade,19/04/2024 12:12:09
20,21,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,532895,-1.94,20.2,228,Day Short Trade,19/04/2024 12:12:09
12,13,WIPL,Western India Plywoods Ltd,538415,-2.53,160.0,2158,Day Short Trade,19/04/2024 12:12:09
7,8,NAZARA,Nazara Technologies Ltd,543280,-2.92,622.5,194313,Day Short Trade,19/04/2024 12:12:09
19,20,VAKRANGEE,Vakrangee Limited,511431,-2.93,23.2,8303386,Day Short Trade,19/04/2024 12:12:09
10,11,SALONA,Salona Cotspin Limited,590056,-2.97,283.0,1946,Day Short Trade,19/04/2024 12:12:09
28,29,SUNDARAM,Sundaram Multi Pap Limited,533166,-3.17,3.05,3983100,Day Short Trade,19/04/2024 12:12:09
8,9,NINSYS,NINtec Systems Ltd,539843,-3.26,459.5,1848,Day Short Trade,19/04/2024 12:12:09
0,1,PILANIINVS,Pilani Investment And Industries Corporation Limited,539883,-3.27,3292.65,5982,Day Short Trade,19/04/2024 12:12:09
29,30,ANTGRAPHIC,Antarctica Limited,526715,-3.33,1.45,274888,Day Short Trade,19/04/2024 12:12:09
30,31,TPHQ,Teamo Productions HQ Ltd,533048,-3.57,1.35,3914442,Day Short Trade,19/04/2024 12:12:09
25,26,METALFORGE,Metalyst Forgings Limited,513335,-4.26,4.5,7512,Day Short Trade,19/04/2024 12:12:09
27,28,PREMIER,Premier Limited,500540,-4.41,3.25,8139,Day Short Trade,19/04/2024 12:12:09
24,25,SADBHIN,Sadbhav Infrastructure Project Limited,539346,-4.48,6.4,154911,Day Short Trade,19/04/2024 12:12:09
26,27,MBECL,Mcnally Bharat Engineering Company Limited,532629,-4.49,4.25,61002,Day Short Trade,19/04/2024 12:12:09
22,23,MADHUCON,Madhucon Projects Limited,531497,-4.59,9.35,29727,Day Short Trade,19/04/2024 12:12:09
23,24,MEP,Mep Infrastructure Developers Limited,539126,-4.65,8.2,672877,Day Short Trade,19/04/2024 12:12:09
2,3,KDDL,Kddl Limited,532054,-4.69,2508.5,18282,Day Short Trade,19/04/2024 12:12:09
15,16,MODIRUBBER,Modi Rubber Ltd,500890,-4.98,96.35,8186,Day Short Trade,19/04/2024 12:12:09
1,2,GKWLIMITED,Gkw Limited,,-5.0,2531.05,8064,Day Short Trade,19/04/2024 12:12:09
9,10,SPARC,Sun Pharma Advanced Research Company Limited,532872,-5.0,332.55,45734,Day Short Trade,19/04/2024 12:12:09
11,12,ARVEE,Arvee Laboratories (India) Ltd,535050,-5.0,237.35,5887,Day Short Trade,19/04/2024 12:12:09
31,32,SHRENIK,Shrenik Ltd,538441,-5.0,0.95,1864718,Day Short Trade,19/04/2024 12:12:09
17,18,PVP,Pvp Ventures Limited,517556,-5.01,31.3,621080,Day Short Trade,19/04/2024 12:12:09
18,19,OSWALSEEDS,Shreeoswal Seeds & Chemicals Ltd,535088,-5.02,29.3,52831,Day Short Trade,19/04/2024 12:12:09
21,22,ATALREAL,Atal Realtech Ltd,535364,-5.82,12.95,595468,Day Short Trade,19/04/2024 12:12:09
0,1,EBBETF0430,Bharat Bond ETF - April 2030,542909,-0.2,1351.51,22712,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,19/04/2024 12:12:30
2,3,BALPHARMA,Bal Pharma Limited,524824,-0.8,99.3,2371,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,19/04/2024 12:12:30
3,4,IRISDOREME,Iris Clothings Ltd,535123,-1.35,77.0,40837,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,19/04/2024 12:12:30
1,2,AHLEAST,Asian Hotels (east) Limited,533227,-1.77,139.05,5571,Stocks near support level - bearish (Parimal Wadiwala) 15 minutes,19/04/2024 12:12:30
0,1,HDFCBANK,Hdfc Bank Limited,500180,0.65,1504.4,6200591,Shot Down,19/04/2024 12:12:44
3,4,IGL,Indraprastha Gas Limited,532514,0.62,440.0,3690533,Shot Down,19/04/2024 12:12:44
14,15,NYKAA,FSN E-Commerce Ventures Ltd,543384,-0.27,166.6,5175940,Shot Down,19/04/2024 12:12:44
9,10,BHEL,Bharat Heavy Electricals Limited,500103,-0.28,252.5,10811890,Shot Down,19/04/2024 12:12:44
13,14,ASHOKLEY,Ashok Leyland Limited,500477,-0.38,169.05,6433714,Shot Down,19/04/2024 12:12:44
25,26,SUBEXLTD,Subex Ltd,532348,-0.5,29.65,4241735,Shot Down,19/04/2024 12:12:44
10,11,RBLBANK,Rbl Bank Limited,540065,-0.81,243.95,3851351,Shot Down,19/04/2024 12:12:44
4,5,COALINDIA,Coal India Limited,533278,-0.91,434.6,3731507,Shot Down,19/04/2024 12:12:44
17,18,SAIL,Steel Authority Of India Limited,500113,-0.97,143.4,18419109,Shot Down,19/04/2024 12:12:44
20,21,HFCL,Himachal Futuristic Communications Limited,500183,-0.98,91.4,5031959,Shot Down,19/04/2024 12:12:44
23,24,IFCI,Ifci Limited,500106,-1.07,41.5,5025692,Shot Down,19/04/2024 12:12:44
16,17,L&TFH,L&t Finance Holdings Limited,533519,-1.08,159.55,4358618,Shot Down,19/04/2024 12:12:44
24,25,BAJAJHIND,Bajaj Hindusthan Sugar Limited,500032,-1.14,30.4,4310008,Shot Down,19/04/2024 12:12:44
11,12,NLCINDIA,Nlc India Limited,513683,-1.24,223.2,1900806,Shot Down,19/04/2024 12:12:44
26,27,YESBANK,Yes Bank Limited,532648,-1.26,23.6,116963612,Shot Down,19/04/2024 12:12:44
6,7,NTPC,Ntpc Limited,532555,-1.32,346.5,6777724,Shot Down,19/04/2024 12:12:44
22,23,TTML,Tata Teleservices (maharashtra) Limited,532371,-1.38,75.25,1088463,Shot Down,19/04/2024 12:12:44
2,3,ADANIPOWER,Adani Power Limited,533096,-1.45,589.4,1457944,Shot Down,19/04/2024 12:12:44
1,2,GRAPHITE,Graphite India Limited,509488,-1.49,660.35,1075279,Shot Down,19/04/2024 12:12:44
21,22,IDBI,Idbi Bank Limited,500116,-1.65,83.45,3488123,Shot Down,19/04/2024 12:12:44
27,28,SALASAR,Salasar Techno Engineering Ltd,540642,-1.65,20.85,1746796,Shot Down,19/04/2024 12:12:44
8,9,BIOCON,Biocon Limited,532523,-1.89,262.15,3094365,Shot Down,19/04/2024 12:12:44
12,13,ENGINERSIN,Engineers India Limited,532178,-1.95,203.45,2932523,Shot Down,19/04/2024 12:12:44
5,6,JUBLFOOD,Jubilant Foodworks Limited,533155,-2.07,432.75,1304444,Shot Down,19/04/2024 12:12:44
7,8,M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,-2.27,284.5,1355389,Shot Down,19/04/2024 12:12:44
15,16,IOC,Indian Oil Corporation Limited,530965,-2.28,165.15,19487076,Shot Down,19/04/2024 12:12:44
18,19,IBREALEST,Indiabulls Real Estate Limited,532832,-2.53,130.9,9332996,Shot Down,19/04/2024 12:12:44
19,20,NBCC,Nbcc (india) Limited,534309,-2.65,121.4,8557192,Shot Down,19/04/2024 12:12:44
21,22,IITL,Industrial Investment Trust Limited,501295,1.92,183.0,1735,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
19,20,PKTEA,The Peria Karamalai Tea & Produce Company Limited,,1.67,308.05,32,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
31,32,SAH,Sah Polymers Ltd,543743,1.49,95.45,32672,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
3,4,CARBORUNIV,Carborundum Universal Limited,513375,1.33,1240.1,30160,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
30,31,TOKYOPLAST,Tokyo Plast International Limited,500418,1.19,105.9,2973,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
11,12,CCL,Ccl Products (india) Limited,519600,0.96,574.6,29367,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
8,9,SHOPERSTOP,Shoppers Stop Limited,532638,0.91,707.2,38681,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
22,23,REPL,Rudrabhishek Enterprises Ltd,535095,0.73,180.1,1925,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
23,24,JTEKTINDIA,JTEKT India Ltd,520057,0.44,170.0,92589,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
15,16,CENTENKA,Century Enka Limited,500280,0.29,437.45,20074,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
20,21,SICALLOG,Sical Logistics Ltd,520086,0.26,211.05,6001,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
13,14,KERNEX,Kernex Microsystems (india) Limited,532686,0.04,563.05,3978,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
6,7,LIQUIDSBI,SBI Nifty 1D Rate ETF,544010,0.0,999.99,8073,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
5,6,HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF,543973,0.0,999.99,348,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
37,38,MNC,Kotak Nifty MNC ETF,535460,-0.08,26.44,5828,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
16,17,SIGMA,Sigma Solve Ltd,535365,-0.12,404.55,2819,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
38,39,LTGILTBEES,Nippon India ETF Long Term Gilt,,-0.16,25.35,907821,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
18,19,ADVENZYMES,Advanced Enzyme Technologies Limited,540025,-0.31,359.2,62131,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
27,28,CESC,Cesc Limited,500084,-0.32,141.9,2307965,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
2,3,DALBHARAT,Dalmia Bharat Limited,533309,-0.33,1942.5,113099,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
4,5,E2E,E2E Networks Ltd,535080,-0.37,1010.0,8751,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
25,26,HEXATRADEX,Hexa Tradex Limited,534328,-0.44,147.55,3700,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
9,10,SONACOMS,Sona BLW Precision Forgings Ltd,543300,-0.46,674.4,797753,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
24,25,VPRPL,Vishnu Prakash R Punglia Ltd,543974,-0.47,159.2,152664,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
35,36,MIRZAINT,Mirza International Limited,526642,-0.67,44.5,43087,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
29,30,CAPTRUST,Capital Trust Ltd.,511505,-1.01,112.45,3289,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
41,42,AKSHOPTFBR,Aksh Optifibre Limited,532351,-1.09,9.1,34844,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
0,1,KICL,Kalyani Investment Company Limited,533302,-1.13,3844.55,1701,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
14,15,EXIDEIND,Exide Industries Limited,500086,-1.3,443.8,11887962,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
10,11,GRAPHITE,Graphite India Limited,509488,-1.49,660.35,1075279,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
40,41,CCHHL,Country Club Hospitality & Holidays Limited,526550,-1.64,14.95,28533,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
17,18,VINYLINDIA,Vinyl Chemicals (india) Limited,524129,-1.67,380.25,14216,Ichimoku Cloud Bottom Crossover,19/04/2024 12:12:53
