,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
9,10,BHARATFORG,Bharat Forge Limited,500493,0.83,867.45,648583,PERFECT BEARISH,21/02/2023 10:53:47
10,11,BHARTIARTL,Bharti Airtel Limited,532454,0.73,784.85,835506,PERFECT BEARISH,21/02/2023 10:53:47
14,15,INTELLECT,Intellect Design Arena Limited,538835,0.68,468.55,106728,PERFECT BEARISH,21/02/2023 10:53:47
0,1,BOSCHLTD,Bosch Limited,500530,0.47,18268.0,5106,PERFECT BEARISH,21/02/2023 10:53:47
11,12,GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,500670,0.42,556.35,259667,PERFECT BEARISH,21/02/2023 10:53:47
1,2,ULTRACEMCO,Ultratech Cement Limited,532538,0.35,7453.0,121723,PERFECT BEARISH,21/02/2023 10:53:47
2,3,LTIM,LTI Mindtree Ltd,540005,0.3,4901.6,126971,PERFECT BEARISH,21/02/2023 10:53:47
4,5,OFSS,Oracle Financial Services Software Limited,532466,0.23,3246.5,12367,PERFECT BEARISH,21/02/2023 10:53:47
16,17,ITC,Itc Limited,500875,0.18,384.75,2003505,PERFECT BEARISH,21/02/2023 10:53:47
18,19,MOTHERSON,Motherson Sumi Systems Limited,517334,0.06,82.0,3783295,PERFECT BEARISH,21/02/2023 10:53:47
12,13,TORNTPOWER,Torrent Power Limited,532779,0.03,511.6,271790,PERFECT BEARISH,21/02/2023 10:53:47
15,16,TATAMOTORS,Tata Motors Limited,500570,-0.06,442.75,3004426,PERFECT BEARISH,21/02/2023 10:53:47
8,9,COROMANDEL,Coromandel International Limited,506395,-0.21,908.3,43716,PERFECT BEARISH,21/02/2023 10:53:47
5,6,INFY,Infosys Limited,500209,-0.22,1588.95,783749,PERFECT BEARISH,21/02/2023 10:53:47
17,18,BALRAMCHIN,Balrampur Chini Mills Limited,500038,-0.32,376.5,573478,PERFECT BEARISH,21/02/2023 10:53:47
7,8,HCLTECH,Hcl Technologies Limited,532281,-0.35,1111.75,369617,PERFECT BEARISH,21/02/2023 10:53:47
