,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
5,6,COLPAL,Colgate Palmolive (india) Limited,500830,0.53,1463.9,105151,SELL OPEN=HIGH,21/02/2023 14:05:08
3,4,PIDILITIND,Pidilite Industries Limited,500331,0.43,2329.95,154442,SELL OPEN=HIGH,21/02/2023 14:05:08
11,12,BERGEPAINT,Berger Paints (i) Limited,509480,0.14,571.2,457155,SELL OPEN=HIGH,21/02/2023 14:05:08
0,1,DRREDDY,Dr. Reddy's Laboratories Limited,500124,0.09,4479.05,118733,SELL OPEN=HIGH,21/02/2023 14:05:08
19,20,GAIL,Gail (india) Limited,532155,-0.21,95.5,5739318,SELL OPEN=HIGH,21/02/2023 14:05:08
4,5,KOTAKBANK,Kotak Mahindra Bank Limited,500247,-0.31,1731.85,2498856,SELL OPEN=HIGH,21/02/2023 14:05:08
6,7,BAJAJFINSV,Bajaj Finserv Limited,532978,-0.38,1399.25,866806,SELL OPEN=HIGH,21/02/2023 14:05:08
12,13,AUROPHARMA,Aurobindo Pharma Limited,524804,-0.39,463.1,900793,SELL OPEN=HIGH,21/02/2023 14:05:08
7,8,AXISBANK,Axis Bank Limited,532215,-0.44,843.05,7788654,SELL OPEN=HIGH,21/02/2023 14:05:08
2,3,TITAN,Titan Company Limited,500114,-0.45,2463.05,607498,SELL OPEN=HIGH,21/02/2023 14:05:08
16,17,PETRONET,Petronet Lng Limited,532522,-0.53,214.65,876849,SELL OPEN=HIGH,21/02/2023 14:05:08
13,14,TATAMOTORS,Tata Motors Limited,500570,-0.65,440.1,6334659,SELL OPEN=HIGH,21/02/2023 14:05:08
8,9,MCDOWELL-N,United Spirits Limited,532432,-1.08,757.45,352235,SELL OPEN=HIGH,21/02/2023 14:05:08
9,10,SBICARD,SBI Cards & Payment Services Ltd,543066,-1.16,748.3,372525,SELL OPEN=HIGH,21/02/2023 14:05:08
17,18,ZEEL,Zee Entertainment Enterprises Limited,505537,-1.4,211.95,1977477,SELL OPEN=HIGH,21/02/2023 14:05:08
14,15,DLF,Dlf Limited,532868,-1.43,359.4,1176454,SELL OPEN=HIGH,21/02/2023 14:05:08
1,2,BAJAJ-AUTO,Bajaj Auto Limited,532977,-1.59,3841.6,123187,SELL OPEN=HIGH,21/02/2023 14:05:08
10,11,CONCOR,Container Corporation Of India Limited,531344,-1.85,598.0,1397003,SELL OPEN=HIGH,21/02/2023 14:05:08
18,19,BANKBARODA,Bank Of Baroda,532134,-1.89,161.15,27919231,SELL OPEN=HIGH,21/02/2023 14:05:08
15,16,CANBK,Canara Bank,532483,-2.6,281.5,10238090,SELL OPEN=HIGH,21/02/2023 14:05:08
0,1,DELTACORP,Delta Corp Limited,532848,-1.66,192.85,1533488,My Intraday sell setup,21/02/2023 14:06:06
0,1,HINDPETRO,Hindustan Petroleum Corporation Limited,500104,-0.19,230.95,1671507,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,21/02/2023 14:07:05
1,2,DELTACORP,Delta Corp Limited,532848,-1.73,192.7,1537453,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,21/02/2023 14:07:05
0,1,IOC,Indian Oil Corporation Limited,530965,0.13,79.65,3052013,Intraday Future Sell with SuperTrend -80 % Accuracy,21/02/2023 14:08:03
29,30,ICICI10GS,ICICI10GS,,0.0,208.0,110,Day Short Trade,21/02/2023 14:10:02
5,6,QNIFTY,QNIFTY,,-0.11,1888.31,112,Day Short Trade,21/02/2023 14:10:02
0,1,BAYERCROP,Bayer Cropscience Limited,506285,-0.13,4470.0,2341,Day Short Trade,21/02/2023 14:10:02
46,47,INTLCONV,International Conveyors Ltd,509709,-0.18,56.75,24818,Day Short Trade,21/02/2023 14:10:02
69,70,MOKSH,Moksh Ornaments Ltd,535041,-0.5,10.0,53444,Day Short Trade,21/02/2023 14:10:02
51,52,ABMINTLLTD,A B M International Ltd,,-0.55,36.25,65,Day Short Trade,21/02/2023 14:10:02
44,45,GALLANTT,Gallantt Metal Limited,532726,-0.59,59.25,33914,Day Short Trade,21/02/2023 14:10:02
63,64,CMICABLES,Cmi Limited,517330,-0.59,16.8,11214,Day Short Trade,21/02/2023 14:10:02
64,65,HATHWAY,Hathway Cable & Datacom Limited,533162,-0.63,15.75,430118,Day Short Trade,21/02/2023 14:10:02
58,59,NECCLTD,North Eastern Carrying Corporation Limited,534615,-0.65,23.0,41700,Day Short Trade,21/02/2023 14:10:02
45,46,SUVEN,Suven Life Sciences Limited,530239,-0.69,57.45,36979,Day Short Trade,21/02/2023 14:10:02
27,28,DVL,Dhunseri Ventures Ltd,523736,-0.73,232.5,9090,Day Short Trade,21/02/2023 14:10:02
4,5,THERMAX,Thermax Limited,500411,-0.74,2000.25,84296,Day Short Trade,21/02/2023 14:10:02
24,25,ONWARDTEC,Onward Technologies Limited,517536,-0.79,296.55,3405,Day Short Trade,21/02/2023 14:10:02
74,75,NILAINFRA,Nila Infrastructures Limited,530377,-0.83,6.0,42379,Day Short Trade,21/02/2023 14:10:02
1,2,DMART,Avenue Supermarts,540376,-0.84,3523.15,177096,Day Short Trade,21/02/2023 14:10:02
23,24,SULA,Sula Vineyards Ltd,543711,-0.86,380.55,94554,Day Short Trade,21/02/2023 14:10:02
30,31,PPAP,Ppap Automotive Limited,532934,-0.92,194.05,2081,Day Short Trade,21/02/2023 14:10:02
59,60,SAKHTISUG,Sakthi Sugars Limited,507315,-0.93,21.35,52619,Day Short Trade,21/02/2023 14:10:02
35,36,NRL,Nupur Recyclers Ltd,535413,-0.94,110.9,29452,Day Short Trade,21/02/2023 14:10:02
34,35,HARRMALAYA,Harrisons  Malayalam Limited,500467,-0.95,125.7,11008,Day Short Trade,21/02/2023 14:10:02
25,26,GSPL,Gujarat State Petronet Limited,532702,-0.97,270.0,111024,Day Short Trade,21/02/2023 14:10:02
36,37,MAHEPC,Mahindra EPC Irrigation Ltd,523754,-1.01,97.7,6334,Day Short Trade,21/02/2023 14:10:02
6,7,NDGL,Naga Dhunseri Group Limited,,-1.05,1321.5,32,Day Short Trade,21/02/2023 14:10:02
47,48,NAVKARCORP,Navkar Corporation Limited,539332,-1.09,54.25,85752,Day Short Trade,21/02/2023 14:10:02
19,20,BORORENEW,Borosil Renewables Ltd,502219,-1.17,456.45,96241,Day Short Trade,21/02/2023 14:10:02
79,80,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,532925,-1.18,4.2,19845,Day Short Trade,21/02/2023 14:10:02
8,9,TTKHLTCARE,Ttk Healthcare Limited,507747,-1.18,925.0,4304,Day Short Trade,21/02/2023 14:10:02
37,38,STCINDIA,The State Trading Corporation Of India Limited,512531,-1.18,75.6,12554,Day Short Trade,21/02/2023 14:10:02
20,21,SUNTV,Sun Tv Network Limited,532733,-1.2,445.0,376476,Day Short Trade,21/02/2023 14:10:02
16,17,KSCL,Kaveri Seed Company Limited,532899,-1.24,526.0,15267,Day Short Trade,21/02/2023 14:10:02
7,8,SUNDRMFAST,Sundram Fasteners Limited,500403,-1.36,977.1,29191,Day Short Trade,21/02/2023 14:10:02
2,3,GRPLTD,Grp Limited,509152,-1.41,3050.0,2816,Day Short Trade,21/02/2023 14:10:02
12,13,TTKPRESTIG,Ttk Prestige Limited,517506,-1.43,744.95,27944,Day Short Trade,21/02/2023 14:10:02
53,54,NAGREEKEXP,Nagreeka Exports Limited,521109,-1.46,33.75,617,Day Short Trade,21/02/2023 14:10:02
42,43,KOTHARIPET,Kothari Petrochemicals Limited,532096,-1.47,66.85,13720,Day Short Trade,21/02/2023 14:10:02
48,49,IRCON,Ircon International Ltd,541956,-1.6,52.35,1739066,Day Short Trade,21/02/2023 14:10:02
83,84,RHFL,Reliance Home Finance Ltd,540709,-1.72,2.85,216342,Day Short Trade,21/02/2023 14:10:02
82,83,ROLTA,Rolta India Limited,500366,-1.72,2.85,60629,Day Short Trade,21/02/2023 14:10:02
50,51,HOVS,Hov Services Limited,532761,-1.73,45.5,2181,Day Short Trade,21/02/2023 14:10:02
32,33,UNIENTER,Uniphos Enterprises Limited,500429,-1.83,155.6,6979,Day Short Trade,21/02/2023 14:10:02
62,63,21STCENMGM,Twenty First Century Management Services Ltd,526921,-1.93,17.75,1536,Day Short Trade,21/02/2023 14:10:02
11,12,IPCALAB,Ipca Laboratories Limited,524494,-1.98,815.55,371071,Day Short Trade,21/02/2023 14:10:02
26,27,SELMC,SEL Manufacturing Company Ltd,532886,-1.99,259.0,346,Day Short Trade,21/02/2023 14:10:02
18,19,ASAHIINDIA,Asahi India Glass Limited,515030,-2.19,503.0,20544,Day Short Trade,21/02/2023 14:10:02
65,66,TREEHOUSE,Tree House Education & Accessories Limited,533540,-2.21,13.25,8089,Day Short Trade,21/02/2023 14:10:02
66,67,HEADSUP,Heads UP Ventures Ltd,540210,-2.25,13.05,154928,Day Short Trade,21/02/2023 14:10:02
22,23,VIJAYA,Vijaya Diagnostic Centre Ltd,543350,-2.33,392.4,134144,Day Short Trade,21/02/2023 14:10:02
14,15,CENTUM,Centum Electronics Limited,517544,-2.35,581.1,3807,Day Short Trade,21/02/2023 14:10:02
40,41,TBZ,Tribhovandas Bhimji Zaveri Limited,534369,-2.39,69.35,77739,Day Short Trade,21/02/2023 14:10:02
61,62,NDL,Nandan Denim Limited,532641,-2.4,20.3,102599,Day Short Trade,21/02/2023 14:10:02
88,89,EDUCOMP,Educomp Solutions Limited,532696,-2.44,2.0,17188,Day Short Trade,21/02/2023 14:10:02
13,14,SEAMECLTD,Seamec Limited,526807,-2.46,659.95,1933,Day Short Trade,21/02/2023 14:10:02
41,42,MODIRUBBER,Modi Rubber Ltd,500890,-2.75,67.1,209,Day Short Trade,21/02/2023 14:10:02
28,29,SALONA,Salona Cotspin Limited,590056,-2.84,230.6,1287,Day Short Trade,21/02/2023 14:10:02
17,18,LINC,Linc Ltd,531241,-3.03,514.35,19619,Day Short Trade,21/02/2023 14:10:02
84,85,KRIDHANINF,Kridhan Infra Limited,533482,-3.39,2.85,28148,Day Short Trade,21/02/2023 14:10:02
21,22,MANORG,Mangalam Organics Ltd,514418,-3.49,442.0,921,Day Short Trade,21/02/2023 14:10:02
85,86,VCL,Vaxtex Cotfab Ltd,535352,-3.51,2.75,317374,Day Short Trade,21/02/2023 14:10:02
3,4,FOSECOIND,Foseco India Limited,500150,-3.64,2015.7,2456,Day Short Trade,21/02/2023 14:10:02
86,87,IMPEXFERRO,Impex Ferro Tech Limited,532614,-3.64,2.65,11343,Day Short Trade,21/02/2023 14:10:02
87,88,SPTL,Sintex Plastics Technology,540653,-3.7,2.6,5382072,Day Short Trade,21/02/2023 14:10:02
89,90,SITINET,Siti Networks Limited,532795,-3.7,1.3,514371,Day Short Trade,21/02/2023 14:10:02
