,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
83,84,UCALFUEL,Ucal Fuel Systems Limited,500464,10.49,124.3,437969,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
126,127,KARMAENG,Karma Energy Limited,533451,9.84,27.35,9611,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
67,68,SAKAR,Sakar Healthcare Ltd,538377,8.7,243.1,60761,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
88,89,ASHAPURMIN,Ashapura Minechem Limited,527001,8.46,113.4,1028651,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
107,108,TRU,TruCap Finance Ltd,540268,7.41,65.2,3697077,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
53,54,CHALET,Chalet Hotels Ltd,542399,5.9,384.95,280583,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
137,138,ANSALAPI,Ansal Properties & Infrastructure Limited,500013,5.0,10.5,129094,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
51,52,BFINVEST,Bf Investment Limited,533303,5.0,403.45,93760,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
62,63,VINNY,Vinny Overseas Ltd,535118,4.99,303.25,101480,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
76,77,ADANIPOWER,Adani Power Limited,533096,4.97,171.0,6496485,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
121,122,ARENTERP,Rajdarshan Industries Ltd,526662,4.94,36.1,1644,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
110,111,SHRADHA,Shradha Infraprojects (Nagpur) Ltd,535035,4.93,54.25,65721,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
141,142,ESSENTIA,Integra Essentia Ltd,535958,4.55,8.05,1177852,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
153,154,GOENKA,Goenka Diamond And Jewels Limited,533189,4.55,1.15,210795,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
120,121,MURUDCERA,Murudeshwar Ceramics Limited,515037,3.66,36.85,111139,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
139,140,TECHIN,Techindia Nirman Limited,526576,3.51,8.85,12215,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
95,96,GENUSPOWER,Genus Power Infrastructures Limited,530343,3.29,91.15,700038,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
17,18,SAPPHIRE,Sapphire Foods India Ltd,543397,2.93,1231.2,140221,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
125,126,AKG,AKG Exim Ltd,535110,2.91,28.3,89802,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
146,147,NEXTMEDIA,Next Mediaworks Limited,532416,2.86,5.4,8588,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
129,130,AMBICAAGAR,Ambica Agarbathies Aroma & Industries Ltd,532335,2.69,24.85,14425,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
72,73,KIOCL,Kiocl Limited,,2.48,206.9,92697,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
100,101,ZIMLAB,Zim Laboratories Ltd,541400,2.44,75.45,13078,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
38,39,MARICO,Marico Limited,531642,2.24,500.0,1119806,MACD Bearish or Bullish crossover,21/02/2023 14:38:19
