,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
1,2,ANUP,The Anup Engineering Ltd,542460,5.12,1170.75,21891,Intraday Buying seen in the past 15 minutes,09/02/2023 14:41:56
6,7,AMARAJABAT,Amara Raja Batteries Limited,500008,2.89,608.6,502034,Intraday Buying seen in the past 15 minutes,09/02/2023 14:41:56
5,6,JUSTDIAL,Just Dial Limited,535648,1.44,639.35,63999,Intraday Buying seen in the past 15 minutes,09/02/2023 14:41:56
0,1,KENNAMET,Kennametal India Ltd,505890,1.29,2313.35,4501,Intraday Buying seen in the past 15 minutes,09/02/2023 14:41:56
3,4,SPORTKING,Sportking India Ltd,539221,0.25,747.9,25031,Intraday Buying seen in the past 15 minutes,09/02/2023 14:41:56
4,5,LGBBROSLTD,Lg Balakrishnan & Bros Limited,500250,0.16,668.3,45835,Intraday Buying seen in the past 15 minutes,09/02/2023 14:41:56
2,3,BDL,Bharat Dynamics Ltd,541143,0.05,850.9,609412,Intraday Buying seen in the past 15 minutes,09/02/2023 14:41:56
7,8,VISHNU,Vishnu Chemicals Limited,516072,-2.22,261.8,61855,Intraday Buying seen in the past 15 minutes,09/02/2023 14:41:56
1,2,POWERGRID,Power Grid Corporation Of India Limited,532898,0.68,213.45,4011229,BUY open equals to Low,09/02/2023 14:42:57
0,1,DIVISLAB,Divi's Laboratories Limited,532488,0.62,2816.4,643387,BUY open equals to Low,09/02/2023 14:42:57
0,1,CUMMINSIND,Cummins India Limited,500480,6.92,1576.25,4092319,Intraday 9:30 am Buy FnO stock scanner,09/02/2023 14:43:59
4,5,HDFCLIFE,HDFC Life Insurance Company Ltd,540777,2.38,520.65,8184653,JAVEED HUSSAIN INTRADAY BUY,09/02/2023 14:46:05
7,8,ABFRL,Aditya Birla Fashion And Retail Limited,535755,2.32,256.25,2454159,JAVEED HUSSAIN INTRADAY BUY,09/02/2023 14:46:05
3,4,CANFINHOME,Can Fin Homes Limited,511196,1.39,599.9,867709,JAVEED HUSSAIN INTRADAY BUY,09/02/2023 14:46:05
0,1,OFSS,Oracle Financial Services Software Limited,532466,1.11,3204.9,74057,JAVEED HUSSAIN INTRADAY BUY,09/02/2023 14:46:05
8,9,BANDHANBNK,Bandhan Bank Ltd,541153,1.07,241.6,4141333,JAVEED HUSSAIN INTRADAY BUY,09/02/2023 14:46:05
5,6,APOLLOTYRE,Apollo Tyres Limited,500877,0.96,335.85,1732014,JAVEED HUSSAIN INTRADAY BUY,09/02/2023 14:46:05
