,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
3,4,ELGIEQUIP,Elgi Equipments Limited,522074,3.04,437.9,421315,15 minute Stock Breakouts,09/02/2023 14:41:56
2,3,JUSTDIAL,Just Dial Limited,535648,1.44,639.35,64050,15 minute Stock Breakouts,09/02/2023 14:41:56
5,6,NOCIL,Nocil Limited,500730,1.33,210.15,117900,15 minute Stock Breakouts,09/02/2023 14:41:56
4,5,APOLLOTYRE,Apollo Tyres Limited,500877,0.89,335.6,1722841,15 minute Stock Breakouts,09/02/2023 14:41:56
1,2,BDL,Bharat Dynamics Ltd,541143,0.05,850.9,609412,15 minute Stock Breakouts,09/02/2023 14:41:56
0,1,BLUEDART,Blue Dart Express Limited,526612,-0.29,6511.95,10057,15 minute Stock Breakouts,09/02/2023 14:41:56
6,7,PNB,Punjab National Bank,532461,-0.68,51.25,40907355,15 minute Stock Breakouts,09/02/2023 14:41:56
1,2,INFY,Infosys Limited,500209,1.36,1612.2,4572766,BULLISH FOR NEXT DAY,09/02/2023 14:42:55
0,1,TCS,Tata Consultancy Services Limited,532540,0.7,3544.7,1262764,BULLISH FOR NEXT DAY,09/02/2023 14:42:55
2,3,NSIL,Nalwa Sons Investments Limited,532256,7.4,2191.55,1376,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
10,11,SIS,Security & Intelligence Services India,540673,4.05,359.95,86150,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
9,10,AMARAJABAT,Amara Raja Batteries Limited,500008,2.82,608.2,512323,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
1,2,APARINDS,Apar Industries Limited,532259,2.32,2275.0,111678,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
0,1,KENNAMET,Kennametal India Ltd,505890,1.71,2323.0,5071,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
8,9,JUSTDIAL,Just Dial Limited,535648,1.32,638.6,66132,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
14,15,NOCIL,Nocil Limited,500730,1.25,210.0,121484,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
15,16,PFC,Power Finance Corporation Limited,532810,1.25,145.4,3317498,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
5,6,TTKPRESTIG,Ttk Prestige Limited,517506,0.6,769.05,23848,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
7,8,LGBBROSLTD,Lg Balakrishnan & Bros Limited,500250,0.58,671.15,47402,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
3,4,BHARATFORG,Bharat Forge Limited,500493,0.46,870.35,431656,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
6,7,SPORTKING,Sportking India Ltd,539221,0.26,748.0,26376,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
4,5,BDL,Bharat Dynamics Ltd,541143,-0.05,850.0,619737,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
12,13,FCL,Fineotex Chemical Limited,533333,-0.16,248.35,283805,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
13,14,BIOCON,Biocon Limited,532523,-0.68,242.45,1457299,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
11,12,VISHNU,Vishnu Chemicals Limited,516072,-1.87,262.75,62530,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
16,17,RECLTD,Rural Electrification Corporation Limited,532955,-2.81,117.45,5652731,Intraday Buying seen in the past 15 minutes,09/02/2023 14:44:00
1,2,TRENT,Trent Limited,500251,8.33,1339.0,3485633,Volume Shockers (stocks with rising volumes),09/02/2023 14:45:03
7,8,GPPL,Gujarat Pipavav Port Limited,533248,6.98,98.9,13702054,Volume Shockers (stocks with rising volumes),09/02/2023 14:45:03
0,1,CUMMINSIND,Cummins India Limited,500480,6.74,1573.7,4094198,Volume Shockers (stocks with rising volumes),09/02/2023 14:45:03
2,3,PAYTM,One 97 Communications Ltd,543396,6.45,719.55,36458393,Volume Shockers (stocks with rising volumes),09/02/2023 14:45:03
8,9,DHANI,Dhani Services Ltd,532960,6.07,35.85,5134840,Volume Shockers (stocks with rising volumes),09/02/2023 14:45:03
5,6,NIITLTD,Niit Limited,500304,5.76,352.4,934624,Volume Shockers (stocks with rising volumes),09/02/2023 14:45:03
4,5,CAMPUS,Campus Activewear Ltd,543523,5.27,391.55,962476,Volume Shockers (stocks with rising volumes),09/02/2023 14:45:03
3,4,KPRMILL,K.p.r. Mill Limited,532889,5.03,587.55,595868,Volume Shockers (stocks with rising volumes),09/02/2023 14:45:03
