,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
0,56,SAGCEM,Sagar Cements Limited,502090.0,10.69,231.9,595174,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
1,121,CALSOFT,California Software Company Limited,532386.0,10.15,18.45,122035,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
2,142,VISESHINFO,Visesh Infotecnics Limited,532411.0,10.0,0.55,2012326,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
3,89,KEYFINSERV,Keynote Financial Services Ltd,512597.0,6.68,102.2,100568,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
4,6,BASF,Basf India Limited,500042.0,5.3,2409.0,95830,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
5,46,SPAL,S. P. Apparels Limited,540048.0,5.0,296.0,12417,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
6,122,SBC,SBC Exports Ltd,542725.0,5.0,15.75,361905,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
7,62,NDTV,New Delhi Television Limited,532529.0,4.98,217.2,192150,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
8,63,MIDHANI,Mishra Dhatu Nigam Ltd,541195.0,4.92,213.4,671944,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
9,67,BIL,Bhartiya International Limited,526666.0,4.82,204.5,2474,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
10,78,BIRLACABLE,Birla Cable Limited,500060.0,4.77,142.9,192671,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
11,128,TECHIN,Techindia Nirman Limited,526576.0,4.6,9.1,2436,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
12,15,BDL,Bharat Dynamics Ltd,541143.0,4.32,940.8,3467298,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
13,42,UNIVCABLES,Universal Cables Limited,504212.0,3.96,359.25,122226,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
14,99,CORDSCABLE,Cords Cable Industries Limited,532941.0,3.86,69.95,120513,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
15,68,SANGAMIND,Sangam (india) Limited,514234.0,3.61,202.25,10929,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
16,93,SAH,Sah Polymers Ltd,543743.0,3.59,83.75,157240,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
17,139,ROLTA,Rolta India Limited,500366.0,3.45,3.0,27947,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
18,133,KAVVERITEL,Kavveri Telecom Products Limited,590041.0,3.25,6.35,5206,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
19,50,RKFORGE,Ramkrishna Forgings Limited,532527.0,3.23,281.0,188055,MACD Bearish or Bullish crossover,17/02/2023 11:32:20
