,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
0,7,ICICIBANK,Icici Bank Limited,532174.0,0.66,860.45,2957245,SELL OPEN=HIGH,01/03/2023 10:16:26
1,3,RELIANCE,Reliance Industries Limited,500325.0,0.56,2335.5,1356599,SELL OPEN=HIGH,01/03/2023 10:16:26
2,1,MRF,Mrf Limited,500290.0,0.24,85464.2,2133,SELL OPEN=HIGH,01/03/2023 10:16:26
3,2,SIEMENS,Siemens Limited,500550.0,0.23,3254.0,25752,SELL OPEN=HIGH,01/03/2023 10:16:26
4,4,INDIGO,Interglobe Aviation Limited,539448.0,0.06,1857.55,87025,SELL OPEN=HIGH,01/03/2023 10:16:26
5,6,SBILIFE,SBI Life Insurance Company Ltd,540719.0,-0.32,1117.45,139510,SELL OPEN=HIGH,01/03/2023 10:16:26
6,9,GLENMARK,Glenmark Pharmaceuticals Limited,532296.0,-0.52,426.5,123160,SELL OPEN=HIGH,01/03/2023 10:16:26
7,8,MFSL,Max Financial Services Limited,500271.0,-0.56,688.55,108918,SELL OPEN=HIGH,01/03/2023 10:16:26
8,5,PVR,Pvr Limited,532689.0,-0.93,1504.1,228321,SELL OPEN=HIGH,01/03/2023 10:16:26
9,10,INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816.0,-1.52,168.3,1188816,SELL OPEN=HIGH,01/03/2023 10:16:26
10,1,DABUR,Dabur India Limited,500096.0,-0.34,530.8,679667,FULLY BEARISH WITH SELLING SEEN IN LAST 15MIN,01/03/2023 10:18:46
11,1,PIIND,Pi Industries Limited,523642.0,-0.48,3084.7,58978,Intraday Future Sell with SuperTrend -80 % Accuracy,01/03/2023 10:19:53
12,1,INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816.0,-1.73,167.95,1243161,Mohan'S sure sell candidate -- MACD CROSS,01/03/2023 10:20:56
13,30,TVVISION,Tv Vision Limited,540083.0,0.0,2.55,686,Day Short Trade,01/03/2023 10:22:02
14,2,EBBETF0425,Bharat Bond ETF - April 2025,543215.0,-0.12,1103.79,576,Day Short Trade,01/03/2023 10:22:02
15,8,WINDLAS,Windlas Biotech Ltd,543329.0,-0.49,253.9,8083,Day Short Trade,01/03/2023 10:22:02
16,15,ABMINTLLTD,A B M International Ltd,,-0.6,33.1,76,Day Short Trade,01/03/2023 10:22:02
17,1,NDGL,Naga Dhunseri Group Limited,,-0.75,1301.0,40,Day Short Trade,01/03/2023 10:22:02
18,7,PODDARMENT,Poddar Pigments Limited,524570.0,-1.08,262.15,1662,Day Short Trade,01/03/2023 10:22:02
19,10,MANOMAY,Manomay Tex India Ltd,540396.0,-1.18,126.1,13,Day Short Trade,01/03/2023 10:22:02
20,4,YUKEN,Yuken India Ltd,522108.0,-1.21,533.2,500,Day Short Trade,01/03/2023 10:22:02
21,29,DNAMEDIA,Diligent Media Corporation Ltd,540789.0,-1.67,2.95,2506,Day Short Trade,01/03/2023 10:22:02
22,13,SHRADHA,Shradha Infraprojects (Nagpur) Ltd,535035.0,-1.85,45.1,7833,Day Short Trade,01/03/2023 10:22:02
23,9,SELMC,SEL Manufacturing Company Ltd,532886.0,-1.99,229.6,100,Day Short Trade,01/03/2023 10:22:02
24,22,21STCENMGM,Twenty First Century Management Services Ltd,526921.0,-2.02,17.0,533,Day Short Trade,01/03/2023 10:22:02
25,3,MEDPLUS,Medplus Health Services Ltd,543427.0,-2.12,651.5,5631,Day Short Trade,01/03/2023 10:22:02
26,31,RNAVAL,Reliance Naval and Engineering,533107.0,-2.17,2.25,109294,Day Short Trade,01/03/2023 10:22:02
27,21,FSC,Future Supply Chain Solutions Ltd,540798.0,-2.5,17.55,5529,Day Short Trade,01/03/2023 10:22:02
28,19,SUPREMEINF,Supreme Infrastructure India Limited,532904.0,-2.58,20.8,2274,Day Short Trade,01/03/2023 10:22:02
29,6,SILINV,Sil Investments Limited,521194.0,-2.64,285.3,573,Day Short Trade,01/03/2023 10:22:02
30,16,KARMAENG,Karma Energy Limited,533451.0,-2.66,29.25,5350,Day Short Trade,01/03/2023 10:22:02
