,sr,nsecode,name,bsecode,per_chg,close,volume,ScreenerName,TimeOfDay
0,95,TRITURBINE,Triveni Turbine Limited,533655.0,6.82,281.9,390915,15 minute Stock Breakouts,07/02/2023 09:35:26
1,34,VBL,Varun Beverages Limited,540180.0,5.16,1284.9,721995,15 minute Stock Breakouts,07/02/2023 09:35:26
2,26,ADANIENT,Adani Enterprises Limited,512599.0,4.82,1648.5,2099426,15 minute Stock Breakouts,07/02/2023 09:35:26
3,72,ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921.0,3.73,565.8,5351730,15 minute Stock Breakouts,07/02/2023 09:35:26
4,62,MEDPLUS,Medplus Health Services Ltd,543427.0,3.64,679.9,26122,15 minute Stock Breakouts,07/02/2023 09:35:26
5,97,IRB,Irb Infrastructure Developers Limited,532947.0,3.61,277.0,362536,15 minute Stock Breakouts,07/02/2023 09:35:26
6,33,ADANITRANS,Adani Transmission Limited,539254.0,3.51,1300.5,1041029,15 minute Stock Breakouts,07/02/2023 09:35:26
7,82,AWL,Adani Wilmar Ltd,543458.0,3.47,393.15,8421757,15 minute Stock Breakouts,07/02/2023 09:35:26
8,46,PATANJALI,Patanjali Foods Ltd,500368.0,3.18,968.0,34567,15 minute Stock Breakouts,07/02/2023 09:35:26
9,70,PAYTM,One 97 Communications Ltd,543396.0,3.09,575.55,1471938,15 minute Stock Breakouts,07/02/2023 09:35:26
10,73,TEJASNET,Tejas Networks,540595.0,3.04,563.2,150788,15 minute Stock Breakouts,07/02/2023 09:35:26
11,37,GLAND,Gland Pharma Ltd,543245.0,2.92,1207.0,128449,15 minute Stock Breakouts,07/02/2023 09:35:26
12,91,CGPOWER,CG Power and Industrial Solutions Ltd,500093.0,2.91,316.35,627313,15 minute Stock Breakouts,07/02/2023 09:35:26
13,64,JUSTDIAL,Just Dial Limited,535648.0,2.72,641.7,61296,15 minute Stock Breakouts,07/02/2023 09:35:26
14,125,RVNL,Rail Vikas Nigam Ltd,542649.0,2.66,73.25,2012980,15 minute Stock Breakouts,07/02/2023 09:35:26
15,92,SWSOLAR,Sterling & Wilson Renewable Energy Ltd,542760.0,2.48,303.5,134599,15 minute Stock Breakouts,07/02/2023 09:35:26
16,68,ANURAS,Anupam Rasayan India Ltd,543275.0,2.32,615.85,18884,15 minute Stock Breakouts,07/02/2023 09:35:26
17,7,DRREDDY,Dr. Reddy's Laboratories Limited,500124.0,2.23,4446.7,71397,15 minute Stock Breakouts,07/02/2023 09:35:26
18,53,RELAXO,Relaxo Footwears Limited,530517.0,2.13,792.65,33556,15 minute Stock Breakouts,07/02/2023 09:35:26
19,102,JYOTHYLAB,Jyothy Laboratories Limited,532926.0,2.06,217.75,348898,15 minute Stock Breakouts,07/02/2023 09:35:26
